"mode","corruption","severity","duo/ece","duo/nll","duo/accuracy","duo/acc3","duo/acc5","duo/f1","duo/brier","large/ece","large/nll","large/accuracy","large/acc3","large/acc5","large/f1","large/brier","small/ece","small/nll","small/accuracy","small/acc3","small/acc5","small/f1","small/brier"
"both_duo","brightness","5","0.04121291039280594","0.9830129503304159","0.75984","0.89514","0.92744","0.7575773246377464","0.33837151527404785","0.08445052872687579","1.1613552045133033","0.7353","0.8779","0.91296","0.7323310730438288","0.37840133905410767","0.09212912718445063","1.3538496149424384","0.71596","0.86592","0.90474","0.7135331957777113","0.41668540239334106"
"both_duo","contrast","5","0.12575567526847126","2.2966661629010545","0.53364","0.7031","0.76078","0.5367527696170247","0.6256240606307983","0.18977324919968844","2.659424585492451","0.5028","0.67154","0.73056","0.5067731859555118","0.6869483590126038","0.1525977467343211","3.4839217325193896","0.38314","0.54426","0.61022","0.38382611565342506","0.8078095316886902"
"both_duo","defocus_blur","5","0.1751501313468814","2.7602368372333603","0.4594","0.63252","0.69706","0.45217150096926845","0.7210835814476013","0.2364604355995357","3.048772247329064","0.44952","0.62134","0.68514","0.441669623846155","0.7692224979400635","0.17703432759940624","4.172235775097928","0.27708","0.4285","0.4991","0.2661982839156109","0.9144070148468018"
"both_duo","elastic_transform","5","0.08316968605831265","1.673840811902271","0.63206","0.789","0.83682","0.630095655216093","0.49918079376220703","0.15043794813841582","2.0173734130330345","0.59794","0.75682","0.80676","0.5973227354689661","0.5618905425071716","0.1329542235392332","2.2884451522098512","0.55966","0.72962","0.78476","0.5545033958325967","0.6166536211967468"
"both_duo","fog","5","0.04935318466939032","1.398372792445871","0.68358","0.83568","0.87844","0.6816726545604967","0.4404042661190033","0.10893696193173528","1.7616841262599843","0.63528","0.79362","0.8407","0.6369299320212903","0.5106296539306641","0.09756019375562668","1.8033788811070384","0.63734","0.7987","0.84786","0.6334611246186053","0.5227895975112915"
"both_duo","frost","5","0.07469294540204108","1.7570062591183642","0.62212","0.7792","0.82672","0.6208862902720208","0.5102064609527588","0.13502193204447627","2.034404702495258","0.59534","0.75356","0.80302","0.5929950938129666","0.5629720687866211","0.11742959750786425","2.561280455140214","0.5152","0.67858","0.73778","0.5149384233764794","0.6602259874343872"
"both_duo","gaussian_noise","5","0.15609491996459662","2.790734259737039","0.45686","0.62494","0.69044","0.45603940548232685","0.7185665369033813","0.23177027318179605","3.251973686748997","0.42704","0.5885","0.65336","0.4254023880117952","0.7923915386199951","0.15485540852844715","3.878097524841906","0.31548","0.46992","0.53784","0.31283399773742937","0.864367663860321"
"both_duo","glass_blur","5","0.29905543864041567","3.7892753917606785","0.3839","0.57396","0.6426","0.4006084967243594","0.906615138053894","0.38535411242127426","4.647397628214762","0.34868","0.54424","0.61672","0.3720480285356657","1.010739803314209","0.1730326550164819","4.167671504413139","0.27762","0.42586","0.49498","0.2645662518567238","0.914513349533081"
"both_duo","impulse_noise","5","0.14161638339340687","2.6529836830454867","0.47488","0.64196","0.70516","0.4723290389427813","0.6918452382087708","0.2154998820093274","3.0637760648690677","0.4467","0.61148","0.67434","0.44317839640756096","0.7600126266479492","0.1554611017894745","3.8342932097498195","0.32152","0.47724","0.54438","0.3180901334773204","0.85751873254776"
"both_duo","jpeg_compression","5","0.08132725965619086","1.576773257872262","0.64592","0.8064","0.85402","0.6429571772315089","0.4841523766517639","0.13669147543817758","1.7759407247065184","0.62608","0.79338","0.84302","0.6226338790789472","0.5244516134262085","0.11902010354220868","2.3827046847235267","0.52896","0.70128","0.76192","0.525944518084611","0.6420783996582031"
"both_duo","motion_blur","5","0.11205912687838077","2.106286046448015","0.5551","0.72672","0.7825","0.5519656316981537","0.594278872013092","0.18488471677556634","2.461375086914279","0.52502","0.69694","0.7569","0.5212803471034845","0.6590443849563599","0.1623541534730792","3.1150875987184867","0.43054","0.60322","0.6689","0.4254327317564961","0.7643572092056274"
"both_duo","pixelate","5","0.07145091083958746","1.4392436666451298","0.6681","0.82594","0.8708","0.6652174359222436","0.4536939561367035","0.1256883881789446","1.6590700002860599","0.6474","0.8089","0.85536","0.6444469680616582","0.49593809247016907","0.12188584025055169","2.175643198203923","0.56888","0.74398","0.79878","0.5646071263872314","0.6018412709236145"
"both_duo","shot_noise","5","0.13720252269208433","2.5864106634154234","0.48474","0.65286","0.71526","0.482048405033358","0.6795042157173157","0.2144498150293529","3.020152858599294","0.45242","0.61598","0.68024","0.44868153940826017","0.7522383332252502","0.1602858898153901","3.7340004591911344","0.34268","0.50128","0.56882","0.33900695794061786","0.8441545367240906"
"both_duo","snow","5","0.07780885780498385","1.7442875032569782","0.62044","0.7793","0.82978","0.6189282567760049","0.5143360495567322","0.1568398808073625","2.167514665929191","0.57302","0.73458","0.7881","0.5722790833638612","0.593420684337616","0.1252043922868371","2.3734255719354755","0.53944","0.7087","0.76554","0.5366464383300483","0.6294723749160767"
"both_duo","zoom_blur","5","0.10182215215370058","1.9658847267261317","0.5792","0.74934","0.8048","0.5791167460274449","0.5725417137145996","0.18380513171881435","2.427899717995254","0.53402","0.70326","0.76106","0.5340488990403719","0.6522719860076904","0.14653850672602653","2.618566316568061","0.50664","0.6835","0.74632","0.5036536641528918","0.6849761605262756"
"both_duo","average","0","0.11518480701075","2.101401000855899","0.570652","0.7344039999999998","0.7881746666666667","0.5698911192740554","0.33837151527404785","0.18267098208008958","2.477207647559101","0.5397706666666667","0.7048026666666666","0.7605493333333333","0.5394680782106882","0.37840133905410767","0.1392228845166266","2.929506778624156","0.46134266666666657","0.6240373333333334","0.6847960000000001","0.4571494905931866","0.41668540239334106"
