"mode","corruption","severity","duo/ece","duo/nll","duo/accuracy","duo/acc3","duo/acc5","duo/f1","duo/brier","large/ece","large/nll","large/accuracy","large/acc3","large/acc5","large/f1","large/brier","small/ece","small/nll","small/accuracy","small/acc3","small/acc5","small/f1","small/brier"
"both_duo","brightness","5","0.13359640645712612","1.223641812140263","0.7627","0.89844","0.92966","0.7599734837508598","0.36801496148109436","0.069404736045748","1.1953319641975928","0.73116","0.8752","0.91152","0.7277898778043997","0.38260364532470703","0.05309550589650869","1.2080463750641615","0.72384","0.87206","0.90926","0.7206351318509163","0.3947432339191437"
"both_duo","contrast","5","0.19340372857645155","2.5381775256883112","0.53358","0.70232","0.76006","0.5358421738581087","0.6608248949050903","0.18366680737167596","2.677397156665177","0.49912","0.66802","0.7268","0.5025616524204757","0.6919801831245422","0.07061913115128875","3.4080730941597395","0.36284","0.51824","0.58524","0.3636133443280997","0.7960777878761292"
"both_duo","defocus_blur","5","0.2519813771207631","3.1230293675174927","0.45988","0.63264","0.69734","0.45226384143825105","0.7708455324172974","0.23652020853355527","3.0622675438745914","0.44538","0.61758","0.68424","0.4378556452237976","0.7727329134941101","0.10644267031446099","4.0426381286284725","0.26162","0.40888","0.47834","0.25088211524612974","0.8921563029289246"
"both_duo","elastic_transform","5","0.2001944180960953","2.1312345079914654","0.61608","0.7756","0.82496","0.6155174848425108","0.5677621364593506","0.14790845012977719","2.153653223753048","0.57388","0.7358","0.788","0.5742554584618392","0.5884206891059875","0.09221500350609421","2.234018930911058","0.54514","0.71718","0.77378","0.5395613455865749","0.6166468858718872"
"both_duo","fog","5","0.14576465562701227","1.5719087380312642","0.68876","0.84058","0.8827","0.6859087621084047","0.4605241119861603","0.07817799455560745","1.7341025759823394","0.6401","0.79832","0.8444","0.639317507016149","0.5028122663497925","0.06643782859563828","1.7163924603017169","0.63856","0.80062","0.84726","0.6342075609709146","0.5122900009155273"
"both_duo","frost","5","0.17494928198553622","2.0195437517742922","0.62462","0.78114","0.82738","0.6233518771813062","0.5467221736907959","0.12384482483699917","2.038850083499614","0.59404","0.7522","0.80384","0.5916804948357424","0.5628148317337036","0.06767785895675421","2.4692071845615327","0.51426","0.6775","0.73548","0.5141382385193803","0.6466565728187561"
"both_duo","gaussian_noise","5","0.255403310392201","3.281050281180325","0.44188","0.61336","0.67794","0.44805790834671333","0.7955567836761475","0.25643426413297654","3.507945404518668","0.40744","0.57366","0.6389","0.41403407636665857","0.8345290422439575","0.10037194085761905","3.8461233328853788","0.29898","0.44906","0.5162","0.29823355715826794","0.8556917309761047"
"both_duo","glass_blur","5","0.5045159682014585","5.718214813647266","0.27968","0.51288","0.58936","0.3252182843534765","1.1975558996200562","0.5261669821511954","7.091653006489397","0.25216","0.4169","0.4765","0.2989197603348233","1.2550575733184814","0.07864084892839193","4.08677246957744","0.25402","0.39732","0.46518","0.2423958089051531","0.8899654746055603"
"both_duo","impulse_noise","5","0.2229514810267091","2.977892571416768","0.47056","0.63838","0.70298","0.46924646425059885","0.7404825687408447","0.21697437817171217","3.101662460336924","0.44372","0.60682","0.67032","0.4406426578701057","0.7668786644935608","0.09479744964815676","3.7950488314356536","0.30552","0.45586","0.52452","0.30382212126340685","0.8482451438903809"
"both_duo","jpeg_compression","5","0.17727440060839056","1.8919600841426052","0.64064","0.8044","0.85164","0.6378140584339544","0.5307984352111816","0.12865017342850565","1.8203817486748204","0.62074","0.78644","0.8376","0.6176056422425641","0.5320848226547241","0.07493546722605825","2.3514717301117587","0.51916","0.6896","0.75044","0.5156397084116418","0.640250027179718"
