"mode","corruption","severity","duo/ece","duo/nll","duo/accuracy","duo/acc3","duo/acc5","duo/f1","duo/brier","large/ece","large/nll","large/accuracy","large/acc3","large/acc5","large/f1","large/brier","small/ece","small/nll","small/accuracy","small/acc3","small/acc5","small/f1","small/brier"
"no_adapt","brightness","5","0.7469900846481323","6.527670318630837","0.7485","0.88794","0.9227","0.7466147344917663","0.9980418086051941","0.6839500665664673","6.538249607164696","0.68546","0.8397","0.88072","0.6852394263249253","0.9980681538581848","0.7090625762939453","6.575910731506355","0.7105","0.86114","0.9012","0.7072978429390187","0.998185396194458"
"no_adapt","contrast","5","0.31561002135276794","6.812596886313246","0.31676","0.45738","0.51608","0.3274024907928906","0.9987976551055908","0.18269012868404388","6.831946703763776","0.18384","0.28186","0.32588","0.23857205268553283","0.9988396167755127","0.22430211305618286","6.800702370316051","0.2255","0.34764","0.40282","0.22478751137822917","0.9987674951553345"
"no_adapt","defocus_blur","5","0.33348381519317627","6.7169168529191285","0.33478","0.49012","0.55506","0.3274801464419841","0.9985560178756714","0.3091834783554077","6.728387699922214","0.31048","0.45836","0.5206","0.31288047317076223","0.9985814690589905","0.141389399766922","6.818580484996413","0.14258","0.24276","0.29756","0.13446956016643546","0.9988086819648743"
"no_adapt","elastic_transform","5","0.5171337127685547","6.64081661684238","0.51852","0.6812","0.73756","0.5167446436596697","0.998357892036438","0.392513632774353","6.673835726201521","0.3939","0.54458","0.604","0.40403709426078355","0.9984353184700012","0.4720470607280731","6.688837885385786","0.47336","0.63934","0.70032","0.46176163928695346","0.9984906315803528"
"no_adapt","fog","5","0.647948145866394","6.737078255115785","0.64916","0.80716","0.84918","0.6461783245867857","0.9986239671707153","0.4860483705997467","6.751956117457823","0.48726","0.66332","0.72032","0.538899750393042","0.9986581206321716","0.5852787494659424","6.692744096821833","0.58656","0.74918","0.79848","0.5802896307183054","0.9985088109970093"
"no_adapt","frost","5","0.579133152961731","6.691685700550438","0.58042","0.73632","0.78628","0.5827005814455698","0.9985059499740601","0.5243731141090393","6.702391120453073","0.52566","0.67556","0.7275","0.5345757490113869","0.9985306859016418","0.4619293510913849","6.717512147752758","0.4632","0.61962","0.6774","0.4643665711595952","0.9985663890838623"
"no_adapt","gaussian_noise","5","0.35564491152763367","6.726494821956552","0.35692","0.51342","0.5774","0.35653933042976366","0.9985837340354919","0.35554468631744385","6.730934353660652","0.35682","0.50116","0.56084","0.3660098041070258","0.9985934495925903","0.16300666332244873","6.808489263331232","0.16422","0.26798","0.32154","0.16214374839385293","0.9987830519676208"
"no_adapt","glass_blur","5","0.27129024267196655","6.741092339299583","0.27258","0.40898","0.47128","0.2601766405103189","0.9986165761947632","0.2135898917913437","6.765425878478847","0.21488","0.33072","0.38754","0.21301998780530298","0.9986709356307983","0.1576842963695526","6.8147512504371255","0.15888","0.26186","0.31634","0.14530550463730904","0.9987994432449341"
"no_adapt","impulse_noise","5","0.3550547659397125","6.731282833674553","0.35632","0.51666","0.583","0.35664801282614783","0.9985967874526978","0.3675745725631714","6.734230198566647","0.36884","0.51738","0.57852","0.3793515500967507","0.998603105545044","0.15972766280174255","6.808956660590562","0.16094","0.26598","0.31904","0.1606968372380763","0.9987841248512268"
"no_adapt","jpeg_compression","5","0.5691599249839783","6.594398099445409","0.5706","0.74256","0.79662","0.568512740392498","0.9982268214225769","0.5313796997070312","6.604153804894255","0.53282","0.70742","0.7662","0.5339421800985038","0.9982500672340393","0.4087176024913788","6.729328068908468","0.40998","0.57274","0.63334","0.40336480261733926","0.9985958337783813"
