proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
ac_mc,identity,512,1470,0.9475833900612661,1392,1469,0.43686248309288267,0.6609557345941426,0.5438918123626162,0.8620492267747445,0.928466061186269,0.884910129669692
nuclear_norm,identity,512,1470,0.9400953029271614,1381,1469,0.4950850631835962,0.7036228131489173,0.5871350253779237,0.968371191349814,0.9840585304491872,0.963955872065454
cot,identity,512,1470,0.9394145677331518,1380,1469,0.48923212489399415,0.699451302732359,0.5956295618333965,0.9533015361454171,0.9763716178512243,0.9591665441588869
ac_mc,identity,128,5865,0.9260922120531859,5363,5791,0.42163537279066204,0.6493345615248445,0.533884790940374,0.8305008281376969,0.9113181816126006,0.8759326124271888
nuclear_norm,identity,128,5865,0.9226385771024003,5343,5791,0.4332236749906975,0.6581972918439406,0.5523263411650353,0.9122851489083496,0.9551361939055338,0.9405416363193199
cot,linear,512,1470,0.9196732471068755,1351,1469,0.48923212489399415,0.699451302732359,0.5956295618333965,0.9533015361454171,0.9763716178512243,0.9591665441588869
cot,isotonic,512,1470,0.9196732471068755,1351,1469,0.19043187782501309,0.43638501099947635,0.36043264154725363,0.6361120575584116,0.7975663342684491,0.8991478029882234
cot,identity,128,5865,0.9178034881713003,5315,5791,0.28478373294410425,0.5336513215050669,0.43034109419370314,0.6350204253858298,0.7968816884493142,0.8075728815688062
prototype,linear,512,1470,0.9169503063308373,1347,1469,0.6925347019184398,0.8321866989554927,0.6734239615012851,0.8093576716093538,0.8996430801208631,0.8236118710365372
nuclear_norm,linear,512,1470,0.9162695711368277,1346,1469,0.4950850631835962,0.7036228131489173,0.5871350253779237,0.968371191349814,0.9840585304491872,0.963955872065454
ac_mc,linear,512,1470,0.9121851599727706,1340,1469,0.43686248309288267,0.6609557345941426,0.5438918123626162,0.8620492267747443,0.9284660611862688,0.884910129669692
nuclear_norm,identity,32,23445,0.9025979863358504,20081,22248,0.36698479945723755,0.6057927033707468,0.5324905550054665,0.7704570839421209,0.8777568478468971,0.8531827895547845
ac_mc,identity,32,23445,0.9013394462423588,20053,22248,0.37718002779321724,0.6141498414826932,0.5348793497656967,0.7259119688071815,0.8520046765172017,0.8141922537721423
nuclear_norm,isotonic,512,1470,0.9012933968686181,1324,1469,0.5485098481581975,0.7406145071210781,0.6323177728589511,0.7736593642493967,0.8795790835674736,0.8320823854026119
cot,linear,128,5865,0.8932826800207219,5173,5791,0.28478373294410425,0.5336513215050669,0.43034109419370314,0.6350204253858296,0.7968816884493141,0.8075728815688062
cot,isotonic,128,5865,0.8932826800207219,5173,5791,0.16462963644221884,0.405745778095372,0.41865607557056095,0.4442215179475808,0.6664994508231652,0.7544873921440793
prototype,linear,128,5865,0.8853393196339147,5127,5791,0.6619995531366695,0.8136335496626657,0.6852911863254217,0.7860656966066065,0.8866034607458999,0.8198662077208502
nuclear_norm,linear,128,5865,0.8768779140044898,5078,5791,0.43322367499069764,0.6581972918439407,0.5523263411650353,0.9122851489083496,0.9551361939055338,0.9405416363193199
ac_mc,linear,128,5865,0.8768779140044898,5078,5791,0.42163537279066204,0.6493345615248445,0.533884790940374,0.8305008281376964,0.9113181816126004,0.8759326124271888
cot,linear,32,23445,0.8606166846458109,19147,22248,0.027720065900270346,0.16649344101276287,0.145894769627399,0.08587847178672067,0.2930502888357571,0.27246119585397366
cot,isotonic,32,23445,0.8606166846458109,19147,22248,0.01306614586265769,0.11430724326418554,0.10388009713841777,0.029718197493792134,0.17238966759580499,0.18016260469044293
atc,linear,512,1470,0.8543226684819605,1255,1469,0.3111159035543578,0.5577776470551306,0.4210618162044016,0.7599975223226219,0.8717783676615415,0.8167202198541866
prototype,linear,32,23445,0.8487953973390867,18884,22248,0.5715712201254763,0.7560232933749306,0.6800282417780749,0.707262355985437,0.8409889154949886,0.7869919086350325
atc,linear,128,5865,0.8390606112933863,4859,5791,0.2999495353462988,0.5476764878523623,0.40682794457927346,0.7193445805700547,0.8481418398888565,0.8063362612083914
nuclear_norm,linear,32,23445,0.8336929162171881,18548,22248,0.36698479945723755,0.6057927033707468,0.5324905550054665,0.7704570839421209,0.8777568478468971,0.8531827895547845
ac_mc,linear,32,23445,0.8279845379359942,18421,22248,0.37718002779321735,0.6141498414826934,0.5348793497656967,0.7259119688071815,0.8520046765172017,0.8141922537721423
nuclear_norm,isotonic,128,5865,0.8119495769297185,4702,5791,0.4727069929965328,0.6875369030070552,0.5805671003631836,0.8314327801802615,0.9118293591348446,0.912416908961533
atc,linear,32,23445,0.8048363897878461,17906,22248,0.26247190019050154,0.5123201149579251,0.399129831626115,0.5943829616000117,0.7709623606895551,0.739092085063752
nuclear_norm,isotonic,32,23445,0.8046116504854369,17901,22248,0.37079915032190114,0.608932796227877,0.5397527974696481,0.6643961814993303,0.8151050125593207,0.8294527788212434
ac_mc,isotonic,512,1470,0.8039482641252553,1181,1469,0.4641016756522013,0.6812500830474821,0.5650521431763257,0.8060257833720874,0.897789386978977,0.8870812782842649
ac_mc,isotonic,128,5865,0.803142807805215,4651,5791,0.44848495824613627,0.6696901957219743,0.5634398492347454,0.7547467907004327,0.8687616420517383,0.8710347793398099
atc,isotonic,512,1470,0.8005445881552076,1176,1469,0.3823609520907231,0.6183534200525805,0.5242497486043869,0.7016617732805487,0.8376525373211429,0.812395817516637
ac_mc,isotonic,32,23445,0.8004314994606256,17808,22248,0.38129118972467446,0.6174878053246675,0.5413356348938847,0.6218845112999594,0.7885965453259096,0.7921774138381015
prototype,isotonic,512,1470,0.7923757658270932,1164,1469,0.5133957703637559,0.7165164131851802,0.7095792758272512,0.7209084206790997,0.8490632607050547,0.8475589859414192
atc,isotonic,128,5865,0.7815575893628044,4526,5791,0.35977535913740716,0.5998127700686333,0.5119454190326835,0.6251420658313123,0.7906592602577373,0.7918203962323404
prototype,isotonic,32,23445,0.7763843941028407,17273,22248,0.4311918499426339,0.656652000638568,0.618672180722858,0.6132435045641705,0.7830986557032074,0.7853348877581455
prototype,isotonic,128,5865,0.7753410464513901,4490,5791,0.49980240400740306,0.7069670459133177,0.6712581097288591,0.6950780463961277,0.8337134078303693,0.8391147454315077
atc,isotonic,32,23445,0.7604279036317871,16918,22248,0.2877155584334025,0.5363912363502992,0.4833688773806746,0.48988502151096724,0.6999178676894648,0.7052302077613647
cot,identity,32,23445,0.6909385113268608,15372,22248,0.027720065900270367,0.16649344101276292,0.145894769627399,0.08587847178672071,0.2930502888357572,0.27246119585397366
prototype,identity,32,23445,0.5375314635023373,11959,22248,0.5715712201254763,0.7560232933749306,0.6800282417780749,0.707262355985437,0.8409889154949886,0.7869919086350325
prototype,identity,128,5865,0.5111379727162839,2960,5791,0.6619995531366695,0.8136335496626657,0.6852911863254217,0.7860656966066065,0.8866034607458999,0.8198662077208502
prototype,identity,512,1470,0.48196051735874745,708,1469,0.6925347019184398,0.8321866989554927,0.6734239615012851,0.809357671609354,0.8996430801208632,0.8236118710365372
atc,identity,32,23445,0.290453074433657,6462,22248,0.26247190019050143,0.512320114957925,0.399129831626115,0.5943829616000119,0.7709623606895553,0.739092085063752
atc,identity,128,5865,0.21153514073562424,1225,5791,0.2999495353462988,0.5476764878523623,0.40682794457927346,0.7193445805700549,0.8481418398888566,0.8063362612083914
atc,identity,512,1470,0.168141592920354,247,1469,0.3111159035543578,0.5577776470551306,0.4210618162044016,0.759997522322622,0.8717783676615416,0.8167202198541866
