proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
ac_mc,identity,1024,375,0.9679144385026738,362,374,0.44153163534483947,0.6644784686841549,0.5446517077779468,0.8699232920741335,0.9326967846380374,0.8866991280923049
cot,identity,1024,375,0.9598930481283422,359,374,0.509407516246119,0.7137279007059476,0.602484814926516,0.9508120265413269,0.9750959063298988,0.9652835045199546
ac_mc,identity,512,735,0.958904109589041,700,730,0.43821282637109754,0.6619764545443422,0.5441810598575939,0.8637322137366523,0.9293719458519567,0.8871812331750502
nuclear_norm,identity,1024,375,0.9572192513368984,358,374,0.5159806565353425,0.71831793555176,0.6045964740066979,0.9754447427193133,0.9876460614609432,0.9719851902454344
cot,identity,512,735,0.9547945205479452,697,730,0.4985893916406457,0.7061086259497512,0.5926849267112082,0.9462480282775226,0.9727528094421124,0.9570724255552523
nuclear_norm,identity,512,735,0.9534246575342465,696,730,0.4963148044245846,0.7044961351381458,0.5871291262227607,0.96903363021475,0.9843950579999627,0.9644715083729959
nuclear_norm,platt,1024,375,0.9331550802139037,349,374,0.5602516413865815,0.7484995934444998,0.6045964740066979,0.9770944889805512,0.9884808996538836,0.9719851902454344
nuclear_norm,beta,1024,375,0.9331550802139037,349,374,0.541684039798808,0.7359918748184711,0.6045964740066979,0.9761487920218245,0.988002425109283,0.9719851902454344
nuclear_norm,isotonic,1024,375,0.9331550802139037,349,374,0.4531631614913976,0.6731739459392332,0.5626196717036668,0.6815984127513878,0.8255897363408703,0.705319410467877
ac_mc,platt,1024,375,0.9331550802139037,349,374,0.45720142584765705,0.6761667145369232,0.5446517077779468,0.8940355600118872,0.9455345366573805,0.8866991280923049
ac_mc,beta,1024,375,0.9331550802139037,349,374,0.45611699534546885,0.6753643426665853,0.5446517077779468,0.8727840114230989,0.9342291000729419,0.8866991280923049
cot,linear,1024,375,0.9331550802139037,349,374,0.509407516246119,0.7137279007059476,0.602484814926516,0.9508120265413267,0.9750959063298987,0.9652835045199546
cot,platt,1024,375,0.9331550802139037,349,374,0.509248436679419,0.7136164492774946,0.602484814926516,0.9517828299986358,0.9755935782889491,0.9652835045199546
cot,beta,1024,375,0.9331550802139037,349,374,nan,nan,nan,nan,nan,nan
cot,isotonic,1024,375,0.9331550802139037,349,374,0.1779487186601206,0.4218396836004415,0.28567068319584465,0.21707426290616813,0.46591229100139453,0.6758872033717638
ac_mc,identity,128,2940,0.9306178805661028,2696,2897,0.42277299921374684,0.6502099654832636,0.5350201998544946,0.8318611212905084,0.9120642089735286,0.8779324033271313
atc,isotonic,1024,375,0.93048128342246,348,374,0.4536228941120964,0.6735153258182744,0.5142110927114905,0.720783503231192,0.8489896955977687,0.8183841354509112
prototype,linear,1024,375,0.93048128342246,348,374,0.6980729541620518,0.8355076026955421,0.6632682599138221,0.8153521232738499,0.9029685062469509,0.8196563288282459
prototype,platt,1024,375,0.93048128342246,348,374,0.6941850524148484,0.8331776835794682,0.6632682599138221,0.8492086771304823,0.9215251907194303,0.8196563288282459
ac_mc,linear,1024,375,0.9278074866310161,347,374,0.4415316353448392,0.6644784686841547,0.5446517077779468,0.8699232920741333,0.9326967846380373,0.8866991280923049
nuclear_norm,identity,128,2940,0.9275112185018985,2687,2897,0.43283192923086594,0.6578996346182797,0.5530689648325497,0.913572746309654,0.9558099948785083,0.9420646435444193
cot,linear,512,735,0.9273972602739726,677,730,0.4985893916406458,0.7061086259497513,0.5926849267112082,0.9462480282775226,0.9727528094421124,0.9570724255552523
cot,platt,512,735,0.9273972602739726,677,730,0.4988420378401135,0.706287503669797,0.5926849267112082,0.9475086706413275,0.9734005704956863,0.9570724255552523
cot,beta,512,735,0.9273972602739726,677,730,nan,nan,nan,nan,nan,nan
cot,isotonic,512,735,0.9273972602739726,677,730,0.11929232348086957,0.3453872080446373,0.25507174805212485,0.4066127514837393,0.6376619413793952,0.799335085150916
nuclear_norm,isotonic,512,735,0.9260273972602739,676,730,0.5265690922141444,0.7256508059763624,0.6137516938642233,0.729512670329438,0.8541151388012262,0.8573600404760348
nuclear_norm,platt,512,735,0.9246575342465754,675,730,0.535707711714149,0.7319205638005732,0.5871291262227607,0.9738424453920645,0.9868345582680333,0.9644715083729959
nuclear_norm,beta,512,735,0.9246575342465754,675,730,0.5220524802299258,0.7225319925303832,0.5871291262227607,0.9694105228179751,0.9845864730017243,0.9644715083729959
atc,isotonic,512,735,0.9219178082191781,673,730,0.44740983675856605,0.6688870134473879,0.5025931546218526,0.7094213478106957,0.8422715404254709,0.8163810632421513
ac_mc,platt,512,735,0.9219178082191781,673,730,0.4537573322575788,0.673615121755427,0.5441810598575939,0.8876143993108041,0.9421328989642619,0.8871812331750502
ac_mc,beta,512,735,0.9219178082191781,673,730,0.45265123386448,0.672793604208958,0.5441810598575939,0.8665550980184281,0.9308894123462937,0.8871812331750502
prototype,linear,512,735,0.9178082191780822,670,730,0.6917048132117666,0.83168793018281,0.6697919977845243,0.8112029419032489,0.9006680531157131,0.8239897876656548
prototype,platt,512,735,0.9178082191780822,670,730,0.6878596823096935,0.8293730658212223,0.6697919977845243,0.8447462176069765,0.9191007657525787,0.8239897876656548
ac_mc,linear,512,735,0.9178082191780822,670,730,0.43821282637109765,0.6619764545443423,0.5441810598575939,0.8637322137366523,0.9293719458519567,0.8871812331750502
prototype,beta,1024,375,0.9171122994652406,343,374,0.6939928544631168,0.8330623352805699,0.6632682599138221,0.8601569895169049,0.9274464887619689,0.8196563288282459
cot,identity,128,2940,0.9168104936140835,2656,2897,0.27308976022392073,0.5225799079795556,0.43033066646706425,0.6312010644525986,0.7944816325457742,0.8026157013315185
nuclear_norm,linear,512,735,0.9164383561643835,669,730,0.4963148044245846,0.7044961351381458,0.5871291262227607,0.96903363021475,0.9843950579999627,0.9644715083729959
nuclear_norm,linear,1024,375,0.9117647058823529,341,374,0.5159806565353426,0.7183179355517602,0.6045964740066979,0.9754447427193133,0.9876460614609432,0.9719851902454344
prototype,beta,512,735,0.910958904109589,665,730,0.6875608898230603,0.8291929147207303,0.6697919977845243,0.8555713437375696,0.9249709961601875,0.8239897876656548
nuclear_norm,identity,32,11730,0.9050279329608939,10044,11098,0.36758170117728783,0.606285164899561,0.5322633587473342,0.773804089187124,0.8796613491492757,0.8562967272587013
ac_mc,identity,32,11730,0.9048477203099657,10042,11098,0.3776759244308743,0.6145534349679239,0.534817800399883,0.7300966661974606,0.8544569422723772,0.8183348682512688
cot,linear,128,2940,0.8950638591646531,2593,2897,0.2730897602239206,0.5225799079795554,0.43033066646706425,0.6312010644525984,0.7944816325457741,0.8026157013315185
cot,platt,128,2940,0.8950638591646531,2593,2897,0.27310947582657263,0.5225987713596087,0.43033066646706425,0.6307874870120392,0.794221308585988,0.8026157013315185
cot,beta,128,2940,0.8950638591646531,2593,2897,nan,nan,nan,nan,nan,nan
cot,isotonic,128,2940,0.8950638591646531,2593,2897,0.18829483035997463,0.43392952234202115,0.4379941072431197,0.5544517304216586,0.744615155917242,0.795747519690816
ac_mc,isotonic,1024,375,0.8823529411764706,330,374,0.5294658269246114,0.7276440248669753,0.5674340423415444,0.8430370775414582,0.9181705057022134,0.8899030115249744
ac_mc,isotonic,512,735,0.8821917808219178,644,730,0.518290969574131,0.7199242804449166,0.5651383533396008,0.8317234362582597,0.9119887259490984,0.8897238777950758
nuclear_norm,beta,128,2940,0.8809112875388333,2552,2897,0.4538401459460099,0.673676588539345,0.5530689648325497,0.9131892576733769,0.9556093645802017,0.9420646435444193
nuclear_norm,platt,128,2940,0.8805661028650328,2551,2897,0.4573957416376951,0.6763103885330278,0.5530689648325497,0.9265604563693846,0.9625801038715607,0.9420646435444193
ac_mc,platt,128,2940,0.8805661028650328,2551,2897,0.43756835934308347,0.6614895005539267,0.5350201998544946,0.8539664609597554,0.9241030575426938,0.8779324033271313
ac_mc,beta,128,2940,0.8795305488436314,2548,2897,0.4364028893782355,0.6606079695085698,0.5350201998544946,0.8344205040760455,0.9134662030289055,0.8779324033271313
nuclear_norm,isotonic,128,2940,0.8778046254746289,2543,2897,0.48182246434902165,0.6941343273092188,0.5945400250687957,0.8351009000366897,0.913838552500763,0.9157460202332963
atc,isotonic,128,2940,0.8778046254746289,2543,2897,0.41306748099277774,0.64270326044978,0.4882677725138519,0.6596733206084123,0.8122027583112559,0.7980954932519704
