proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
ac_mc,isotonic,2048,40,0.875,35,40,0.9137931034482758,0.8275862068965517,1.0,29,11,-0.008706800156438564,0.4711458610997271,0.771274566539961,0.8006698196466405,0.8948015532209589,0.9650021100435756,0.7953345899082253,0.8918153339723562,0.9246972777767368
ac_mc,isotonic,1024,80,0.8987341772151899,71,79,0.9044444444444444,0.8888888888888888,0.92,54,25,-0.007537884669516999,0.4156974141940573,0.7354579006826243,0.7978297411798788,0.8932131555120977,0.9673335996903739,0.7969905728448645,0.8927432849620682,0.9266827543501528
cot,platt,2048,40,0.85,34,40,0.896551724137931,0.7931034482758621,1.0,29,11,0.0013513763267510679,0.31556586024235256,0.8314858775812124,0.9862291917063598,0.9930907268252784,0.9550488660851801,0.9818537229731666,0.9908853228165037,0.9385055594545249
cot,linear,2048,40,0.925,37,40,0.8918495297805643,0.9655172413793104,0.8181818181818182,29,11,0.002905472148120484,0.294053044106749,0.8416886486042015,0.9855717252190475,0.9927596512847646,0.9550488660851801,0.9790967468565813,0.9894931767610029,0.9385055594545249
ac_mc,isotonic,512,160,0.8516129032258064,132,155,0.8374028856825749,0.8823529411764706,0.7924528301886793,102,53,-0.005419104786315014,0.34296651662154737,0.5551578578393218,0.7873878359961386,0.887348767957751,0.9618364292924992,0.7862754680744096,0.8867217534685893,0.9275876902858994
nuclear_norm,platt,2048,40,0.8,32,40,0.8338557993730407,0.7586206896551724,0.9090909090909091,29,11,0.0008726157241933133,0.6915560118216328,0.7292487152275753,0.9918542705570476,0.9959188072112343,0.9504505174128627,0.9924560509693839,0.9962208846281952,0.9359726076247294
ac_mc,linear,2048,40,0.8,32,40,0.8338557993730407,0.7586206896551724,0.9090909090909091,29,11,0.0009895655408492486,0.9429153648196592,0.766481281904909,0.9569553459978302,0.9782409447563674,0.9621809987197948,0.9510380765836076,0.9752118111382817,0.950888879511302
ac_mc,platt,2048,40,0.8,32,40,0.8338557993730407,0.7586206896551724,0.9090909090909091,29,11,-0.0029784455734398947,0.8193191343974144,0.7791633539199937,0.9696063435660881,0.984685911123993,0.9621809987197948,0.9685828998188644,0.9841660936137072,0.950888879511302
atc,isotonic,2048,40,0.9,36,40,0.8181818181818181,1.0,0.6363636363636364,29,11,0.015508158934388136,0.5671248400196407,0.7221472520752007,0.898801498219723,0.9480514217170517,0.969127004092722,0.8934890228478055,0.9452454828497228,0.9691259049322536
nuclear_norm,linear,2048,40,0.775,31,40,0.8166144200626959,0.7241379310344828,0.9090909090909091,29,11,0.0047228876348607415,0.9356122674982427,0.7233061112926511,0.9872991459631921,0.9936292799445838,0.9504505174128627,0.977934721832905,0.9889058205071426,0.9359726076247294
nuclear_norm,beta,2048,40,0.775,31,40,0.8166144200626959,0.7241379310344828,0.9090909090909091,29,11,0.0018601325886477254,0.8557101534343198,0.7329796200056441,0.97583240458619,0.9878422974271703,0.9504505174128627,0.9703083972190688,0.9850423327040665,0.9359726076247294
ac_mc,beta,2048,40,0.75,30,40,0.7993730407523512,0.6896551724137931,0.9090909090909091,29,11,0.0018827920713577636,0.9219576965362891,0.7409290076169982,0.9238454726573899,0.9611688054953667,0.9621809987197948,0.9243382066718817,0.9614250915551776,0.950888879511302
ac_mc,beta,1024,80,0.7721518987341772,61,79,0.7903703703703704,0.7407407407407407,0.84,54,25,0.0025185410573913556,0.8547707644941832,0.7127124609869677,0.9208021548932447,0.9595843656986314,0.963339377472466,0.9227175311707272,0.960581871144114,0.9588911096237713
ac_mc,linear,1024,80,0.7848101265822784,62,79,0.788888888888889,0.7777777777777778,0.8,54,25,0.001663411346574323,0.872778728252187,0.7356970515686984,0.9534483011902309,0.9764467733523579,0.963339377472466,0.9492704439931312,0.9743051082659534,0.9588911096237713
ac_mc,linear,512,160,0.7612903225806451,118,155,0.7778394376618571,0.7254901960784313,0.8301886792452831,102,53,0.0038476569914788913,0.6543615784185901,0.6037552827729715,0.9234640109745844,0.9609703486448395,0.9609401799944819,0.9361100203068496,0.9675277878732216,0.9637743370946683
ac_mc,platt,512,160,0.7548387096774194,117,155,0.7729374768775434,0.7156862745098039,0.8301886792452831,102,53,-0.0005002016437947906,0.5675103596697876,0.6012142285744803,0.9336981054513005,0.9662805521437863,0.9609401799944819,0.95251566611997,0.9759690907605476,0.9637743370946683
nuclear_norm,beta,512,160,0.7483870967741936,116,155,0.7680355160932297,0.7058823529411765,0.8301886792452831,102,53,0.005265352934555366,0.546942229540853,0.5475908607963499,0.9582814522596791,0.9789185115522533,0.9603644026357006,0.967105381713546,0.983415162438299,0.9655411927386317
ac_mc,beta,512,160,0.7419354838709677,115,155,0.7676655567887533,0.6862745098039216,0.8490566037735849,102,53,0.004687903883021392,0.6452908787250972,0.5901400420089997,0.8949953505175624,0.9460419390902088,0.9609401799944819,0.9106636316610734,0.9542869755273167,0.9637743370946683
nuclear_norm,beta,1024,80,0.7848101265822784,62,79,0.7566666666666667,0.8333333333333334,0.68,54,25,0.007346211927265477,0.645203426437256,0.7021217157905325,0.9786517262021759,0.9892682781744171,0.9668559846764978,0.9760250802395251,0.9879398161019349,0.9609541737570402
nuclear_norm,linear,1024,80,0.7974683544303798,63,79,0.7551851851851852,0.8703703703703703,0.64,54,25,0.012250777047659893,0.7288797595074278,0.6694098192791361,0.9850434211420931,0.9924935370782487,0.9668559846764978,0.9759987024508517,0.9879264661151921,0.9609541737570402
nuclear_norm,platt,1024,80,0.7974683544303798,63,79,0.7551851851851852,0.8703703703703703,0.64,54,25,0.008280535773084106,0.4877288388144886,0.6772716278364764,0.9886059551751912,0.9942866564402799,0.9668559846764978,0.9869878208895114,0.9934726070151665,0.9609541737570402
prototype,isotonic,2048,40,0.725,29,40,0.7539184952978057,0.6896551724137931,0.8181818181818182,29,11,-0.001414926946566037,0.5268582777037052,0.4193681450452719,0.7134338329006488,0.8446501245490045,0.9176581201135313,0.7754327476731462,0.8805865929442409,0.9156129588917551
ac_mc,platt,1024,80,0.7468354430379747,59,79,0.7503703703703704,0.7407407407407407,0.76,54,25,-0.0024059197121562084,0.7588751428799929,0.7462813166869373,0.9658468784408043,0.982775090466178,0.963339377472466,0.9666345670911409,0.9831757559516716,0.9588911096237713
nuclear_norm,linear,512,160,0.7290322580645161,113,155,0.739733629300777,0.7058823529411765,0.7735849056603774,102,53,0.00837213686335821,0.5859170500181057,0.534940672005368,0.9680455473199613,0.983893056851181,0.9603644026357006,0.9734159008003536,0.9866184170186332,0.9655411927386317
nuclear_norm,platt,512,160,0.7225806451612903,112,155,0.7348316685164632,0.696078431372549,0.7735849056603774,102,53,0.004042396283419508,0.418320015229081,0.502806883403135,0.9728855644430493,0.9863496157261122,0.9603644026357006,0.9872027235256001,0.9935807584316436,0.9655411927386317
ac_mc,isotonic,128,628,0.7632933104631218,445,583,0.7324431318336057,0.8547945205479452,0.6100917431192661,365,218,-0.0031959552248962014,0.19474603128806575,0.3666067187904303,0.745907957747626,0.8636596307270741,0.9310828313082692,0.7577738018056647,0.8705020400927643,0.9139834799003013
cot,linear,1024,80,0.7974683544303798,63,79,0.7122222222222222,0.9444444444444444,0.48,54,25,0.00491685941584422,0.18793778782621992,0.720456159794994,0.9508521586129897,0.9751164846381122,0.9360387835451659,0.9542600529271787,0.9768623510644572,0.9304536460595099
prototype,isotonic,1024,80,0.7215189873417721,57,79,0.7103703703703703,0.7407407407407407,0.68,54,25,0.0004212684857356984,0.4469998691317715,0.37417627355030847,0.7019981288121909,0.8378532859708738,0.9174151359734274,0.778057994323312,0.8820759572300517,0.9226767632215861
ac_mc,beta,128,628,0.7015437392795884,409,583,0.7016023626995098,0.7013698630136986,0.7018348623853211,365,218,0.007187179377357499,0.42763740172983816,0.4740611420023687,0.8749504924972443,0.9353878834458165,0.9452659924965967,0.8800381487859098,0.9381034851155334,0.9564532799165809
cot,isotonic,512,160,0.6064516129032258,94,155,0.6964483906770256,0.4117647058823529,0.9811320754716981,102,53,-0.004586734784799251,0.20295550878014829,0.4994204018982025,0.002898722557310847,0.05383978600729062,0.6255998153395151,0.31476871943551227,0.5610425290791352,0.6777376948390936
ac_mc,linear,128,628,0.6998284734133791,408,583,0.6956139248460476,0.7123287671232876,0.6788990825688074,365,218,0.006517617047177958,0.4400692007804143,0.4857109886916945,0.905113021053955,0.9513742802146561,0.9452659924965967,0.9046553010018816,0.9511336924964238,0.9564532799165809
ac_mc,platt,128,628,0.6981132075471698,407,583,0.6951677768003016,0.7068493150684931,0.6834862385321101,365,218,0.0017084485688559636,0.3916861373275928,0.481652090870992,0.915617562645408,0.9568790742018596,0.9452659924965967,0.9198168136072604,0.9590708074001942,0.9564532799165809
atc,isotonic,1024,80,0.7974683544303798,63,79,0.6907407407407408,0.9814814814814815,0.4,54,25,0.016201110240659882,0.5046477311822268,0.662832556405368,0.8818439089737368,0.9390654444572736,0.9643539374016117,0.8833495946791402,0.9398667962424996,0.9647254203072188
nuclear_norm,isotonic,2048,40,0.55,22,40,0.6896551724137931,0.3793103448275862,1.0,29,11,-0.008634126639540045,0.3721148705507538,0.7524607085966615,0.9376319793799758,0.9683139880121405,0.9304728951490417,0.9064388942592733,0.9520708451891977,0.9443330592213863
atc,isotonic,512,160,0.7677419354838709,119,155,0.6875693673695893,0.9411764705882353,0.4339622641509434,102,53,0.01760018396284543,0.3412932309715175,0.46140692009575685,0.8220563539277678,0.906673234372653,0.9459520191430869,0.8606457928741513,0.9277099723912379,0.9632847610300316
cot,platt,1024,80,0.7468354430379747,59,79,0.6859259259259259,0.8518518518518519,0.52,54,25,0.003954215620497034,0.1982135945643595,0.7046305555926187,0.9518663933041329,0.97563640425321,0.9360387835451659,0.9562149682694436,0.9778624485424541,0.9304536460595099
nuclear_norm,isotonic,1024,80,0.569620253164557,45,79,0.6851851851851851,0.37037037037037035,1.0,54,25,-0.013559562299613552,0.47008801331658717,0.7718116892789014,0.8785532580638247,0.9373117187274598,0.7923769546021973,0.8719791966337186,0.933798263349059,0.9154390241109835
prototype,isotonic,512,160,0.7096774193548387,110,155,0.6842397336293007,0.7647058823529411,0.6037735849056604,102,53,0.0020097201725586492,0.3515998174109139,0.33627945213791804,0.696091396315093,0.8343209192601447,0.9068433129157186,0.7658209743646215,0.8751119781860042,0.9247694011906674
nuclear_norm,linear,128,628,0.6620926243567753,386,583,0.6673243684805832,0.6465753424657534,0.6880733944954128,365,218,0.006574732928005214,0.43653987200664723,0.4477033043575908,0.9295863896723172,0.9641506052854592,0.9476651389191131,0.9288911899165422,0.9637900133932402,0.9591676373336065
nuclear_norm,platt,128,628,0.6569468267581475,383,583,0.6650622093753927,0.6328767123287671,0.6972477064220184,365,218,0.0009758139592247722,0.36151151423083766,0.4348144527153291,0.9373190380960503,0.9681523837165564,0.9476651389191131,0.9447377766301054,0.9719762222555166,0.9591676373336065
nuclear_norm,beta,128,628,0.6483704974271012,378,583,0.6600603242428051,0.6136986301369863,0.7064220183486238,365,218,0.005456732773302572,0.41362746634846753,0.44712130001096717,0.9125479769892408,0.9552737707009655,0.9476651389191131,0.9147517489446934,0.9564265517773403,0.9591676373336065
cot,isotonic,1024,80,0.5316455696202531,42,79,0.6574074074074074,0.3148148148148148,1.0,54,25,-0.007486358109132869,0.14020207721987957,0.47505007924620163,0.014242360728234477,0.11934136218526449,0.1437462394044403,0.42345799614143165,0.6507365028499874,0.7381147035855826
nuclear_norm,isotonic,512,160,0.567741935483871,88,155,0.6534406215316315,0.38235294117647056,0.9245283018867925,102,53,-0.00658963585598448,0.2985753836934081,0.6202440250864075,0.9284942744471454,0.9635840775184827,0.9160367977713874,0.8999201446554186,0.9486412096548508,0.9303713682880647
cot,platt,512,160,0.7419354838709677,115,155,0.6407695153533112,0.9607843137254902,0.32075471698113206,102,53,0.008327202506082257,0.12559508877615608,0.5275465205072848,0.7402378452152203,0.860370760320933,0.873675480704182,0.754545435332327,0.868645747892849,0.8870802026785491
prototype,platt,128,628,0.6620926243567753,386,583,0.6359180595701898,0.7397260273972602,0.5321100917431193,365,218,0.00858188895217299,0.2023279097486434,0.2616460157014404,0.8895396617723679,0.9431541028762839,0.9424053506028375,0.8941207477804062,0.9455795829968021,0.95155724052222
atc,isotonic,128,628,0.6981132075471698,407,583,0.6277365841397512,0.9068493150684932,0.3486238532110092,365,218,0.020601586684128405,0.21030739440403048,0.3324466655124258,0.7929837229073997,0.8904963351454063,0.9181096519038894,0.8099985825805722,0.8999992125444178,0.9425056300449887
cot,linear,512,160,0.7290322580645161,113,155,0.617369589345172,0.9705882352941176,0.2641509433962264,102,53,0.008677057182941936,0.12173142240012509,0.5338242800893792,0.7321096684112394,0.8556340738956341,0.873675480704182,0.7449741089342137,0.8631188266595821,0.8870802026785491
