proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_pearson,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
ac_mc,isotonic,2048,40,0.875,35,40,0.9137931034482758,0.8275862068965517,1.0,29,11,-0.008706866286046349,0.47114617100989503,0.7712748068382185,0.668851791211176,0.8006698259690814,0.8948015567538321,0.9650021100435756,0.7953347827955697,0.8918154421154467,0.9246972777767368
ac_mc,isotonic,1024,80,0.8987341772151899,71,79,0.9044444444444444,0.8888888888888888,0.92,54,25,-0.007537888329214512,0.4156973997988592,0.7354578636796197,0.6646105534889413,0.7978297244018119,0.893213146120125,0.9673335996903739,0.7969905728448645,0.8927432849620682,0.9266827543501528
cot,linear,2048,40,0.9,36,40,0.8746081504702194,0.9310344827586207,0.8181818181818182,29,11,0.00386060905427299,0.27311730611419704,0.8328430741183424,0.8185230689338137,0.9845856564560179,0.9922628968453965,0.9325263419758705,0.9831324463439091,0.9915303557349664,0.9511703186035012
ac_mc,isotonic,512,160,0.8516129032258064,132,155,0.8374028856825749,0.8823529411764706,0.7924528301886793,102,53,-0.005419110841008655,0.342966574092921,0.555157653219577,0.544742478016204,0.7873878308579064,0.887348765062479,0.9618364292924992,0.7862753579295683,0.8867216913606931,0.9275876902858994
nuclear_norm,platt,2048,40,0.8,32,40,0.8338557993730407,0.7586206896551724,0.9090909090909091,29,11,0.0008736196468275088,0.6916114702095044,0.7292986126823964,0.6615370441342872,0.9918557748494691,0.9959195624393915,0.9504505174128627,0.9924566907341544,0.996221205723987,0.9359726076247294
ac_mc,linear,2048,40,0.8,32,40,0.8338557993730407,0.7586206896551724,0.9090909090909091,29,11,0.0009895663784359112,0.9429152672169043,0.7664811661498232,0.6904382369844091,0.9569553345103134,0.9782409388848503,0.9621809987197948,0.95103809391119,0.9752118200222913,0.950888879511302
ac_mc,platt,2048,40,0.8,32,40,0.8338557993730407,0.7586206896551724,0.9090909090909091,29,11,-0.0029784452875864895,0.819318992375669,0.7791632170083849,0.6740171046832034,0.9696063367977704,0.9846859076872028,0.9621809987197948,0.9685829158368585,0.9841661017515583,0.950888879511302
cot,platt,2048,40,0.825,33,40,0.822884012539185,0.8275862068965517,0.8181818181818182,29,11,0.002522884331628399,0.2922243568151074,0.8224496056069631,0.8124237912219373,0.9851044922366473,0.9925243030962251,0.9325263419758705,0.9852858244004117,0.9926156478720309,0.9511703186035012
atc,isotonic,2048,40,0.9,36,40,0.8181818181818181,1.0,0.6363636363636364,29,11,0.015508158936378316,0.5671248779022418,0.7221472775601429,0.6999425518758954,0.8988015029168608,0.9480514241943107,0.969127004092722,0.8934890233859533,0.9452454831343831,0.9691259049322536
nuclear_norm,linear,2048,40,0.775,31,40,0.8166144200626959,0.7241379310344828,0.9090909090909091,29,11,0.004724086052374751,0.9356390089853375,0.7233393833654407,0.6768321559348387,0.9872994908599104,0.9936294534985919,0.9504505174128627,0.9779346169438,0.9889057674742321,0.9359726076247294
nuclear_norm,beta,2048,40,0.775,31,40,0.8166144200626959,0.7241379310344828,0.9090909090909091,29,11,0.0018622280103502069,0.8557348804856949,0.7329935748846529,0.6927841130274385,0.975829204880789,0.9878406778832247,0.9504505174128627,0.9703045457646358,0.9850403777331342,0.9359726076247294
ac_mc,beta,2048,40,0.75,30,40,0.7993730407523512,0.6896551724137931,0.9090909090909091,29,11,0.0018827942089437134,0.9219576163146084,0.7409289263673271,0.6891245464003126,0.9238454532021025,0.9611687953747263,0.9621809987197948,0.9243382230258513,0.9614251000602446,0.950888879511302
ac_mc,beta,1024,80,0.7721518987341772,61,79,0.7903703703703704,0.7407407407407407,0.84,54,25,0.0025185381413573554,0.8547707008144599,0.7127123993768489,0.7395685063859408,0.9208021444320587,0.959584360247737,0.963339377472466,0.922717540784995,0.9605818761485119,0.9588911096237713
ac_mc,linear,1024,80,0.7848101265822784,62,79,0.788888888888889,0.7777777777777778,0.8,54,25,0.0016634076445796078,0.8727786617763144,0.7356969359437762,0.7389472172618569,0.9534482896759848,0.9764467674563652,0.963339377472466,0.9492704510807647,0.9743051119032295,0.9588911096237713
ac_mc,linear,512,160,0.7612903225806451,118,155,0.7778394376618571,0.7254901960784313,0.8301886792452831,102,53,0.003847653609276595,0.6543615652728609,0.6037552171652711,0.6485188984052349,0.9234639968436876,0.9609703412924291,0.9609401799944819,0.9361100234078233,0.9675277894757459,0.9637743370946683
ac_mc,platt,512,160,0.7548387096774194,117,155,0.7729374768775434,0.7156862745098039,0.8301886792452831,102,53,-0.0005002051870429201,0.5675103369816008,0.6012141484546631,0.6316025049679983,0.933698090598918,0.9662805444584497,0.9609401799944819,0.9525156714706965,0.9759690935017853,0.9637743370946683
nuclear_norm,beta,512,160,0.7483870967741936,116,155,0.7680355160932297,0.7058823529411765,0.8301886792452831,102,53,0.005261771680310798,0.5469898150176095,0.5475945992266851,0.6033147313269365,0.9582771184496295,0.9789162979793673,0.9603644026357006,0.967100916952176,0.9834128924069361,0.9655411927386317
ac_mc,beta,512,160,0.7419354838709677,115,155,0.7676655567887533,0.6862745098039216,0.8490566037735849,102,53,0.004687900910391684,0.6452908575121775,0.5901400009802185,0.6403801554088375,0.8949953358911704,0.9460419313599003,0.9609401799944819,0.9106636311950752,0.9542869752831562,0.9637743370946683
nuclear_norm,beta,1024,80,0.7848101265822784,62,79,0.7566666666666667,0.8333333333333334,0.68,54,25,0.007346342607035527,0.6452331663342571,0.7021180143639021,0.7055031064880561,0.9786513787345429,0.989268102555896,0.9668559846764978,0.9760238255757933,0.9879391811117693,0.9609541737570402
nuclear_norm,linear,1024,80,0.7974683544303798,63,79,0.7551851851851852,0.8703703703703703,0.64,54,25,0.012249521567692656,0.7289053932424898,0.6694263325124017,0.6765838561273949,0.98504582122243,0.9924947461938678,0.9668559846764978,0.9760008030361246,0.9879275292429727,0.9609541737570402
nuclear_norm,platt,1024,80,0.7974683544303798,63,79,0.7551851851851852,0.8703703703703703,0.64,54,25,0.00827950917717789,0.4877732014418872,0.6772921872072581,0.6630444421968866,0.9886089706809799,0.9942881728558275,0.9668559846764978,0.9869901779628255,0.9934737932944309,0.9609541737570402
prototype,isotonic,2048,40,0.725,29,40,0.7539184952978057,0.6896551724137931,0.8181818181818182,29,11,-0.0014149166933011784,0.5268579120323229,0.4193678467474391,0.6630899195366731,0.713433837091483,0.8446501270298152,0.9176581201135313,0.7754328288681618,0.8805866390470399,0.9156129588917551
ac_mc,platt,1024,80,0.7468354430379747,59,79,0.7503703703703704,0.7407407407407407,0.76,54,25,-0.0024059236257680866,0.7588750626583801,0.7462811514696027,0.7260290924554327,0.965846866375104,0.9827750843275912,0.963339377472466,0.9666345689563777,0.983175756900249,0.9588911096237713
nuclear_norm,linear,512,160,0.7290322580645161,113,155,0.739733629300777,0.7058823529411765,0.7735849056603774,102,53,0.008367702585598064,0.5859605652785391,0.5349477733173318,0.5962647686773743,0.9680417222378627,0.9838911129987213,0.9603644026357006,0.9734145426309624,0.9866177287232185,0.9655411927386317
nuclear_norm,platt,512,160,0.7225806451612903,112,155,0.7348316685164632,0.696078431372549,0.7735849056603774,102,53,0.004037878673628363,0.41837208391317954,0.5028166430768427,0.57089457467366,0.9728806407372776,0.9863471197997578,0.9603644026357006,0.987201224790856,0.9935800042225367,0.9655411927386317
cot,platt,1024,80,0.7974683544303798,63,79,0.7337037037037037,0.9074074074074074,0.56,54,25,0.004656978787518563,0.1952276351194023,0.7315597640003009,0.7473170367825346,0.9526053854452552,0.9760150539029894,0.9400594377817755,0.9484844169257336,0.9739016464334238,0.9265736788543283
ac_mc,isotonic,128,628,0.7632933104631218,445,583,0.7324431318336057,0.8547945205479452,0.6100917431192661,365,218,-0.0031959570432200505,0.19474603910128718,0.3666065625131072,0.32837501000968844,0.7459079401669522,0.8636596205490634,0.9310828313082692,0.7577737967481962,0.8705020371878496,0.9139834799003013
prototype,isotonic,1024,80,0.7215189873417721,57,79,0.7103703703703703,0.7407407407407407,0.68,54,25,0.0004212583523451811,0.4470001083795661,0.37417656035103425,0.6360826692249145,0.7019983890300765,0.837853441259315,0.9174151359734274,0.7780580825254603,0.8820760072269624,0.9226767632215861
cot,linear,1024,80,0.7848101265822784,62,79,0.702962962962963,0.9259259259259259,0.48,54,25,0.005473829190634663,0.18565235297763583,0.7416135111138946,0.7616301315090719,0.9513858103600372,0.9753900811265395,0.9400594377817755,0.9463992423119074,0.9728305311367995,0.9265736788543283
ac_mc,beta,128,628,0.7015437392795884,409,583,0.7016023626995098,0.7013698630136986,0.7018348623853211,365,218,0.007187180295773012,0.42763737885866443,0.47406111233066484,0.4780681641990258,0.87495048167094,0.9353878776587496,0.9452659924965967,0.8800381514328565,0.9381034865263301,0.9564532799165809
cot,isotonic,512,160,0.6064516129032258,94,155,0.6964483906770256,0.4117647058823529,0.9811320754716981,102,53,-0.009548922212174545,0.21998507623747596,0.5075792976482442,0.5470318199014205,0.05280410497151579,0.22979143798565643,0.6721451507902144,0.3064376722056825,0.5535681278810066,0.6725079524668292
ac_mc,linear,128,628,0.6998284734133791,408,583,0.6956139248460476,0.7123287671232876,0.6788990825688074,365,218,0.006517617486318806,0.44006917294984127,0.4857109414198496,0.4818636875480217,0.9051130123423461,0.951374275636222,0.9452659924965967,0.90465530590635,0.9511336950746462,0.9564532799165809
ac_mc,platt,128,628,0.6981132075471698,407,583,0.6951677768003016,0.7068493150684931,0.6834862385321101,365,218,0.0017084487826282211,0.3916860997303267,0.4816520358858161,0.46974353853601947,0.9156175546401802,0.9568790700188714,0.9452659924965967,0.9198168195488786,0.9590708104977852,0.9564532799165809
atc,isotonic,1024,80,0.7974683544303798,63,79,0.6907407407407408,0.9814814814814815,0.4,54,25,0.016201110240659882,0.5046477311822268,0.6628325564053681,0.6690412714120544,0.8818439089737368,0.9390654444572736,0.9643539374016117,0.8833495946791402,0.9398667962424996,0.9647254203072188
nuclear_norm,isotonic,2048,40,0.55,22,40,0.6896551724137931,0.3793103448275862,1.0,29,11,-0.00859426512716137,0.3715521209123025,0.7521734069154788,0.725885083296007,0.937788170568509,0.9683946357598792,0.9304728951490417,0.90649292191639,0.952099218525249,0.9443330592213863
atc,isotonic,512,160,0.7677419354838709,119,155,0.6875693673695893,0.9411764705882353,0.4339622641509434,102,53,0.01760018396284543,0.3412932309715175,0.4614069200957568,0.5137650760872771,0.8220563539277678,0.906673234372653,0.9459520191430869,0.8606457928741513,0.9277099723912379,0.9632847610300316
nuclear_norm,isotonic,1024,80,0.569620253164557,45,79,0.6851851851851851,0.37037037037037035,1.0,54,25,-0.013526223804932673,0.4691324942806964,0.7714359454757478,0.6471227360916421,0.8787497515915955,0.937416530466364,0.8007772563259248,0.8719924945822924,0.9338053836760059,0.9149615997033943
prototype,isotonic,512,160,0.7096774193548387,110,155,0.6842397336293007,0.7647058823529411,0.6037735849056604,102,53,0.0020097361776761436,0.3515994014510242,0.3362790323858259,0.5540835211223388,0.6960913173993495,0.8343208719667449,0.9068433129157186,0.7658210835240368,0.875112040554829,0.9247694011906674
cot,isotonic,1024,80,0.5569620253164557,44,79,0.6759259259259259,0.35185185185185186,1.0,54,25,-0.009857468230570545,0.27018646105534727,0.5027564393260421,0.5617168004752798,0.014242360728234474,0.11934136218526448,0.1437462394044403,0.4809610413074678,0.6935135480345483,0.7130255456383023
nuclear_norm,linear,128,628,0.6620926243567753,386,583,0.6673243684805832,0.6465753424657534,0.6880733944954128,365,218,0.006574559813436319,0.4365443292457907,0.44770919503154927,0.44125646869818125,0.9295858676556162,0.9641503345721643,0.9476651389191131,0.9288897721074109,0.9637892778545583,0.959165432390693
nuclear_norm,platt,128,628,0.6569468267581475,383,583,0.6650622093753927,0.6328767123287671,0.6972477064220184,365,218,0.0009756902408118594,0.3615170668335254,0.4348223439885922,0.4251443197328756,0.93731864591496,0.9681521811755422,0.9476651389191131,0.9447368959850317,0.9719757692376039,0.959165432390693
nuclear_norm,beta,128,628,0.6483704974271012,378,583,0.6600603242428051,0.6136986301369863,0.7064220183486238,365,218,0.005456513358182455,0.4136310021285107,0.4471265039626442,0.443169538032553,0.9125473858449152,0.9552734612899676,0.9476651389191131,0.9147501694118697,0.9564257260299253,0.959165432390693
nuclear_norm,isotonic,512,160,0.567741935483871,88,155,0.6534406215316315,0.38235294117647056,0.9245283018867925,102,53,-0.006587917271887514,0.29852152376184127,0.6201655666317645,0.5784935041041366,0.9284882435227318,0.9635809480903677,0.9160367977713874,0.8999293840877977,0.9486460794668355,0.9303713682880647
prototype,platt,128,628,0.6620926243567753,386,583,0.6359180595701898,0.7397260273972602,0.5321100917431193,365,218,0.008581879158330832,0.2023280502946037,0.2616463643168209,0.2946905743171137,0.889539668495093,0.9431541064402429,0.9424053506028375,0.8941207459692547,0.9455795820391083,0.95155724052222
