proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_pearson,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
prototype,identity,512,200,0.4484536082474227,87,194,0.7123655913978495,0.42473118279569894,1.0,186,8,-0.054169529787511744,0.2634349093771124,0.3360831743517228,0.5707810250079092,0.7319328580821801,0.8555307464271404,0.6298067723679159,0.9675873932350214,0.9836602021201333,0.9715679547848184
prototype,identity,128,785,0.5153538050734312,386,749,0.7068477970117314,0.46497764530551416,0.9487179487179487,671,78,-0.05097451331634456,0.22776225149103949,0.3102468533683782,0.5343704557051624,0.7004274867467167,0.8369154597369538,0.6665492743038908,0.9463194196302729,0.9727895042763737,0.9692326730232754
prototype,identity,1024,100,0.43,43,100,0.7061855670103092,0.41237113402061853,1.0,97,3,-0.05409199406178996,0.25944753102101537,0.32761098087627555,0.5923729943518923,0.7423448300143622,0.861594353518152,0.6179816079589512,0.9731920667068708,0.9865049755104486,0.9770339703677957
atc,identity,1024,100,0.21,21,100,0.5927835051546392,0.18556701030927836,1.0,97,3,-0.19008617842724326,0.44443735903524095,0.22535726389913124,0.45226271016171304,0.5226673906269196,0.7229573919858069,0.5905425630134908,0.9601433854626643,0.979869065468782,0.9735117302820853
atc,identity,512,200,0.20103092783505155,39,194,0.5833333333333334,0.16666666666666666,1.0,186,8,-0.19048574840595645,0.4447746580615046,0.22712245340864376,0.4367655160839767,0.5181046096254216,0.7197948385654218,0.5841241173825966,0.9523675489365183,0.9758932057026108,0.9719119392349154
atc,identity,128,785,0.24966622162883845,187,749,0.5812220566318926,0.16244411326378538,1.0,671,78,-0.18526306515333535,0.39269871318171173,0.21092564093710442,0.3511311188436995,0.49011645871745196,0.7000831798561168,0.558684184530401,0.9245387131820773,0.9615293615808501,0.9585933617604269
nuclear_norm,isotonic,1024,100,0.97,97,100,0.5,1.0,0.0,97,3,0.06805091417865344,0.18813872194577005,0.5352208651251006,0.7176889406208162,0.7464021015079613,0.8639456588859981,0.877389859015233,0.8473607359679177,0.9205219910289584,0.9458488970823441
cot,linear,128,785,0.8958611481975968,671,749,0.5,1.0,0.0,671,78,0.1250003073639809,0.024003270029869805,0.2809681403625286,0.26738966142882775,0.2368681586407134,0.4866910299571109,0.45470930659244957,0.6728471682522114,0.820272618250915,0.8351870754896372
cot,platt,128,785,0.8958611481975968,671,749,0.5,1.0,0.0,671,78,0.12499146349308274,0.02379620306989816,0.27876603180470994,0.2649824245785439,0.23711742578648312,0.486947046183138,0.45470930659244957,0.6709084803421536,0.8190900318903616,0.8351870754896372
cot,beta,128,785,0.8958611481975968,671,749,0.5,1.0,0.0,671,78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cot,isotonic,128,785,0.8958611481975968,671,749,0.5,1.0,0.0,671,78,0.11646854704526632,0.10956113207463263,0.3893909114993232,0.37621005414696407,0.054262777007501456,0.23294372068699654,0.47603100017235855,0.5692197114214873,0.7544665078195899,0.8287034193052496
cot,linear,512,200,0.9587628865979382,186,194,0.5,1.0,0.0,186,8,0.12275703754940182,0.07433121076711145,0.43532697183733265,0.5135507274355239,0.3593474459692269,0.5994559583232341,0.5534024834506537,0.8536659501261242,0.9239404472833324,0.915029386577052
cot,platt,512,200,0.9587628865979382,186,194,0.5,1.0,0.0,186,8,0.12174973791756248,0.07920378504066061,0.45666672199478914,0.5194682578436467,0.35976557604247744,0.5998046148892799,0.5534024834506537,0.8563448877357981,0.925389046691065,0.915029386577052
cot,beta,512,200,0.9587628865979382,186,194,0.5,1.0,0.0,186,8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cot,isotonic,512,200,0.9587628865979382,186,194,0.5,1.0,0.0,186,8,0.12644069101556468,0.089952270923366,0.5050708170847586,0.4958774902491698,0.0025798009447318944,-0.0507917409106234,0.018687538369690112,0.36661350647779456,0.6054861736470905,0.7826422413654343
cot,linear,1024,100,0.97,97,100,0.5,1.0,0.0,97,3,0.1206524016757344,0.1128426725303631,0.47304587043414104,0.5713265534231723,0.46138213110689946,0.6792511546599678,0.5838606603870007,0.968743458676798,0.9842476612503572,0.965042288664518
cot,platt,1024,100,0.97,97,100,0.5,1.0,0.0,97,3,0.11786959992700081,0.1262938449108892,0.5142850024047851,0.5724787965535728,0.460472603096114,0.6785813164950196,0.5838606603870007,0.9689909336172146,0.9843733710423167,0.965042288664518
cot,beta,1024,100,0.97,97,100,0.5,1.0,0.0,97,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cot,isotonic,1024,100,0.97,97,100,0.5,1.0,0.0,97,3,0.13019738408203166,0.06926656171922012,0.8144555357655164,0.49811738825642266,0.00019486628189141014,-0.01395945134636065,0.02265583243677307,0.44678001088232405,0.6684160462483857,0.6926095844324971
nuclear_norm,isotonic,512,200,0.9536082474226805,185,194,0.49731182795698925,0.9946236559139785,0.0,186,8,0.10354363189083604,-0.02717296809431581,-0.05671175338540482,-0.06753164755527258,0.7927171317425818,0.8903466357226166,0.8610941139064009,0.8832252634472929,0.9398006509081024,0.9295554158770432
atc,isotonic,1024,100,0.94,94,100,0.4845360824742268,0.9690721649484536,0.0,97,3,0.09385494389262014,0.15870992182437507,0.2986662465671095,0.5374488678864046,0.7193574638260335,0.8481494348439038,0.8712871244153787,0.8672501087777873,0.9312626422109862,0.9251149699028911
atc,isotonic,512,200,0.9123711340206185,177,194,0.47580645161290325,0.9516129032258065,0.0,186,8,0.09315225458635504,0.1596534269198014,0.2970983495202189,0.5146265487792022,0.7027158748734371,0.8382815009729352,0.8575262768048293,0.8541470898258223,0.9242007843676732,0.9139664629160974
atc,isotonic,128,785,0.8277703604806409,620,749,0.47332721922885856,0.9210134128166915,0.02564102564102564,671,78,0.09407571261313633,0.1430517389739667,0.2767155251796033,0.4752402787555645,0.660210519586763,0.8125333959824439,0.7943595267989626,0.8302906186580097,0.9112028416648017,0.8994784776386433
nuclear_norm,isotonic,128,785,0.8264352469959947,619,749,0.4669169628186021,0.9210134128166915,0.01282051282051282,671,78,0.12167938360250061,-0.14290643288067434,-0.2297995736463123,-0.503573537432016,0.6814224714233986,0.8254831745247135,0.8252567227964132,0.8377860761195866,0.9153065476219355,0.9055553152425597
cot,identity,128,785,0.7770360480640854,582,749,0.4620065726623104,0.8599105812220567,0.0641025641025641,671,78,0.030017014079792802,-0.010080394234813413,-0.042543136628326594,-0.10671318509498198,0.2368681586407134,0.4866910299571109,0.45470930659244957,0.6728471682522114,0.820272618250915,0.8351870754896372
ac_mc,identity,128,785,0.794392523364486,595,749,0.45469830715732357,0.8837555886736215,0.02564102564102564,671,78,0.23927021976899138,-0.2595708963440426,-0.21225394300315198,-0.5586210543972169,0.48659088101434794,0.6975606647556526,0.5739386912880039,0.9495147290652151,0.9744304639455886,0.9706442451725117
ac_mc,isotonic,128,785,0.7797062750333779,584,749,0.44650158584584815,0.8673621460506706,0.02564102564102564,671,78,0.11344994800045335,-0.11474324615723051,-0.176163196066713,-0.436599781052002,0.6806978579714308,0.8250441551646983,0.8221395722414019,0.8219081828194564,0.9065915192739542,0.8974088140036294
ac_mc,identity,512,200,0.8505154639175257,165,194,0.4435483870967742,0.8870967741935484,0.0,186,8,0.24265987595877278,-0.29670635598272416,-0.22842410893616377,-0.6406819935974083,0.5071657912899216,0.7121557352784021,0.5969739975745629,0.9726441470670273,0.9862272289219292,0.9725107767940937
ac_mc,identity,1024,100,0.86,86,100,0.44329896907216493,0.8865979381443299,0.0,97,3,0.24593495190199124,-0.3271357162442743,-0.24815670185151265,-0.6618376518226459,0.5125570437333131,0.7159308931267829,0.6006450941468926,0.980054204872893,0.9899768708777458,0.9762717363456153
nuclear_norm,identity,128,785,0.7837116154873164,587,749,0.4430719553670373,0.8733233979135618,0.01282051282051282,671,78,0.2339358581954552,-0.20275464813978109,-0.1672375262945418,-0.5488054753420207,0.44874073254940877,0.6698811331493139,0.5746967703250476,0.9522574390301718,0.9758367891354434,0.9718388172949184
prototype,isotonic,128,785,0.7409879839786382,555,749,0.43622224769765755,0.8211624441132638,0.05128205128205128,671,78,0.08021157794091045,0.13797951409680848,0.1858324159075187,0.47807311309523226,0.6944999168818101,0.833366616131106,0.8279174129418444,0.807510493799132,0.8986158766676293,0.8839726996129605
nuclear_norm,identity,512,200,0.8247422680412371,160,194,0.43010752688172044,0.8602150537634409,0.0,186,8,0.21316158320446438,-0.17696534850882947,-0.150320005377442,-0.635252777588536,0.4709696392808312,0.6862722778029368,0.5956336240896357,0.9708219948216573,0.9853029964542163,0.9696605591049561
ac_mc,isotonic,512,200,0.8247422680412371,160,194,0.43010752688172044,0.8602150537634409,0.0,186,8,0.11275824716345072,-0.12134876618350664,-0.17154232383543905,-0.5864374193783708,0.7281575536007077,0.8533214831472999,0.8631642391519874,0.8316964552601319,0.9119739334323826,0.8979192303226056
nuclear_norm,identity,1024,100,0.82,82,100,0.422680412371134,0.845360824742268,0.0,97,3,0.1916856568056175,-0.15960736432724548,-0.14822097386804944,-0.6602173099205203,0.47954009288199106,0.6924883341125618,0.6003090454194869,0.9813798033369207,0.9906461544552225,0.9764037768848908
cot,identity,512,200,0.8041237113402062,156,194,0.41935483870967744,0.8387096774193549,0.0,186,8,0.08141032433554297,-0.04273012440590613,-0.08448455817500698,-0.3727736616558716,0.3593474459692271,0.5994559583232342,0.5534024834506537,0.8536659501261242,0.9239404472833324,0.915029386577052
ac_mc,isotonic,1024,100,0.81,81,100,0.4175257731958763,0.8350515463917526,0.0,97,3,0.11488281295127226,-0.1374414602889991,-0.1942871974302302,-0.6004561317223698,0.7418774466556047,0.8613230791379067,0.8748989744424049,0.8417975813458761,0.9174952759256454,0.9075450762660373
cot,identity,1024,100,0.81,81,100,0.4175257731958763,0.8350515463917526,0.0,97,3,0.1191006889034123,-0.0781944849319733,-0.11177145178295078,-0.5438107474185585,0.46138213110689946,0.6792511546599678,0.5838606603870007,0.9687434586767976,0.984247661250357,0.965042288664518
nuclear_norm,linear,128,785,0.6969292389853138,522,749,0.41163208376323135,0.7719821162444114,0.05128205128205128,671,78,0.016734166612451973,0.05169559946654287,0.03512723694214898,-0.09220903021344166,0.4487407325494089,0.669881133149314,0.5746967703250476,0.9522574390301716,0.9758367891354432,0.9718388172949184
nuclear_norm,platt,128,785,0.6969292389853138,522,749,0.41163208376323135,0.7719821162444114,0.05128205128205128,671,78,0.018761415973035003,0.06063545832959429,0.05017661678392451,-0.019892211602966628,0.5012991047603665,0.7080247910633967,0.5746967703250476,0.9533506150453747,0.9763967508371659,0.9718388172949184
nuclear_norm,beta,128,785,0.6969292389853138,522,749,0.41163208376323135,0.7719821162444114,0.05128205128205128,671,78,0.06167725082274897,0.14383108659710794,0.11665955720658451,0.13026412915412885,0.5595177645761963,0.7480092008633291,0.5746967703250476,0.9403108053518563,0.9696962438577641,0.9718388172949184
atc,linear,128,785,0.6969292389853138,522,749,0.41163208376323135,0.7719821162444114,0.05128205128205128,671,78,0.07946413945970225,-0.1379805204451289,-0.145082415536942,-0.4049594516229576,0.49011645871745213,0.7000831798561169,0.558684184530401,0.924538713182077,0.96152936158085,0.9585933617604269
