proxy_kind,calib_method,proxy_batch_size,corruption,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_pearson,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
ac_mc,beta,128,brightness_s5,157,0.6861313868613139,94,137,0.5,1.0,0.0,94,43,0.15662239588498608,0.02681771008492121,0.03877512945589189,0.029867223188853147,0.3107839113427818,0.557479964969847,0.5204995922138803,0.21605469420295131,0.464816839414141,0.43227070033144
ac_mc,beta,128,clean,157,0.5639097744360902,75,133,0.5,1.0,0.0,75,58,0.23439864230015983,0.03132354825951694,0.0544883251266501,0.021329322312963566,0.2304198206724393,0.480020646089769,0.45752869310613986,0.20609621442159884,0.45397820919246645,0.3980969209241249
ac_mc,beta,128,contrast_s5,157,1.0,157,157,nan,nan,1.0,0,157,-0.22761378229865656,0.1448489940236017,0.2658423111307935,0.1524866621057134,0.09825424167569514,0.3134553264433309,0.3177406997145508,0.34546502716715205,0.5877627303318509,0.4702512881110499
ac_mc,beta,128,defocus_blur_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.11158891443562312,0.09474120171334698,0.1527293122114839,0.15786642867456777,0.2898800044569877,0.538405056121307,0.5027918212372477,0.20720720987594918,0.45520018659480926,0.4549160525797449
ac_mc,beta,128,elastic_transform_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.09095719052133919,0.2372245123607536,0.3580749969799419,0.2887206093415573,0.3159444600225217,0.5620893701383453,0.5326335076877351,0.07218917654632728,0.26868043573421435,0.254772574874466
ac_mc,beta,128,fog_s5,157,0.025477707006369428,4,157,0.5,0.0,1.0,153,4,-0.18795403559806817,0.06802620993178007,0.16394251610204905,0.20372714788866825,0.21256460112027015,0.4610472872930391,0.41445930123985,0.34003808781784656,0.5831278486042718,0.5949208973028679
ac_mc,beta,128,frost_s5,157,0.7070063694267515,111,157,nan,0.7070063694267515,nan,157,0,-0.006628771082642985,0.08336976840975087,0.19963044729722515,0.17606634652042283,0.3258470801219845,0.5708301674946625,0.5344374412490223,0.21605404888097726,0.46481614524559844,0.42578340715681007
ac_mc,beta,128,gaussian_noise_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.07211100407397673,0.14640087705816412,0.3361479260980109,0.35638609582161807,0.314932926736291,0.5611888512223768,0.5428182240665224,0.13998062046007487,0.3741398407815918,0.34859218043778256
ac_mc,beta,128,glass_blur_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.07167588388309169,0.15087533414728674,0.2265911008950534,0.23706976631100887,0.1589866109889933,0.3987312515830598,0.3812682271460019,0.04542319301865424,0.21312717569248235,0.1802819806969105
ac_mc,beta,128,impulse_noise_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.044235408420121296,0.1786713786248319,0.39875600014652035,0.3845250969151894,0.2462728796604232,0.4962588837093228,0.48792227921897474,0.13619712305650836,0.36904894398508764,0.36641681107811797
