corruption,batch_in_corruption,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc
brightness/s5,1,-0.9168645089375786,-0.8409889690810814,0.3712612407029535,0.3661962027011301,0.0,0.0,0.5,0.5,0.7109375,0.6328125,0.6953125
brightness/s5,2,-0.9168645089375786,-0.8409889690810814,0.3712612407029535,0.3661962027011301,0.0,0.0,0.5,0.5,0.6953125,0.6484375,0.6796875
brightness/s5,3,-0.9168645089375786,-0.8409889690810814,0.3712612407029535,0.3661962027011301,0.0,0.0,0.5,0.5,0.6640625,0.6328125,0.6953125
brightness/s5,4,-0.9168645089375786,-0.8409889690810814,0.3712612407029535,0.3661962027011301,0.0,0.0,0.5,0.5,0.734375,0.59375,0.703125
brightness/s5,5,-0.9168645089375786,-0.8409889690810814,0.3712612407029535,0.3661962027011301,0.0,0.0,0.5,0.5,0.734375,0.6015625,0.6640625
brightness/s5,6,-0.9168645089375786,-0.8409889690810814,0.3712612407029535,0.3661962027011301,0.0,0.0,0.5,0.5,0.71875,0.6171875,0.7265625
brightness/s5,7,-0.9168645089375786,-0.8409889690810814,0.3712612407029535,0.3661962027011301,0.0,0.0,0.5,0.5,0.7578125,0.6484375,0.7734375
brightness/s5,8,-0.7867338985670358,-0.7113285990199074,0.4611647658006231,0.4200452644775372,-0.07782722377411803,-0.16129379012821526,0.5104318261146545,0.48956817388534546,0.703125,0.5546875,0.7109375
brightness/s5,9,-0.7867338985670358,-0.7113285990199074,0.4611647658006231,0.4200452644775372,-0.07782722377411803,-0.16129379012821526,0.5104318261146545,0.48956817388534546,0.71875,0.5625,0.671875
brightness/s5,10,-0.7867338985670358,-0.7113285990199074,0.4611647658006231,0.4200452644775372,-0.07782722377411803,-0.16129379012821526,0.5104318261146545,0.48956817388534546,0.71875,0.6171875,0.734375
brightness/s5,11,-0.7867338985670358,-0.7113285990199074,0.4611647658006231,0.4200452644775372,-0.07782722377411803,-0.16129379012821526,0.5104318261146545,0.48956817388534546,0.765625,0.5859375,0.75
brightness/s5,12,-0.7867338985670358,-0.7113285990199074,0.4611647658006231,0.4200452644775372,-0.07782722377411803,-0.16129379012821526,0.5104318261146545,0.48956817388534546,0.7578125,0.625,0.7421875
brightness/s5,13,-0.7867338985670358,-0.7113285990199074,0.4611647658006231,0.4200452644775372,-0.07782722377411803,-0.16129379012821526,0.5104318261146545,0.48956817388534546,0.6796875,0.5234375,0.640625
brightness/s5,14,-0.7867338985670358,-0.7113285990199074,0.4611647658006231,0.4200452644775372,-0.07782722377411803,-0.16129379012821526,0.5104318261146545,0.48956817388534546,0.7578125,0.6328125,0.734375
brightness/s5,15,-0.7867338985670358,-0.7113285990199074,0.4611647658006231,0.4200452644775372,-0.07782722377411803,-0.16129379012821526,0.5104318261146545,0.48956817388534546,0.7421875,0.5703125,0.7109375
brightness/s5,16,-0.7605855139554478,-0.7196216165903024,0.479742433130643,0.4165283536183929,-0.07945093569194556,-0.24916755657519762,0.5212018489837646,0.47879815101623535,0.703125,0.59375,0.6796875
brightness/s5,17,-0.7605855139554478,-0.7196216165903024,0.479742433130643,0.4165283536183929,-0.07945093569194556,-0.24916755657519762,0.5212018489837646,0.47879815101623535,0.7734375,0.6484375,0.7578125
brightness/s5,18,-0.7605855139554478,-0.7196216165903024,0.479742433130643,0.4165283536183929,-0.07945093569194556,-0.24916755657519762,0.5212018489837646,0.47879815101623535,0.6640625,0.5546875,0.671875
brightness/s5,19,-0.7605855139554478,-0.7196216165903024,0.479742433130643,0.4165283536183929,-0.07945093569194556,-0.24916755657519762,0.5212018489837646,0.47879815101623535,0.7109375,0.578125,0.6875
brightness/s5,20,-0.7605855139554478,-0.7196216165903024,0.479742433130643,0.4165283536183929,-0.07945093569194556,-0.24916755657519762,0.5212018489837646,0.47879815101623535,0.734375,0.5859375,0.734375
brightness/s5,21,-0.7605855139554478,-0.7196216165903024,0.479742433130643,0.4165283536183929,-0.07945093569194556,-0.24916755657519762,0.5212018489837646,0.47879815101623535,0.71875,0.625,0.7421875
brightness/s5,22,-0.7605855139554478,-0.7196216165903024,0.479742433130643,0.4165283536183929,-0.07945093569194556,-0.24916755657519762,0.5212018489837646,0.47879815101623535,0.765625,0.671875,0.765625
brightness/s5,23,-0.7605855139554478,-0.7196216165903024,0.479742433130643,0.4165283536183929,-0.07945093569194556,-0.24916755657519762,0.5212018489837646,0.47879815101623535,0.6875,0.6328125,0.6953125
brightness/s5,24,-0.7498320685699582,-0.7073374106548727,0.4874016854277328,0.4217407731391036,-0.06492743121823803,-0.28239948522907354,0.5271572470664978,0.4728427529335022,0.71875,0.6484375,0.734375
brightness/s5,25,-0.7498320685699582,-0.7073374106548727,0.4874016854277328,0.4217407731391036,-0.06492743121823803,-0.28239948522907354,0.5271572470664978,0.4728427529335022,0.6640625,0.578125,0.703125
brightness/s5,26,-0.7498320685699582,-0.7073374106548727,0.4874016854277328,0.4217407731391036,-0.06492743121823803,-0.28239948522907354,0.5271572470664978,0.4728427529335022,0.703125,0.59375,0.75
brightness/s5,27,-0.7498320685699582,-0.7073374106548727,0.4874016854277328,0.4217407731391036,-0.06492743121823803,-0.28239948522907354,0.5271572470664978,0.4728427529335022,0.7109375,0.5546875,0.7109375
brightness/s5,28,-0.7498320685699582,-0.7073374106548727,0.4874016854277328,0.4217407731391036,-0.06492743121823803,-0.28239948522907354,0.5271572470664978,0.4728427529335022,0.6875,0.6171875,0.703125
brightness/s5,29,-0.7498320685699582,-0.7073374106548727,0.4874016854277328,0.4217407731391036,-0.06492743121823803,-0.28239948522907354,0.5271572470664978,0.4728427529335022,0.71875,0.625,0.734375
brightness/s5,30,-0.7498320685699582,-0.7073374106548727,0.4874016854277328,0.4217407731391036,-0.06492743121823803,-0.28239948522907354,0.5271572470664978,0.4728427529335022,0.703125,0.65625,0.7109375
brightness/s5,31,-0.7498320685699582,-0.7073374106548727,0.4874016854277328,0.4217407731391036,-0.06492743121823803,-0.28239948522907354,0.5271572470664978,0.4728427529335022,0.75,0.6328125,0.7109375
brightness/s5,32,-0.7706164828268811,-0.7030257238657214,0.47260627385719495,0.4235745079956467,-0.08730608469181042,-0.2952580710621235,0.5259706377983093,0.4740293622016907,0.75,0.6328125,0.734375
