corruption,batch_in_corruption,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc
brightness/s5,1,0.71875,0.7109375,0.71875,0.7109375,0.4691348192964651,0.4499707969363128,0.5047908425331116,0.4952091574668884,0.71875,0.7109375,0.7265625
brightness/s5,2,0.6640625,0.6953125,0.6640625,0.6953125,0.5752929800466096,0.6375227602694031,0.48444756865501404,0.515552431344986,0.6640625,0.6953125,0.7109375
brightness/s5,3,0.6640625,0.6640625,0.6640625,0.6640625,0.6283720604216818,0.6594869505330786,0.4922218918800354,0.5077781081199646,0.6640625,0.6640625,0.71875
brightness/s5,4,0.71875,0.734375,0.71875,0.734375,0.7833208495073061,0.8382106040934605,0.48628100752830505,0.513718992471695,0.71875,0.734375,0.765625
brightness/s5,5,0.71875,0.734375,0.71875,0.734375,0.8607952440501181,0.9275724308736515,0.4833119213581085,0.5166880786418915,0.71875,0.734375,0.78125
brightness/s5,6,0.640625,0.71875,0.640625,0.71875,0.7194365474126381,0.9329210347332908,0.446830689907074,0.553169310092926,0.640625,0.71875,0.71875
brightness/s5,7,0.7578125,0.7578125,0.7578125,0.7578125,0.9300801607154373,1.0368224043757637,0.4733397364616394,0.5266602635383606,0.7578125,0.7578125,0.8046875
brightness/s5,8,0.640625,0.703125,0.640625,0.703125,0.7540790057452977,0.9495229574898214,0.4512939155101776,0.5487060844898224,0.640625,0.703125,0.7109375
brightness/s5,9,0.6640625,0.71875,0.6640625,0.71875,0.7177650732710259,0.9438962980413759,0.44370684027671814,0.5562931597232819,0.6640625,0.71875,0.7265625
brightness/s5,10,0.671875,0.71875,0.671875,0.71875,0.7172213756205826,0.9410829683171531,0.4442671537399292,0.5557328462600708,0.671875,0.71875,0.734375
brightness/s5,11,0.7421875,0.765625,0.7421875,0.765625,0.8872953528773215,1.0624265326627849,0.45632877945899963,0.5436712205410004,0.7421875,0.765625,0.75
brightness/s5,12,0.703125,0.7578125,0.703125,0.7578125,0.8747594317406004,1.1015751533405107,0.4435379207134247,0.5564620792865753,0.703125,0.7578125,0.7734375
brightness/s5,13,0.6484375,0.6796875,0.6484375,0.6796875,0.7434687748834393,0.9269556026453933,0.454256534576416,0.545743465423584,0.6484375,0.6796875,0.671875
brightness/s5,14,0.7421875,0.7578125,0.7421875,0.7578125,0.9004190525087499,1.033839688331815,0.4666942059993744,0.5333057940006256,0.7421875,0.7578125,0.78125
brightness/s5,15,0.7265625,0.7421875,0.7265625,0.7421875,0.938835242086296,1.0456045092329378,0.4733330011367798,0.5266669988632202,0.7265625,0.7421875,0.7578125
brightness/s5,16,0.7109375,0.703125,0.7109375,0.703125,0.9193884179794608,0.9539140099184085,0.49136945605278015,0.5086305439472198,0.7109375,0.703125,0.75
brightness/s5,17,0.703125,0.7734375,0.703125,0.7734375,0.89080596429167,1.0908690150332623,0.45015037059783936,0.5498496294021606,0.703125,0.7734375,0.75
brightness/s5,18,0.6328125,0.6640625,0.6328125,0.6640625,0.7175537586270251,0.8861600779150082,0.4579479992389679,0.5420520007610321,0.6328125,0.6640625,0.65625
brightness/s5,19,0.6640625,0.7109375,0.6640625,0.7109375,0.6995024497118896,0.893050835893817,0.4517633616924286,0.5482366383075714,0.6640625,0.7109375,0.71875
brightness/s5,20,0.671875,0.734375,0.671875,0.734375,0.7080900638410145,0.9549925467738297,0.43858602643013,0.56141397356987,0.671875,0.734375,0.7109375
brightness/s5,21,0.6640625,0.71875,0.6640625,0.71875,0.6947706023188842,0.94663109268338,0.4373656213283539,0.5626343786716461,0.6640625,0.71875,0.734375
brightness/s5,22,0.75,0.765625,0.75,0.765625,0.896691445493497,1.0652005948458982,0.45797213912010193,0.5420278608798981,0.75,0.765625,0.796875
brightness/s5,23,0.671875,0.6875,0.671875,0.6875,0.8066845617318181,0.9268289776050842,0.46999993920326233,0.5300000607967377,0.671875,0.6875,0.71875
brightness/s5,24,0.6796875,0.71875,0.6796875,0.71875,0.779510306841047,0.9325493080990073,0.4618147313594818,0.5381852686405182,0.6796875,0.71875,0.7578125
brightness/s5,25,0.7109375,0.6640625,0.7109375,0.6640625,0.8397259503568364,0.8070002244478807,0.5081806778907776,0.4918193221092224,0.7109375,0.6640625,0.75
brightness/s5,26,0.71875,0.703125,0.71875,0.703125,0.8889977944748833,0.83461186752588,0.5135931372642517,0.4864068627357483,0.71875,0.703125,0.7421875
brightness/s5,27,0.6953125,0.7109375,0.6953125,0.7109375,0.8570362590386883,0.8672767306992528,0.4974399209022522,0.5025600790977478,0.6953125,0.7109375,0.7265625
brightness/s5,28,0.6875,0.6875,0.6875,0.6875,0.8227468097014793,0.8278670455317616,0.4987199306488037,0.5012800693511963,0.6875,0.6875,0.7421875
brightness/s5,29,0.7421875,0.71875,0.7421875,0.71875,0.9400580699177699,0.883068342062346,0.5142435431480408,0.48575645685195923,0.7421875,0.71875,0.75
brightness/s5,30,0.671875,0.703125,0.671875,0.703125,0.8283678739439546,0.8726459263331126,0.4889323115348816,0.5110676884651184,0.671875,0.703125,0.7109375
brightness/s5,31,0.75,0.75,0.75,0.75,0.9634900813060322,0.9856291075006112,0.4944654405117035,0.5055345594882965,0.75,0.75,0.78125
