corruption,batch_in_corruption,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc
brightness/s5,1,0.71875,0.7109375,0.71875,0.7109375,0.9382696385929302,0.8999415938726256,0.5095808506011963,0.4904191493988037,0.71875,0.7109375,0.7265625
brightness/s5,2,0.6640625,0.6953125,0.6640625,0.6953125,0.6814511407967541,0.8250747236024933,0.4641557037830353,0.5358442962169647,0.6640625,0.6953125,0.71875
brightness/s5,3,0.6640625,0.6640625,0.6640625,0.6640625,0.6814511407967541,0.6814511407967541,0.5,0.5,0.6640625,0.6640625,0.703125
brightness/s5,4,0.71875,0.734375,0.71875,0.734375,0.9382696385929302,1.0169342576538425,0.4803439676761627,0.5196560323238373,0.71875,0.734375,0.765625
brightness/s5,5,0.71875,0.734375,0.71875,0.734375,0.9382696385929302,1.0169342576538425,0.4803439676761627,0.5196560323238373,0.71875,0.734375,0.78125
brightness/s5,6,0.640625,0.71875,0.640625,0.71875,0.578077850775158,0.9382696385929302,0.4109131693840027,0.5890868306159973,0.640625,0.71875,0.71875
brightness/s5,7,0.7578125,0.7578125,0.7578125,0.7578125,1.1407237740182365,1.1407237740182365,0.5,0.5,0.7578125,0.7578125,0.8046875
brightness/s5,8,0.640625,0.703125,0.640625,0.703125,0.578077850775158,0.8622235106038793,0.4294377267360687,0.5705622732639313,0.640625,0.703125,0.7109375
brightness/s5,9,0.6640625,0.71875,0.6640625,0.71875,0.6814511407967541,0.9382696385929302,0.43614596128463745,0.5638540387153625,0.6640625,0.71875,0.7265625
brightness/s5,10,0.671875,0.71875,0.671875,0.71875,0.7166776779701394,0.9382696385929302,0.4448275566101074,0.5551724433898926,0.671875,0.71875,0.734375
brightness/s5,11,0.7421875,0.765625,0.7421875,0.765625,1.0573693301340605,1.1837700970084166,0.46844178438186646,0.5315582156181335,0.7421875,0.765625,0.75
brightness/s5,12,0.703125,0.7578125,0.703125,0.7578125,0.8622235106038793,1.1407237740182365,0.4308214783668518,0.5691785216331482,0.703125,0.7578125,0.78125
brightness/s5,13,0.6484375,0.6796875,0.6484375,0.6796875,0.6121781180262782,0.752336051950276,0.46501776576042175,0.5349822342395782,0.6484375,0.6796875,0.671875
brightness/s5,14,0.7421875,0.7578125,0.7421875,0.7578125,1.0573693301340605,1.1407237740182365,0.4791734516620636,0.5208265483379364,0.7421875,0.7578125,0.78125
brightness/s5,15,0.7265625,0.7421875,0.7265625,0.7421875,0.9772514316638422,1.0573693301340605,0.4799812436103821,0.5200187563896179,0.7265625,0.7421875,0.7578125
brightness/s5,16,0.7109375,0.703125,0.7109375,0.703125,0.8999415938726256,0.8622235106038793,0.5094284415245056,0.4905715584754944,0.7109375,0.703125,0.75
brightness/s5,17,0.703125,0.7734375,0.703125,0.7734375,0.8622235106038793,1.2278240201481159,0.4096045196056366,0.5903954803943634,0.703125,0.7734375,0.7578125
brightness/s5,18,0.6328125,0.6640625,0.6328125,0.6640625,0.5443015529623801,0.6814511407967541,0.46576622128486633,0.5342337787151337,0.6328125,0.6640625,0.65625
brightness/s5,19,0.6640625,0.7109375,0.6640625,0.7109375,0.6814511407967541,0.8999415938726256,0.4455936551094055,0.5544063448905945,0.6640625,0.7109375,0.71875
brightness/s5,20,0.671875,0.734375,0.671875,0.734375,0.7166776779701394,1.0169342576538425,0.4254947602748871,0.5745052397251129,0.671875,0.734375,0.71875
brightness/s5,21,0.6640625,0.71875,0.6640625,0.71875,0.6814511407967541,0.9382696385929302,0.43614596128463745,0.5638540387153625,0.6640625,0.71875,0.734375
brightness/s5,22,0.75,0.765625,0.75,0.765625,1.0986122886681098,1.1837700970084166,0.478723406791687,0.521276593208313,0.75,0.765625,0.796875
brightness/s5,23,0.671875,0.6875,0.671875,0.6875,0.7166776779701394,0.7884573603642703,0.48206278681755066,0.5179372131824493,0.671875,0.6875,0.71875
brightness/s5,24,0.6796875,0.71875,0.6796875,0.71875,0.752336051950276,0.9382696385929302,0.45365002751350403,0.546349972486496,0.6796875,0.71875,0.7578125
brightness/s5,25,0.7109375,0.6640625,0.7109375,0.6640625,0.8999415938726256,0.6814511407967541,0.5544063448905945,0.4455936551094055,0.7109375,0.6640625,0.7421875
brightness/s5,26,0.71875,0.703125,0.71875,0.703125,0.9382696385929302,0.8622235106038793,0.519002377986908,0.48099762201309204,0.71875,0.703125,0.7421875
brightness/s5,27,0.6953125,0.7109375,0.6953125,0.7109375,0.8250747236024933,0.8999415938726256,0.4812920093536377,0.5187079906463623,0.6953125,0.7109375,0.734375
brightness/s5,28,0.6875,0.6875,0.6875,0.6875,0.7884573603642703,0.7884573603642703,0.5,0.5,0.6875,0.6875,0.7421875
brightness/s5,29,0.7421875,0.71875,0.7421875,0.71875,1.0573693301340605,0.9382696385929302,0.5297397971153259,0.4702602028846741,0.7421875,0.71875,0.7421875
brightness/s5,30,0.671875,0.703125,0.671875,0.703125,0.7166776779701394,0.8622235106038793,0.46367767453193665,0.5363223254680634,0.671875,0.703125,0.7109375
brightness/s5,31,0.75,0.75,0.75,0.75,1.0986122886681098,1.0986122886681098,0.5,0.5,0.75,0.75,0.78125
brightness/s5,32,0.671875,0.75,0.671875,0.75,0.7166776779701394,1.0986122886681098,0.40566039085388184,0.5943396091461182,0.671875,0.75,0.7421875
brightness/s5,33,0.7578125,0.7890625,0.7578125,0.7890625,1.1407237740182365,1.3192836508369303,0.4554782807826996,0.5445217192173004,0.7578125,0.7890625,0.8046875
brightness/s5,34,0.671875,0.65625,0.671875,0.65625,0.7166776779701394,0.6466271649250525,0.5175054669380188,0.4824945330619812,0.671875,0.65625,0.703125
brightness/s5,35,0.671875,0.7265625,0.671875,0.7265625,0.7166776779701394,0.9772514316638422,0.43522268533706665,0.5647773146629333,0.671875,0.7265625,0.75
brightness/s5,36,0.6875,0.7578125,0.6875,0.7578125,0.7884573603642703,1.1407237740182365,0.41283291578292847,0.5871670842170715,0.6875,0.7578125,0.7578125
brightness/s5,37,0.7109375,0.71875,0.7109375,0.71875,0.8999415938726256,0.9382696385929302,0.4904191493988037,0.5095808506011963,0.7109375,0.71875,0.734375
brightness/s5,38,0.6484375,0.7109375,0.6484375,0.7109375,0.6121781180262782,0.8999415938726256,0.4285515248775482,0.5714484751224518,0.6484375,0.7109375,0.71875
brightness/s5,39,0.6875,0.6875,0.6875,0.6875,0.7884573603642703,0.7884573603642703,0.5,0.5,0.6875,0.6875,0.7578125
brightness/s5,40,0.6796875,0.6953125,0.6796875,0.6953125,0.752336051950276,0.8250747236024933,0.4818233549594879,0.5181766450405121,0.6796875,0.6953125,0.6953125
brightness/s5,41,0.625,0.6484375,0.625,0.6484375,0.5108256237659907,0.6121781180262782,0.474683552980423,0.525316447019577,0.625,0.6484375,0.640625
brightness/s5,42,0.7109375,0.6875,0.7109375,0.6875,0.8999415938726256,0.7884573603642703,0.5278422236442566,0.4721577763557434,0.7109375,0.6875,0.7265625
brightness/s5,43,0.6171875,0.6796875,0.6171875,0.6796875,0.47762755435639487,0.752336051950276,0.431751549243927,0.568248450756073,0.6171875,0.6796875,0.6875
brightness/s5,44,0.71875,0.71875,0.71875,0.71875,0.9382696385929302,0.9382696385929302,0.5,0.5,0.71875,0.71875,0.7421875
brightness/s5,45,0.7421875,0.75,0.7421875,0.75,1.0573693301340605,1.0986122886681098,0.48969075083732605,0.510309249162674,0.7421875,0.75,0.75
brightness/s5,46,0.640625,0.671875,0.640625,0.671875,0.578077850775158,0.7166776779701394,0.4654053747653961,0.5345946252346039,0.640625,0.671875,0.6953125
brightness/s5,47,0.65625,0.7578125,0.65625,0.7578125,0.6466271649250525,1.1407237740182365,0.3789289891719818,0.6210710108280182,0.65625,0.7578125,0.7578125
brightness/s5,48,0.6953125,0.7265625,0.6953125,0.7265625,0.8250747236024933,0.9772514316638422,0.4620290696620941,0.5379709303379059,0.6953125,0.7265625,0.7578125
brightness/s5,49,0.71875,0.78125,0.71875,0.78125,0.9382696385929302,1.2729656758128876,0.41709843277931213,0.5829015672206879,0.71875,0.78125,0.7890625
brightness/s5,50,0.71875,0.6875,0.71875,0.6875,0.9382696385929302,0.7884573603642703,0.5373831391334534,0.46261686086654663,0.71875,0.6875,0.734375
brightness/s5,51,0.5625,0.671875,0.5625,0.671875,0.25131442828090617,0.7166776779701394,0.38571426272392273,0.6142857372760773,0.5625,0.671875,0.640625
brightness/s5,52,0.734375,0.7421875,0.734375,0.7421875,1.0169342576538425,1.0573693301340605,0.4898926317691803,0.5101073682308197,0.734375,0.7421875,0.765625
brightness/s5,53,0.6640625,0.6796875,0.6640625,0.6796875,0.6814511407967541,0.752336051950276,0.4822861850261688,0.5177138149738312,0.6640625,0.6796875,0.7109375
brightness/s5,54,0.6796875,0.71875,0.6796875,0.71875,0.752336051950276,0.9382696385929302,0.45365002751350403,0.546349972486496,0.6796875,0.71875,0.71875
brightness/s5,55,0.6796875,0.7421875,0.6796875,0.7421875,0.752336051950276,1.0573693301340605,0.4243275225162506,0.5756724774837494,0.6796875,0.7421875,0.7109375
brightness/s5,56,0.671875,0.6796875,0.671875,0.6796875,0.7166776779701394,0.752336051950276,0.4910863935947418,0.5089136064052582,0.671875,0.6796875,0.6953125
