duo,corruption,severity,n_samples,n_chunks,win_rate_large,win_rate_small,n_large_win,n_small_win,n_tie,oracle_delta_acc_mean_pp,oracle_delta_acc_median_pp,disagree_rate,acc_large,acc_small,acc_fixed,acc_gate,acc_persample,acc_hard,acc_either
vit_b_16+resnet50,brightness,5,10000,79,0.17647058823529413,0.8235294117647058,12,56,11,7.723496835443037,7.03125,0.31150001287460327,0.6880000233650208,0.7123000025749207,0.6880000233650208,0.715684335443038,0.7912999987602234,0.715684335443038,0.7912999987602234
vit_b_16+resnet50,contrast,5,10000,79,0.17333333333333334,0.8266666666666667,13,62,4,9.088212025316455,9.375,0.8907999992370605,0.18529999256134033,0.2240000069141388,0.18529999256134033,0.2288370253164557,0.31839999556541443,0.2288370253164557,0.31839999556541443
vit_b_16+resnet50,defocus_blur,5,10000,79,1.0,0.0,79,0,0,5.25118670886076,5.46875,0.8752999901771545,0.3100000023841858,0.14710000157356262,0.3100000023841858,0.3114121835443038,0.36239999532699585,0.3114121835443038,0.36239999532699585
vit_b_16+resnet50,elastic_transform,5,10000,79,0.02564102564102564,0.9743589743589743,2,76,1,8.554193037974683,8.59375,0.636900007724762,0.39149999618530273,0.47440001368522644,0.39149999618530273,0.4759691455696203,0.5615000128746033,0.4759691455696203,0.5615000128746033
vit_b_16+resnet50,fog,5,10000,79,0.0,1.0,0,79,0,7.575158227848101,7.8125,0.5418999791145325,0.47909998893737793,0.5857999920845032,0.47909998893737793,0.5862341772151899,0.6624000072479248,0.5862341772151899,0.6624000072479248
vit_b_16+resnet50,frost,5,10000,79,0.9620253164556962,0.0379746835443038,76,3,0,9.414556962025317,9.375,0.5759000182151794,0.5217999815940857,0.4578000009059906,0.5217999815940857,0.5230419303797469,0.6171000003814697,0.5230419303797469,0.6171000003814697
vit_b_16+resnet50,gaussian_noise,5,10000,79,1.0,0.0,79,0,0,4.667721518987341,4.6875,0.8561000227928162,0.3517000079154968,0.15860000252723694,0.3517000079154968,0.35195806962025317,0.39890000224113464,0.35195806962025317,0.39890000224113464
vit_b_16+resnet50,glass_blur,5,10000,79,0.9487179487179487,0.05128205128205128,74,4,1,7.199367088607595,7.03125,0.8860999941825867,0.2093999981880188,0.15559999644756317,0.2093999981880188,0.20935522151898733,0.2824000120162964,0.20935522151898733,0.2824000120162964
vit_b_16+resnet50,impulse_noise,5,10000,79,1.0,0.0,79,0,0,4.420490506329114,4.6875,0.8517000079154968,0.3619000017642975,0.1623000055551529,0.3619000017642975,0.3606606012658228,0.4065999984741211,0.3606606012658228,0.4065999984741211
vit_b_16+resnet50,jpeg_compression,5,10000,79,1.0,0.0,78,0,1,8.079509493670885,7.8125,0.6049000024795532,0.5249000191688538,0.40529999136924744,0.5249000191688538,0.5239319620253164,0.6044999957084656,0.5239319620253164,0.6044999957084656
vit_b_16+resnet50,motion_blur,5,10000,79,0.7972972972972973,0.20270270270270271,59,15,5,11.244066455696203,11.71875,0.7702000141143799,0.3305000066757202,0.3052000105381012,0.3305000066757202,0.33850870253164556,0.4503999948501587,0.33850870253164556,0.4503999948501587
vit_b_16+resnet50,pixelate,5,10000,79,0.6753246753246753,0.3246753246753247,52,25,2,11.857199367088606,12.5,0.6299999952316284,0.4593999981880188,0.4392000138759613,0.4593999981880188,0.4710245253164557,0.5892000198364258,0.4710245253164557,0.5892000198364258
vit_b_16+resnet50,shot_noise,5,10000,79,1.0,0.0,79,0,0,5.24129746835443,5.46875,0.8580999970436096,0.34049999713897705,0.1656000018119812,0.34049999713897705,0.34088212025316456,0.3935000002384186,0.34088212025316456,0.3935000002384186
vit_b_16+resnet50,snow,5,10000,79,0.05128205128205128,0.9487179487179487,4,74,1,10.126582278481013,10.15625,0.6647999882698059,0.392300009727478,0.45899999141693115,0.392300009727478,0.46143196202531644,0.5626999735832214,0.46143196202531644,0.5626999735832214
vit_b_16+resnet50,zoom_blur,5,10000,79,0.05063291139240506,0.9493670886075949,4,75,0,10.551819620253164,10.9375,0.7142999768257141,0.33719998598098755,0.4025999903678894,0.33719998598098755,0.4059533227848101,0.5095000267028809,0.4059533227848101,0.5095000267028809
vit_b_16+resnet50,ALL,-,150000,1185,0.5953408110440035,0.40465918895599656,690,469,26,8.066323839662447,7.8125,0.7112333337465923,0.39223333398501076,0.3503200014432271,0.39223333398501076,0.42032568565400846,0.5007200022538503,0.42032568565400846,0.5007200022538503
convnext_base+efficientnet_b4,brightness,5,10000,79,0.5342465753424658,0.4657534246575342,39,34,6,8.237737341772151,8.59375,0.3188000023365021,0.7042999863624573,0.7031999826431274,0.7042999863624573,0.7205300632911392,0.8027999997138977,0.7205300632911392,0.8027999997138977
convnext_base+efficientnet_b4,contrast,5,10000,79,1.0,0.0,78,0,1,8.959651898734178,8.59375,0.8112000226974487,0.3492000102996826,0.24529999494552612,0.3492000102996826,0.34879351265822783,0.4390999972820282,0.34879351265822783,0.4390999972820282
convnext_base+efficientnet_b4,defocus_blur,5,10000,79,1.0,0.0,79,0,0,5.023734177215189,4.6875,0.9135000109672546,0.23389999568462372,0.1103999987244606,0.23389999568462372,0.23338607594936708,0.2840000092983246,0.23338607594936708,0.2840000092983246
convnext_base+efficientnet_b4,elastic_transform,5,10000,79,0.09210526315789473,0.9078947368421053,7,69,3,9.790348101265822,10.15625,0.7843000292778015,0.27630001306533813,0.3327000141143799,0.27630001306533813,0.3353441455696203,0.43320000171661377,0.3353441455696203,0.43320000171661377
convnext_base+efficientnet_b4,fog,5,10000,79,0.0,1.0,0,79,0,6.200553797468354,6.25,0.7512000203132629,0.2825999855995178,0.5386999845504761,0.2825999855995178,0.5361946202531646,0.6007000207901001,0.5361946202531646,0.6007000207901001
convnext_base+efficientnet_b4,frost,5,10000,79,0.6883116883116883,0.3116883116883117,53,24,2,11.639636075949367,11.71875,0.6650999784469604,0.4438999891281128,0.41510000824928284,0.4438999891281128,0.45174050632911394,0.569599986076355,0.45174050632911394,0.569599986076355
convnext_base+efficientnet_b4,gaussian_noise,5,10000,79,1.0,0.0,79,0,0,2.6305379746835444,2.34375,0.9381999969482422,0.2554999887943268,0.07159999758005142,0.2554999887943268,0.254746835443038,0.28139999508857727,0.254746835443038,0.28139999508857727
convnext_base+efficientnet_b4,glass_blur,5,10000,79,0.6,0.4,42,28,9,6.170886075949367,6.25,0.9394999742507935,0.1193000003695488,0.11100000143051147,0.1193000003695488,0.1270767405063291,0.19020000100135803,0.1270767405063291,0.19020000100135803
convnext_base+efficientnet_b4,impulse_noise,5,10000,79,1.0,0.0,79,0,0,4.272151898734177,3.90625,0.9409000277519226,0.2085999995470047,0.08699999749660492,0.2085999995470047,0.20905854430379747,0.251800000667572,0.20905854430379747,0.251800000667572
convnext_base+efficientnet_b4,jpeg_compression,5,10000,79,1.0,0.0,79,0,0,4.964398734177215,4.6875,0.6920999884605408,0.5616000294685364,0.30399999022483826,0.5616000294685364,0.5609177215189873,0.6104000210762024,0.5609177215189873,0.6104000210762024
convnext_base+efficientnet_b4,motion_blur,5,10000,79,0.7027027027027027,0.2972972972972973,52,22,5,11.37262658227848,11.71875,0.7935000061988831,0.30469998717308044,0.2858999967575073,0.30469998717308044,0.3147745253164557,0.4269999861717224,0.3147745253164557,0.4269999861717224
convnext_base+efficientnet_b4,pixelate,5,10000,79,1.0,0.0,79,0,0,10.126582278481013,10.15625,0.7177000045776367,0.4442000091075897,0.33640000224113464,0.4442000091075897,0.4441257911392405,0.5458999872207642,0.4441257911392405,0.5458999872207642
convnext_base+efficientnet_b4,shot_noise,5,10000,79,1.0,0.0,79,0,0,3.0359968354430378,3.125,0.9383999705314636,0.257999986410141,0.07739999890327454,0.257999986410141,0.25860363924050633,0.28870001435279846,0.25860363924050633,0.28870001435279846
convnext_base+efficientnet_b4,snow,5,10000,79,0.07792207792207792,0.922077922077922,6,71,2,10.61115506329114,10.15625,0.6804999709129333,0.3815000057220459,0.45419999957084656,0.3815000057220459,0.4546083860759494,0.5620999932289124,0.4546083860759494,0.5620999932289124
convnext_base+efficientnet_b4,zoom_blur,5,10000,79,0.06493506493506493,0.935064935064935,5,72,2,10.957278481012658,10.9375,0.734499990940094,0.32030001282691956,0.3790999948978424,0.32030001282691956,0.3817246835443038,0.48910000920295715,0.3817246835443038,0.48910000920295715
convnext_base+efficientnet_b4,ALL,-,150000,1185,0.6545454545454545,0.34545454545454546,756,399,30,7.599551687763713,7.8125,0.7746266663074494,0.34292666663726173,0.29679999748865765,0.34292666663726173,0.3754417194092827,0.45173333485921224,0.3754417194092827,0.45173333485921224
resnet50+efficientnet_b0,brightness,5,10000,79,1.0,0.0,79,0,0,5.7852056962025316,5.46875,0.3596999943256378,0.7123000025749207,0.613099992275238,0.7156000137329102,0.7381329113924051,0.7857000231742859,0.7113330696202531,0.7694000005722046
resnet50+efficientnet_b0,contrast,5,10000,79,1.0,0.0,79,0,0,5.092958860759493,5.46875,0.9193999767303467,0.2240000069141388,0.10790000110864639,0.2280000001192093,0.27155854430379744,0.33500000834465027,0.22359572784810128,0.27549999952316284
resnet50+efficientnet_b0,defocus_blur,5,10000,79,0.9746835443037974,0.02531645569620253,77,2,0,5.24129746835443,4.6875,0.9409000277519226,0.14710000157356262,0.0892999991774559,0.15209999680519104,0.1975870253164557,0.25619998574256897,0.1472507911392405,0.2004999965429306
resnet50+efficientnet_b0,elastic_transform,5,10000,79,1.0,0.0,78,0,1,9.394778481012658,9.375,0.6416000127792358,0.47440001368522644,0.3847000002861023,0.4803999960422516,0.5347112341772152,0.6064000129699707,0.4753757911392405,0.567300021648407
resnet50+efficientnet_b0,fog,5,10000,79,1.0,0.0,79,0,0,5.6467563291139244,5.46875,0.6234999895095825,0.5857999920845032,0.374099999666214,0.5893999934196472,0.6192642405063291,0.6812000274658203,0.5862341772151899,0.6407999992370605
resnet50+efficientnet_b0,frost,5,10000,79,1.0,0.0,79,0,0,4.12381329113924,3.90625,0.7595000267028809,0.4578000009059906,0.23520000278949738,0.460099995136261,0.4790348101265823,0.5371999740600586,0.45688291139240506,0.49950000643730164
resnet50+efficientnet_b0,gaussian_noise,5,10000,79,1.0,0.0,79,0,0,1.7503955696202531,1.5625,0.9700999855995178,0.15860000252723694,0.0340999998152256,0.1597999930381775,0.174248417721519,0.2159000039100647,0.15753560126582278,0.17630000412464142
resnet50+efficientnet_b0,glass_blur,5,10000,79,0.9871794871794872,0.01282051282051282,77,1,1,3.8568037974683542,3.90625,0.9412000179290771,0.15559999644756317,0.07180000096559525,0.16009999811649323,0.1932357594936709,0.2459000051021576,0.15466772151898733,0.19470000267028809
resnet50+efficientnet_b0,impulse_noise,5,10000,79,1.0,0.0,79,0,0,1.8690664556962024,1.5625,0.9674000144004822,0.1623000055551529,0.03579999879002571,0.16529999673366547,0.18265427215189872,0.22550000250339508,0.16119462025316456,0.18119999766349792
resnet50+efficientnet_b0,jpeg_compression,5,10000,79,1.0,0.0,79,0,0,7.0708069620253164,7.03125,0.7390999794006348,0.40529999136924744,0.27320000529289246,0.4090999960899353,0.45233386075949367,0.5268999934196472,0.4049643987341772,0.47679999470710754
resnet50+efficientnet_b0,motion_blur,5,10000,79,1.0,0.0,79,0,0,7.466376582278481,7.8125,0.8292999863624573,0.3052000105381012,0.2020999938249588,0.31200000643730164,0.35977056962025317,0.4345000088214874,0.3052808544303797,0.3799999952316284
resnet50+efficientnet_b0,pixelate,5,10000,79,0.9871794871794872,0.01282051282051282,77,1,1,8.662974683544304,8.59375,0.6991000175476074,0.4392000138759613,0.3280999958515167,0.4462999999523163,0.5027689873417721,0.5767999887466431,0.4410601265822785,0.5273000001907349
resnet50+efficientnet_b0,shot_noise,5,10000,79,1.0,0.0,79,0,0,1.8097310126582278,1.5625,0.9661999940872192,0.1656000018119812,0.03750000149011612,0.16820000112056732,0.18937895569620253,0.22910000383853912,0.1651503164556962,0.18389999866485596
resnet50+efficientnet_b0,snow,5,10000,79,0.9873417721518988,0.012658227848101266,78,1,0,5.617088607594937,5.46875,0.729200005531311,0.45899999141693115,0.27160000801086426,0.4629000127315521,0.48902294303797467,0.555400013923645,0.4567840189873418,0.5152000188827515
resnet50+efficientnet_b0,zoom_blur,5,10000,79,0.9868421052631579,0.013157894736842105,75,1,3,9.078322784810126,9.375,0.7152000069618225,0.4025999903678894,0.3116999864578247,0.4106999933719635,0.4686511075949367,0.5472000241279602,0.40239319620253167,0.49380001425743103
