"mode","corruption","severity","duo/ece","duo/nll","duo/accuracy","duo/acc3","duo/acc5","duo/f1","duo/brier","large/ece","large/nll","large/accuracy","large/acc3","large/acc5","large/f1","large/brier","small/ece","small/nll","small/accuracy","small/acc3","small/acc5","small/f1","small/brier"
"no_adapt","brightness","5","0.7401700615882874","6.528927759022436","0.74168","0.88384","0.919","0.7402506181502899","0.998045027256012","0.6839500665664673","6.538249607164696","0.68546","0.8397","0.88072","0.6852394263249253","0.9980681538581848","0.7090625762939453","6.575910731506355","0.7105","0.86114","0.9012","0.7072978429390187","0.998185396194458"
"no_adapt","contrast","5","0.3298100531101227","6.811643733687823","0.33096","0.46504","0.52158","0.3580342741286035","0.9987956285476685","0.18269012868404388","6.831946703763776","0.18384","0.28186","0.32588","0.23857205268553283","0.9988396167755127","0.22430211305618286","6.800702370316051","0.2255","0.34764","0.40282","0.22478751137822917","0.9987674951553345"
"no_adapt","defocus_blur","5","0.34342363476753235","6.716789039911861","0.34472","0.50254","0.56752","0.34235832464542093","0.9985555410385132","0.3091834783554077","6.728387699922214","0.31048","0.45836","0.5206","0.31288047317076223","0.9985814690589905","0.141389399766922","6.818580484996413","0.14258","0.24276","0.29756","0.13446956016643546","0.9988086819648743"
"no_adapt","elastic_transform","5","0.49587365984916687","6.645946680678762","0.49726","0.65904","0.7179","0.501570976168219","0.9983702301979065","0.392513632774353","6.673835726201521","0.3939","0.54458","0.604","0.40403709426078355","0.9984353184700012","0.4720470607280731","6.688837885385786","0.47336","0.63934","0.70032","0.46176163928695346","0.9984906315803528"
"no_adapt","fog","5","0.6453281044960022","6.737632285436042","0.64654","0.8019","0.84496","0.6476067863957332","0.9986253380775452","0.4860483705997467","6.751956117457823","0.48726","0.66332","0.72032","0.538899750393042","0.9986581206321716","0.5852787494659424","6.692744096821833","0.58656","0.74918","0.79848","0.5802896307183054","0.9985088109970093"
"no_adapt","frost","5","0.5826730728149414","6.691890899288268","0.58396","0.73904","0.78976","0.5875340791617182","0.998506486415863","0.5243731141090393","6.702391120453073","0.52566","0.67556","0.7275","0.5345757490113869","0.9985306859016418","0.4619293510913849","6.717512147752758","0.4632","0.61962","0.6774","0.4643665711595952","0.9985663890838623"
"no_adapt","gaussian_noise","5","0.3829248249530792","6.723311595496682","0.3842","0.5401","0.60332","0.38661449704909817","0.9985764026641846","0.35554468631744385","6.730934353660652","0.35682","0.50116","0.56084","0.3660098041070258","0.9985934495925903","0.16300666332244873","6.808489263331232","0.16422","0.26798","0.32154","0.16214374839385293","0.9987830519676208"
"no_adapt","glass_blur","5","0.26471006870269775","6.744750373411976","0.266","0.40216","0.46364","0.2595518678309444","0.9986249208450317","0.2135898917913437","6.765425878478847","0.21488","0.33072","0.38754","0.21301998780530298","0.9986709356307983","0.1576842963695526","6.8147512504371255","0.15888","0.26186","0.31634","0.14530550463730904","0.9987994432449341"
"no_adapt","impulse_noise","5","0.3890746831893921","6.7275939280206725","0.39034","0.5506","0.61566","0.39349776343732823","0.9985883831977844","0.3675745725631714","6.734230198566647","0.36884","0.51738","0.57852","0.3793515500967507","0.998603105545044","0.15972766280174255","6.808956660590562","0.16094","0.26598","0.31904","0.1606968372380763","0.9987841248512268"
"no_adapt","jpeg_compression","5","0.5718198418617249","6.594879952913654","0.57326","0.74676","0.80114","0.5729876877328206","0.9982279539108276","0.5313796997070312","6.604153804894255","0.53282","0.70742","0.7662","0.5339421800985038","0.9982500672340393","0.4087176024913788","6.729328068908468","0.40998","0.57274","0.63334","0.40336480261733926","0.9985958337783813"
"no_adapt","motion_blur","5","0.4133785665035248","6.693199729537528","0.4147","0.5777","0.64382","0.4279125119348549","0.998496949672699","0.3304184079170227","6.714564140508157","0.33174","0.47812","0.54072","0.3541750198923245","0.9985454082489014","0.2990618646144867","6.7726825258418275","0.30028","0.4473","0.51288","0.2929285451933953","0.9987028241157532"
"no_adapt","pixelate","5","0.5368627905845642","6.627396762417949","0.53826","0.71402","0.77066","0.5421849897039062","0.9983211755752563","0.46062272787094116","6.64541163052151","0.46202","0.62964","0.69028","0.47072952875044166","0.9983632564544678","0.43694216012954706","6.726169454384207","0.4382","0.6096","0.6752","0.43130356869315173","0.9985906481742859"
"no_adapt","shot_noise","5","0.3781290650367737","6.713772342637949","0.37942","0.53782","0.60266","0.3832231225474379","0.9985494017601013","0.3422088921070099","6.723601914791047","0.3435","0.49174","0.5538","0.35399842039313323","0.9985713958740234","0.16837717592716217","6.8108187869985075","0.16958","0.27246","0.32584","0.16823236490699806","0.9987893104553223"
"no_adapt","snow","5","0.5177500247955322","6.660580258143286","0.5191","0.68598","0.74426","0.5283647931384862","0.9984134435653687","0.39111003279685974","6.687024208811728","0.39246","0.5537","0.61782","0.4117551335564477","0.9984752535820007","0.4597243368625641","6.677743272608188","0.46106","0.62474","0.6857","0.45761819757088623","0.998457133769989"
"no_adapt","zoom_blur","5","0.441008597612381","6.682448057933614","0.44234","0.61818","0.68584","0.4507421355574122","0.9984718561172485","0.3341485261917114","6.710775892633607","0.33548","0.4855","0.5512","0.34714738252081156","0.9985368847846985","0.40873685479164124","6.7394053503054625","0.40998","0.57656","0.6424","0.40368106287130434","0.9986238479614258"
"no_adapt","average","0","0.4688624699910482","6.686717559902566","0.4701826666666667","0.6283146666666667","0.6861146666666668","0.47482896183881823","0.998045027256012","0.39369041522343956","6.702859266521969","0.39501066666666657","0.5439173333333333","0.6017293333333333","0.409622236871145","0.9980681538581848","0.350399191180865","6.745508823345651","0.3516546666666666","0.4905933333333334","0.5473373333333333","0.34654982585139","0.998185396194458"
