proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
prototype,beta,128,628,0.6062091503267973,371,612,0.6730769230769231,0.5961538461538461,0.75,572,40,-0.06963361926405823,0.7641728956713852,0.6546512329179878,0.6505774301763014,0.8065838023270127,0.5339438989168552,0.9644258748429121,0.9820518697313865,0.8339926210735217
prototype,identity,128,628,0.3480392156862745,213,612,0.6395979020979021,0.3041958041958042,0.975,572,40,-0.08199761967282737,0.33922761323907735,0.44121336376703546,0.6546809795877514,0.809123587338641,0.5339438989168552,0.9473140795029846,0.9733006110667889,0.8339926210735217
prototype,identity,512,160,0.3,48,160,0.6363636363636364,0.2727272727272727,1.0,154,6,-0.08312790538395703,0.3472167799535139,0.4388979692509774,0.6694914875165981,0.8182245947883736,0.4275824395830832,0.9581565787165175,0.9788547280963185,0.8041316190564743
prototype,beta,512,160,0.53125,85,160,0.5963203463203464,0.525974025974026,0.6666666666666666,154,6,-0.07486134504588227,0.8042398008113161,0.6709005066357328,0.6649698377756973,0.8154568276590106,0.4275824395830832,0.9762978163932139,0.9880778392379893,0.8041316190564743
atc,identity,128,628,0.11764705882352941,72,612,0.5163461538461538,0.057692307692307696,0.975,572,40,-0.23890908333275068,0.6128449695170106,0.31691806759336616,0.4051825310688388,0.6365394968647576,0.21304778536126373,0.9128245541041485,0.9554185230066186,0.8269737351653637
atc,identity,512,160,0.05625,9,160,0.5097402597402597,0.01948051948051948,1.0,154,6,-0.24148608887683146,0.6389934097639179,0.32450780355327746,0.4166498261369834,0.6454841796178923,0.2001269183922632,0.9369758714890374,0.9679751399127136,0.8049150207053969
cot,linear,128,628,0.934640522875817,572,612,0.5,1.0,0.0,572,40,0.12292195875422615,0.05337644305027595,0.6162217437027963,0.2531752670236427,0.5031652482273022,0.284042672290209,0.7861682029187689,0.8866612672936429,0.8198026520595513
cot,platt,128,628,0.934640522875817,572,612,0.5,1.0,0.0,572,40,0.12290440101248934,0.053038005380868045,0.6149043962447698,0.25338183867860337,0.5033704785529276,0.284042672290209,0.7848361673486748,0.8859097963950251,0.8198026520595513
cot,beta,128,628,0.934640522875817,572,612,0.5,1.0,0.0,572,40,nan,nan,nan,nan,nan,nan,nan,nan,nan
cot,isotonic,128,628,0.934640522875817,572,612,0.5,1.0,0.0,572,40,0.12194379490542069,0.07376310921527279,0.5441132960904355,0.26391778833938156,0.513729294803578,0.39669203795771435,0.7467246516366037,0.8641323114179933,0.8304288916561705
cot,linear,512,160,0.9625,154,160,0.5,1.0,0.0,154,6,0.10158320609679306,0.15590513653917906,0.7581142426430212,0.4151339002732395,0.6443088547220498,0.30857920666021604,0.9128344635661361,0.9554237089198363,0.8286575645775152
cot,platt,512,160,0.9625,154,160,0.5,1.0,0.0,154,6,0.10028629794220799,0.16200902931413796,0.7641004069088191,0.41566001955608917,0.6447170073420502,0.30857920666021604,0.9144769990522473,0.9562829074349533,0.8286575645775152
cot,beta,512,160,0.9625,154,160,0.5,1.0,0.0,154,6,nan,nan,nan,nan,nan,nan,nan,nan,nan
cot,isotonic,512,160,0.9625,154,160,0.5,1.0,0.0,154,6,0.12352577367036069,0.11044066401227698,0.5532935220010535,0.0010813577586751665,0.032884004602164355,0.003522271802716253,0.6551061848860439,0.8093863013951026,0.7785761108414696
