proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
atc,linear,1024,300,0.8494983277591973,254,299,0.8334259945638745,0.8640350877192983,0.8028169014084507,228,71,-0.0018476853058020694,0.7021558054326379,0.7413455248544771,0.6074443764963593,0.7793871800949508,0.643737186863937,0.7717235382270635,0.8784779668421192,0.8459859825950351
atc,platt,1024,300,0.8494983277591973,254,299,0.8334259945638745,0.8640350877192983,0.8028169014084507,228,71,-0.0022586719262572227,0.6766714987182609,0.7415361262834852,0.6087109861752255,0.7801993246441742,0.643737186863937,0.7808173061099137,0.8836386739555449,0.8459859825950351
cot,platt,1024,300,0.7525083612040134,225,299,0.8183222139856684,0.6929824561403509,0.9436619718309859,228,71,-0.009152709209679248,0.27528880488302926,0.8485323753860339,0.7425893932639788,0.8617362666523782,0.8229871459924623,0.8788712261839335,0.9374813204453375,0.931651325819816
cot,linear,1024,300,0.745819397993311,223,299,0.8139362490733877,0.6842105263157895,0.9436619718309859,228,71,-0.009202783630342683,0.2757429977357799,0.8482528314443236,0.743965865878524,0.8625345592372076,0.8229871459924623,0.8803152732364959,0.9382511781162313,0.931651325819816
atc,linear,512,600,0.8221476510067114,490,596,0.7827397260273973,0.86,0.7054794520547946,450,146,-7.066710410235179e-05,0.6502341277636963,0.704889462804215,0.6032813300472372,0.7767118706748579,0.6400301364781806,0.7592623827729746,0.871356633516366,0.8311996458709782
atc,platt,512,600,0.8221476510067114,490,596,0.7827397260273973,0.86,0.7054794520547946,450,146,-0.0005351765211153121,0.6262323122635465,0.704763749135929,0.6045016335984795,0.7774970312473737,0.6400301364781806,0.7680519251803464,0.876385717124798,0.8311996458709782
nuclear_norm,linear,512,600,0.7953020134228188,474,596,0.7811567732115677,0.8088888888888889,0.7534246575342466,450,146,-0.023535092634024934,1.2646911883388268,0.816673147769755,0.7199963400565454,0.8485259807787534,0.8122136560341465,0.8637153681879347,0.929362882940746,0.9152129622337278
nuclear_norm,platt,512,600,0.7953020134228188,474,596,0.7811567732115677,0.8088888888888889,0.7534246575342466,450,146,-0.018866648309624704,1.0164949469936515,0.7996272853812846,0.7399650718964775,0.8602122249168966,0.8122136560341465,0.8894387965795744,0.9431006290844972,0.9152129622337278
ac_mc,linear,512,600,0.802013422818792,478,596,0.7786605783866059,0.8244444444444444,0.7328767123287672,450,146,-0.018266555277577715,1.1836966914479155,0.7633346493376032,0.6282883656163739,0.7926464316556114,0.7558227787153867,0.7422153498201164,0.8615192103604634,0.8396058705514444
ac_mc,platt,512,600,0.802013422818792,478,596,0.7786605783866059,0.8244444444444444,0.7328767123287672,450,146,-0.017293754404703352,1.0661271783042976,0.7565204230978146,0.6307159151765906,0.7941762494412626,0.7558227787153867,0.7676674772581104,0.8761663525028283,0.8396058705514444
