proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
cot,linear,2048,150,0.8133333333333334,122,150,0.867017459937814,0.7610619469026548,0.972972972972973,113,37,-0.010375327128198313,0.3561748417132119,0.8665126527223244,0.7641302629645241,0.7817839791215712,0.8841854890924026,0.8597223124492153,0.9112214779315061,0.9545792151160144,0.9548219976793235
cot,platt,2048,150,0.8133333333333334,122,150,0.867017459937814,0.7610619469026548,0.972972972972973,113,37,-0.010254955424178619,0.3546690831190268,0.867057755279921,0.7640751482280757,0.7792572425206663,0.8827554828607219,0.8597223124492153,0.9086643491750264,0.9532388730926925,0.9548219976793235
atc,linear,2048,150,0.8666666666666667,130,150,0.8569720162640517,0.8761061946902655,0.8378378378378378,113,37,-0.0008673706930185965,0.7715542721288045,0.7447422927573653,0.7078318181070657,0.6064072608431601,0.7787215553990785,0.6514334480184404,0.7768284025121222,0.8813786941559922,0.8586915456109264
atc,platt,2048,150,0.8666666666666667,130,150,0.8569720162640517,0.8761061946902655,0.8378378378378378,113,37,-0.0013901204542178032,0.7385439885420723,0.7444906338480819,0.7189116777263675,0.6080537297715124,0.7797780003125969,0.6514334480184404,0.7870809397564813,0.887175822346665,0.8586915456109264
ac_mc,linear,2048,150,0.8666666666666667,130,150,0.8478832815116002,0.8849557522123894,0.8108108108108109,113,37,-0.019176151087388647,1.3455714192716148,0.802011631611663,0.7740829176302959,0.6291156061072283,0.7931680818762366,0.7931352357001528,0.7517178348098583,0.8670166289119594,0.857400651583433
ac_mc,platt,2048,150,0.8666666666666667,130,150,0.8478832815116002,0.8849557522123894,0.8108108108108109,113,37,-0.01827239867959406,1.2022208787266717,0.794756062314347,0.770454234498313,0.6323849430183563,0.7952263470348278,0.7931352357001528,0.7793623642244494,0.882815022654491,0.857400651583433
atc,linear,1024,300,0.8566666666666667,257,300,0.845790480746233,0.8672566371681416,0.8243243243243243,226,74,-0.0004966586839667815,0.7575389277628231,0.7333817436456544,0.7003442187335848,0.6022334000810043,0.7760369837069651,0.6402960283998026,0.7727168794005627,0.8790431612842242,0.846272074142891
atc,platt,1024,300,0.8566666666666667,257,300,0.845790480746233,0.8672566371681416,0.8243243243243243,226,74,-0.0010376958614061551,0.7250694253516302,0.7329774967130118,0.7066343277958713,0.6038812754706712,0.7770979831853067,0.6402960283998026,0.7828444519798654,0.8847849749966742,0.846272074142891
nuclear_norm,beta,2048,150,0.8533333333333334,128,150,0.8299449892370246,0.8761061946902655,0.7837837837837838,113,37,-0.03416219826950173,1.7859426165648138,0.8640211328115867,0.7802575460072566,0.7377405602884013,0.8589182500613206,0.8547424603152307,0.8828929288509002,0.9396238230541519,0.949788786663967
cot,linear,1024,300,0.76,228,300,0.8270748624730926,0.6946902654867256,0.9594594594594594,226,74,-0.00905198758539066,0.27331509955583905,0.8533909607832539,0.7394258326212179,0.7356808915008406,0.8577184220365333,0.8148531535469864,0.88054545731469,0.9383738366529035,0.9270467281862781
