proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
cot,platt,1024,300,0.782608695652174,234,299,0.8044993662864386,0.7756653992395437,0.8333333333333334,263,36,-0.004569959001470098,0.17874835243987283,0.6456434700966289,0.9678164739185018,0.9837766382256197,0.969838408563311,0.9735735184244032,0.9866982914875262,0.9773869389123241
cot,linear,1024,300,0.7859531772575251,235,299,0.7824250105618926,0.7870722433460076,0.7777777777777778,263,36,-0.0033774911876788285,0.1728320770673136,0.6688877667053726,0.9666914169514692,0.983204666868231,0.969838408563311,0.9707350228088918,0.9852588608121684,0.9773869389123241
cot,isotonic,1024,300,0.5351170568561873,160,299,0.6997782002534854,0.4828897338403042,0.9166666666666666,263,36,-0.02215544290019674,0.08639872611542222,0.19511208974125732,0.38840001449500894,0.6232174696644895,0.7677242481489908,0.5007797473009421,0.7076579309955779,0.9044913896824275
prototype,beta,1024,300,0.7123745819397993,213,299,0.6566856780735109,0.7300380228136882,0.5833333333333334,263,36,0.004183289763690041,0.6992151587950705,0.7599363389246939,0.8494225276262772,0.9216412141534672,0.8209531760543781,0.8298313052072347,0.9109507699141786,0.9324754944057586
prototype,beta,512,600,0.718381112984823,426,593,0.6496574533427829,0.7450980392156863,0.5542168674698795,510,83,0.005925281061124973,0.671270132585889,0.7398085536371831,0.8422992327381613,0.9177686161218204,0.822492511005864,0.8242796196481782,0.9078984632921119,0.921196807509439
prototype,platt,128,2355,0.6555109326193663,1469,2241,0.6381926861736837,0.6659340659340659,0.6104513064133017,1820,421,-0.00033152406354113446,0.5609819509186007,0.7227226882906089,0.8138176619895848,0.9021184301351929,0.8162081727474231,0.8344229243649517,0.9134675278108969,0.8958668148499703
prototype,linear,128,2355,0.6492637215528781,1455,2241,0.6370853018715251,0.6565934065934066,0.6175771971496437,1820,421,-0.009920178688609652,0.7848388315059202,0.7334585234870876,0.7815886330426712,0.8840750155064169,0.8162081727474231,0.7645907914543609,0.8744088239801568,0.8958668148499703
nuclear_norm,isotonic,1024,300,0.9096989966555183,272,299,0.625,1.0,0.25,263,36,0.009959014143639536,0.11213545481234419,0.397392633768086,0.7456833411137503,0.8635295832302159,0.7318154351790901,0.7907805512389815,0.8892584277019709,0.6713620949042234
prototype,beta,128,2355,0.7166443551985721,1606,2241,0.6228805042938059,0.7730769230769231,0.47268408551068886,1820,421,0.01077870053880478,0.5919974222529777,0.6950848364493054,0.8189830772129594,0.9049768379428058,0.8162081727474231,0.799527495706257,0.8941630140563056,0.8958668148499703
cot,platt,512,600,0.7622259696458684,452,593,0.6045357902197024,0.8235294117647058,0.3855421686746988,510,83,0.0031617964097558435,0.11962576039689088,0.6268370253451023,0.845036824043616,0.9192588449634934,0.910675567045231,0.8942431729462019,0.9456443162977304,0.925772174098037
