proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
prototype,isotonic,2048,150,0.825503355704698,123,149,0.696524064171123,0.8636363636363636,0.5294117647058824,132,17,0.02232073849859454,0.21624231032404587,0.5053774523141907,0.6984225136619473,0.8357167664118911,0.8239724183191443,0.7815158285103021,0.8840338390074794,0.9088719517268468
prototype,isotonic,1024,300,0.8215488215488216,244,297,0.6731355415565942,0.8725868725868726,0.47368421052631576,259,38,0.022799440779047244,0.21126397350482323,0.5149169256458268,0.7044293656497812,0.839302904587957,0.8261778367692758,0.7812167674248413,0.8838646770998608,0.9057693150690151
prototype,isotonic,512,600,0.8180272108843537,481,588,0.6377981085526316,0.880859375,0.39473684210526316,512,76,0.023473883269100375,0.20054272692230213,0.49101793528731763,0.6966381773296872,0.8346485352108918,0.8285484100973706,0.7754237504059938,0.8805814842511701,0.9001568752769681
nuclear_norm,isotonic,128,2355,0.6216943074854325,1387,2231,0.6241487161378196,0.6203904555314533,0.627906976744186,1844,387,0.008454319637127203,0.37226843211320476,0.7027314840220859,0.8139300759418291,0.9021807335239592,0.9207220099086768,0.8260942148839393,0.9088972521049556,0.8566218084373405
prototype,platt,128,2355,0.636037651277454,1419,2231,0.6093461859680394,0.6502169197396963,0.5684754521963824,1844,387,0.00016764131349706268,0.5451947457287349,0.721591101780757,0.8161329805575466,0.9034007862280985,0.8174847423772851,0.8367561554110391,0.9147437648932291,0.9024736297784226
prototype,beta,128,2355,0.6297624383684447,1405,2231,0.6086126104917409,0.6409978308026031,0.5762273901808785,1844,387,-0.005024432436541266,0.6252862259060067,0.7378943137574911,0.7904126661524078,0.8890515542714088,0.8174847423772851,0.7960434594859581,0.8922126761518008,0.9024736297784226
prototype,linear,128,2355,0.6293142088749439,1404,2231,0.6083414608171204,0.6404555314533622,0.5762273901808785,1844,387,-0.009076422871215245,0.7540421464414114,0.7353910978133393,0.786847621918207,0.8870443178997355,0.8174847423772851,0.7688832371542696,0.8768598731577752,0.9024736297784226
prototype,platt,512,600,0.6037414965986394,355,588,0.6043893914473684,0.603515625,0.6052631578947368,512,76,-0.0037735537862330836,0.6117533777402424,0.7709584956601266,0.8410442345548167,0.9170846387083456,0.8223993082842388,0.8636194981500177,0.9293113031433642,0.9295480711555059
prototype,beta,512,600,0.6003401360544217,353,588,0.6024362664473684,0.599609375,0.6052631578947368,512,76,-0.009566453909411464,0.7021141469406398,0.7868899394116665,0.8142192937545829,0.9023410074659042,0.8223993082842388,0.8214219522380933,0.9063233155105817,0.9295480711555059
prototype,linear,512,600,0.5986394557823129,352,588,0.6014597039473684,0.59765625,0.6052631578947368,512,76,-0.014621030521739235,0.84736159193286,0.7835891981838307,0.8107695759857197,0.900427440711199,0.8223993082842388,0.7937669166926712,0.8909359778865545,0.9295480711555059
nuclear_norm,isotonic,512,600,0.5068027210884354,298,588,0.599146792763158,0.474609375,0.7236842105263158,512,76,0.002914432071515658,0.2921174481464098,0.6774867248199468,0.8381978008426373,0.9155314308327362,0.8898432310990401,0.8007628407048645,0.8948535303080971,0.706785363441246
