proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
cot,linear,2048,150,0.7986577181208053,119,149,0.8863636363636364,0.7727272727272727,1.0,132,17,-0.005476995012583819,0.2070556494737944,0.7496609405241752,0.3626273205380728,0.9834124149908908,0.9916715257538107,0.9776182028254022,0.983306184015307,0.9916179627332832,0.9826219219612287
cot,platt,2048,150,0.7919463087248322,118,149,0.8825757575757576,0.7651515151515151,1.0,132,17,-0.007047375855919516,0.21643420385665038,0.727127858854712,0.3498263874871071,0.9845497157172041,0.9922447861879669,0.9776182028254022,0.9861016358245476,0.9930265030826456,0.9826219219612287
prototype,isotonic,2048,150,0.825503355704698,123,149,0.696524064171123,0.8636363636363636,0.5294117647058824,132,17,0.02232072540056237,0.21624268835167976,0.5053782592758675,0.0846462341963914,0.6984227549360728,0.835716910763491,0.8239724183191443,0.7815158278588213,0.884033838639009,0.9088719517268468
cot,platt,1024,300,0.7777777777777778,231,297,0.6929485876854298,0.806949806949807,0.5789473684210527,259,38,-0.0013182662669200876,0.16183661400640167,0.7018732261419558,0.35777106804403075,0.9611644794524846,0.980389962949685,0.9662077477099167,0.9638731962454072,0.9817704396881214,0.9700877576945538
prototype,isotonic,1024,300,0.8215488215488216,244,297,0.6731355415565942,0.8725868725868726,0.47368421052631576,259,38,0.022799440779047244,0.21126397350482323,0.5149169256458284,0.17499222280766147,0.7044293656497812,0.839302904587957,0.8261778367692758,0.7812167674248413,0.8838646770998608,0.9057693150690151
cot,linear,1024,300,0.7811447811447811,232,297,0.6724243040032514,0.8185328185328186,0.5263157894736842,259,38,-0.00039369057506000036,0.15671718229951134,0.7218048932059081,0.3667163559264653,0.9600135479425262,0.9798028107443488,0.9662077477099167,0.9613076039844782,0.9804629539072235,0.9700877576945538
cot,isotonic,2048,150,0.37583892617449666,56,149,0.6477272727272727,0.29545454545454547,1.0,132,17,-0.022965605110281014,0.15657394308660266,0.4664075669383331,0.03766812719799115,0.3139415104633271,0.5603048370872119,0.7222682624792092,0.33001883860742875,0.5744726613229116,0.7754564097006423
prototype,isotonic,512,600,0.8180272108843537,481,588,0.6377981085526316,0.880859375,0.39473684210526316,512,76,0.023473877226953186,0.20054277882877672,0.49101792110570275,0.14752059856333327,0.6966381863869388,0.8346485406366795,0.8285484100973706,0.7754237494206463,0.8805814836916833,0.9001568752769681
nuclear_norm,isotonic,128,2355,0.6216943074854325,1387,2231,0.6241487161378196,0.6203904555314533,0.627906976744186,1844,387,0.008455632355901405,0.3722944491256947,0.7027709998059055,0.6123391216586489,0.8139329930710636,0.9021823502325146,0.9207260551451993,0.8260896940536331,0.9088947651151001,0.8566218084373405
cot,isotonic,1024,300,0.43434343434343436,129,297,0.6195387116439748,0.37065637065637064,0.868421052631579,259,38,-0.019181335636856044,0.14888939710911395,0.43013016073297305,-0.031997382353844986,0.4205488830970237,0.6484974040788627,0.7816126113812244,0.4149780268043702,0.6441878816031625,0.8420956049343818
