proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_pearson,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
cot,linear,2048,150,0.6845637583892618,102,149,0.821969696969697,0.6439393939393939,1.0,132,17,-0.01989624245464488,0.32772467260841837,0.7052095543223239,0.32405028646309303,0.9836399470978104,0.9917862406273896,0.9790440667889178,0.9862631984300628,0.9931078483377638,0.9847127317328108
cot,platt,2048,150,0.6711409395973155,100,149,0.8143939393939394,0.6287878787878788,1.0,132,17,-0.02293473321441449,0.34804878077955936,0.6863375727485062,0.31276768630456125,0.9847168502189431,0.9923290030120772,0.9790440667889178,0.9881445489286185,0.9940546005771607,0.9847127317328108
cot,linear,1024,300,0.7441077441077442,221,297,0.8083722820564926,0.722007722007722,0.8947368421052632,259,38,-0.010945951925170226,0.25042059998410154,0.6844638353449602,0.3269840411147764,0.9515088531368951,0.9754531527125714,0.9661297450751412,0.9625246894326214,0.9810834263367317,0.970238651730646
cot,platt,1024,300,0.7373737373737373,219,297,0.8045112781954887,0.7142857142857143,0.8947368421052632,259,38,-0.012863035969211865,0.2620653385121619,0.6632729049938098,0.32024179511399875,0.9524899925887302,0.9759559378315859,0.9661297450751412,0.9654713310527656,0.982584007122427,0.970238651730646
prototype,isotonic,2048,150,0.825503355704698,123,149,0.696524064171123,0.8636363636363636,0.5294117647058824,132,17,0.02232072865171837,0.2162426676721362,0.5053782623748723,0.0846462341963914,0.6984227444570499,0.8357169044940098,0.8239724183191443,0.7815158278588213,0.884033838639009,0.9088719517268468
prototype,isotonic,1024,300,0.8215488215488216,244,297,0.6731355415565942,0.8725868725868726,0.47368421052631576,259,38,0.022799442140165757,0.21126403673132113,0.5149169574120913,0.17499222280766147,0.7044293419414911,0.8393028904641584,0.8261778367692758,0.7812167674248413,0.8838646770998608,0.9057693150690151
cot,linear,512,600,0.7465986394557823,439,588,0.6416015625,0.783203125,0.5,512,76,-0.0005064572260541835,0.1674115887175347,0.6370393201543352,0.32511426142933997,0.8268805515633739,0.9093297265367354,0.9083065306692688,0.8671062588200322,0.931185405179888,0.9185424155581565
cot,platt,512,600,0.7465986394557823,439,588,0.6416015625,0.783203125,0.5,512,76,-0.0013017947273590098,0.17159232887266368,0.6210363409978097,0.3251322080272502,0.8322665120424166,0.9122864199594427,0.9083065306692688,0.8763034650223588,0.9361108187722,0.9185424155581565
prototype,isotonic,512,600,0.8180272108843537,481,588,0.6377981085526316,0.880859375,0.39473684210526316,512,76,0.023473854898773426,0.2005428635565233,0.4910174492639,0.14752059856333327,0.6966381379160383,0.8346485115999659,0.8285484100973706,0.7754235533247401,0.8805813723471216,0.9001568752769681
nuclear_norm,isotonic,128,2355,0.6216943074854325,1387,2231,0.6241487161378196,0.6203904555314533,0.627906976744186,1844,387,0.008454599461011767,0.37227277109520335,0.7027396026395152,0.6122925614486,0.8139308296963379,0.9021811512641671,0.9207182014045676,0.826097427788517,0.9088990195772669,0.8566218084373405
prototype,platt,128,2355,0.636037651277454,1419,2231,0.6093461859680394,0.6502169197396963,0.5684754521963824,1844,387,0.0001676540853998275,0.5451947057270102,0.7215911668727739,0.4697595221833594,0.8161329859953255,0.9034007892377145,0.8174846479561712,0.836756150615474,0.9147437622719676,0.9024730841286073
prototype,beta,128,2355,0.6297624383684447,1405,2231,0.6086126104917409,0.6409978308026031,0.5762273901808785,1844,387,-0.005024417152004176,0.6252861760283398,0.7378943429032041,0.4661340993879346,0.7904126681967748,0.8890515554211549,0.8174846479561712,0.7960434614139286,0.8922126772322441,0.9024730841286073
prototype,linear,128,2355,0.6293142088749439,1404,2231,0.6083414608171204,0.6404555314533622,0.5762273901808785,1844,387,-0.009076398276965986,0.7540421282532022,0.7353911214130252,0.4645022324319002,0.7868476306460259,0.8870443228193425,0.8174846479561712,0.7688832230843587,0.8768598651348793,0.9024730841286073
