proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_pearson,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
prototype,identity,128,628,0.6211382113821138,382,615,0.7857905982905983,0.5972222222222222,0.9743589743589743,576,39,-0.016809031033953602,0.1611747756211944,0.5288371040660955,0.4898437985773265,0.9078807022380359,0.9528277400653467,0.9254893676065965,0.8710421069624001,0.9332963660930006,0.9369939581426192
prototype,identity,1024,80,0.5375,43,80,0.7628205128205128,0.5256410256410257,1.0,78,2,-0.021827017910020702,0.19903071844802425,0.6371531498202825,0.6877029315285245,0.980222564101054,0.9900618991260365,0.963430072792207,0.9085037686843479,0.9531546404882829,0.9564198162293472
atc,identity,1024,80,0.425,34,80,0.7051282051282051,0.41025641025641024,1.0,78,2,-0.03182362356868001,0.07349618178635779,0.13641554512788737,-0.007749711374235859,0.7709663879270638,0.8780469167003913,0.9555671482748852,0.9379074381668118,0.9684562138614279,0.952676525382751
prototype,identity,512,160,0.5641025641025641,88,156,0.6781456953642384,0.5562913907284768,0.8,151,5,-0.019815384696984874,0.18501794413355566,0.6078546029517019,0.6075806055935059,0.9650138169908643,0.9823511678574339,0.9537225986425683,0.8968792648488834,0.9470370979264136,0.9430572277050198
atc,identity,512,160,0.4166666666666667,65,156,0.6019867549668875,0.40397350993377484,0.8,151,5,-0.026791074725451204,0.026220587159827148,0.04475630499980089,-0.012034183701875669,0.7485594345005135,0.8651932931435111,0.9347859850384239,0.9145056418496391,0.9562978834284007,0.9407156871777099
atc,identity,128,628,0.3886178861788618,239,615,0.6018963675213675,0.3576388888888889,0.8461538461538461,576,39,-0.03198267450431172,0.07530098634972189,0.1036335597963445,0.06597513003399293,0.7084765675443921,0.8417105010301298,0.8823255197358058,0.8773954437748932,0.9366938901129297,0.9313325167583968
nuclear_norm,identity,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.2970508805910541,0.025337562906766396,0.04885953906420376,0.08299124824763665,0.8662734517981885,0.9307381220290638,0.9253953252476129,0.9368824747557639,0.9679268953571669,0.9444302881239985
nuclear_norm,linear,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.10787362960888737,0.19671179026273683,0.39993084789552247,0.42979639757606997,0.8662734517981885,0.9307381220290638,0.9253953252476129,0.9368824747557639,0.9679268953571669,0.9444302881239985
nuclear_norm,platt,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.09723720047737867,0.24048140735763887,0.4651550126574945,0.4997222819936298,0.8597959456096556,0.9272518242687127,0.9253953252476129,0.9437477582769053,0.9714668076043078,0.9444302881239985
nuclear_norm,beta,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.14682675182766053,0.055941073574096556,0.1441363394462187,0.14365496834814753,0.8400570383553974,0.9165462554368968,0.9253953252476129,0.9210237896933516,0.9596998435413813,0.9444302881239985
nuclear_norm,isotonic,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.15413995948107664,-0.038894115496950876,-0.08733290446341714,-0.0646006629140294,0.7169352128847584,0.8467202683795625,0.9120285290143516,0.8746335817772048,0.9352184674059879,0.9324167429446782
nuclear_norm,identity,512,160,0.967948717948718,151,156,0.5,1.0,0.0,151,5,0.26870558289365803,0.05570865322325085,0.1112577405725305,0.11215896751990154,0.9251494596116694,0.9618469002973755,0.9533241038372962,0.9653514291759467,0.9825229916780303,0.952297170311551
nuclear_norm,linear,512,160,0.967948717948718,151,156,0.5,1.0,0.0,151,5,0.07931581615628261,0.2523556936945165,0.5339393563464925,0.5637791993895677,0.9251494596116696,0.9618469002973756,0.9533241038372962,0.9653514291759465,0.9825229916780301,0.952297170311551
nuclear_norm,platt,512,160,0.967948717948718,151,156,0.5,1.0,0.0,151,5,0.07327135011049524,0.2686623723440406,0.5512935614396645,0.5777091512304562,0.9143130360661484,0.9561971742617463,0.9533241038372962,0.9682785195430714,0.9840114427907185,0.952297170311551
nuclear_norm,beta,512,160,0.967948717948718,151,156,0.5,1.0,0.0,151,5,0.11013911566659491,0.1924764656972514,0.6475223177118998,0.5595041047879992,0.8936771835440983,0.945345007679259,0.9533241038372962,0.9566260725461506,0.9780726315290448,0.952297170311551
nuclear_norm,isotonic,512,160,0.967948717948718,151,156,0.5,1.0,0.0,151,5,0.13051458357677964,0.004649127529461155,0.013772664924688652,-0.08398977564725568,0.6646801571785674,0.8152791897126821,0.9067401486861912,0.8795231206697528,0.9378289399830615,0.9059461477449696
nuclear_norm,identity,1024,80,0.975,78,80,0.5,1.0,0.0,78,2,0.24249974603110072,0.04399842786539806,0.09161363455627088,0.09081851565507087,0.9461772902681223,0.9727164490580604,0.959058090978597,0.9861740937847644,0.9930629858094422,0.9634526596253178
nuclear_norm,linear,1024,80,0.975,78,80,0.5,1.0,0.0,78,2,0.05286799773844396,0.25274380280075837,0.5550509176864142,0.5904492887316579,0.9461772902681227,0.9727164490580607,0.959058090978597,0.9861740937847648,0.9930629858094424,0.9634526596253178
nuclear_norm,platt,1024,80,0.975,78,80,0.5,1.0,0.0,78,2,0.051758900370591575,0.24237736383495204,0.5567849612118201,0.5921606340189115,0.930812463267129,0.9647862267192298,0.959058090978597,0.9880854131254759,0.9940248553861598,0.9634526596253178
nuclear_norm,beta,1024,80,0.975,78,80,0.5,1.0,0.0,78,2,0.07742171602076099,0.30756466631691404,0.7980898540470736,0.4924103025495447,0.9146525519240053,0.9563746922226692,0.959058090978597,0.9806417793229695,0.99027358811743,0.9634526596253178
nuclear_norm,isotonic,1024,80,0.975,78,80,0.5,1.0,0.0,78,2,0.06861593939543296,0.24396149176138462,0.7947131664071643,0.6140390290680187,0.5009384974889375,0.7077700880151248,0.8710308557857532,0.8565479095452165,0.9254987355719166,0.7715028452529417
atc,linear,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.14667781850855355,-0.13691811591349215,-0.3024942675778589,-0.28699126226973687,0.7084765675443921,0.8417105010301298,0.8823255197358058,0.877395443774893,0.9366938901129296,0.9313325167583968
atc,platt,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.14213951327602195,-0.11584130613002612,-0.2621608733814864,-0.2544726299319026,0.7063256406319552,0.8404318179554813,0.8823255197358058,0.8867868472758579,0.9416936058378319,0.9313325167583968
atc,beta,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.15979990659419072,-0.18352258849414893,-0.38123255056400707,-0.361460343092619,0.7081902484323107,0.8415404021390243,0.8823255197358058,0.8524169442190952,0.923264287308404,0.9313325167583968
atc,isotonic,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.13147819128466176,0.009291302335356954,0.029072257072012206,0.069587345945143,0.6150009294418517,0.784219949658163,0.8322172765206456,0.8315619434226053,0.9119001828175084,0.9190969028112016
atc,linear,512,160,0.967948717948718,151,156,0.5,1.0,0.0,151,5,0.15205552026127298,-0.18151695654128025,-0.44439360085357454,-0.4179325581120089,0.7485594345005135,0.8651932931435111,0.9347859850384239,0.9145056418496391,0.9562978834284007,0.9407156871777099
atc,platt,512,160,0.967948717948718,151,156,0.5,1.0,0.0,151,5,0.14724260695848082,-0.15769629397582746,-0.39534508973150706,-0.36972123491274406,0.745957316124386,0.8636882053868664,0.9347859850384239,0.9249932351440726,0.9617656861960051,0.9407156871777099
atc,beta,512,160,0.967948717948718,151,156,0.5,1.0,0.0,151,5,0.16585780462648542,-0.2364007337982055,-0.5538487024045322,-0.5085959827189347,0.7492997481294473,0.8656210187659766,0.9347859850384239,0.8911659489416804,0.9440158626536317,0.9407156871777099
atc,isotonic,512,160,0.967948717948718,151,156,0.5,1.0,0.0,151,5,0.13513577054477807,-0.035037913360300106,-0.10947441927148358,-0.07162854585099965,0.6427013929510756,0.80168659272254,0.9012767841329068,0.8844981797407382,0.9404776338333295,0.9426384250374932
atc,linear,1024,80,0.975,78,80,0.5,1.0,0.0,78,2,0.1539824319349222,-0.19403849915900254,-0.4668931153972249,-0.47725434736859396,0.7709663879270641,0.8780469167003914,0.9555671482748852,0.9379074381668118,0.9684562138614279,0.952676525382751
atc,platt,1024,80,0.975,78,80,0.5,1.0,0.0,78,2,0.14882829135841413,-0.16729409979013338,-0.4129291406435631,-0.42877404525845286,0.7681998966270097,0.8764701344752197,0.9555671482748852,0.9482346109229606,0.97377338786956,0.952676525382751
atc,beta,1024,80,0.975,78,80,0.5,1.0,0.0,78,2,0.1684547201441245,-0.2546605703337574,-0.5891561290460383,-0.5806383571876086,0.7726672347858721,0.8790149229597141,0.9555671482748852,0.9150360892777414,0.9565751874671125,0.952676525382751
atc,isotonic,1024,80,0.975,78,80,0.5,1.0,0.0,78,2,0.1343767065614144,-0.03191771895012994,-0.09647216659028045,-0.1361402654120398,0.648503710353943,0.8052972807317451,0.9169989529278761,0.9188870215132245,0.9585859489441855,0.9563327491714589
prototype,linear,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.09214260103323177,0.28690622484339595,0.529502135511665,0.4894467988193421,0.9078807022380359,0.9528277400653467,0.9254893676065965,0.8710421069624001,0.9332963660930006,0.9369939581426192
prototype,platt,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.06894248405611103,0.3658959483637052,0.6566960321355801,0.6142855782717528,0.9050000250453906,0.9513148926855873,0.9254893676065965,0.9011723627849837,0.9493009864026181,0.9369939581426192
