proxy_kind,calib_method,proxy_batch_size,brightness_s5,contrast_s5,defocus_blur_s5,elastic_transform_s5,fog_s5,frost_s5,gaussian_noise_s5,glass_blur_s5,impulse_noise_s5,jpeg_compression_s5,motion_blur_s5,pixelate_s5,shot_noise_s5,snow_s5,zoom_blur_s5,clean
nuclear_norm,identity,128,0.5,nan,nan,nan,0.3472222222222222,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
nuclear_norm,linear,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
nuclear_norm,platt,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
nuclear_norm,beta,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
nuclear_norm,isotonic,128,0.5,nan,nan,nan,0.45179738562091504,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
nuclear_norm,identity,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
nuclear_norm,linear,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
nuclear_norm,platt,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
nuclear_norm,beta,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
nuclear_norm,isotonic,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
nuclear_norm,identity,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
nuclear_norm,linear,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
nuclear_norm,platt,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
nuclear_norm,beta,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
nuclear_norm,isotonic,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
nuclear_norm,identity,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
nuclear_norm,linear,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
nuclear_norm,platt,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
nuclear_norm,beta,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
nuclear_norm,isotonic,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
atc,identity,128,0.5106382978723404,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5106382978723404,0.49942528735632186
atc,linear,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
atc,platt,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
atc,beta,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
atc,isotonic,128,0.5,nan,nan,nan,0.576797385620915,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
atc,identity,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.38315217391304346
atc,linear,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
atc,platt,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
atc,beta,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
atc,isotonic,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
atc,identity,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.40404040404040403
atc,linear,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
atc,platt,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
atc,beta,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
atc,isotonic,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
atc,identity,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35714285714285715
atc,linear,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
atc,platt,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
atc,beta,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
atc,isotonic,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
prototype,identity,128,0.4970311726867887,nan,nan,nan,0.5,nan,nan,nan,nan,0.5338709677419355,nan,nan,nan,nan,0.5,0.5473563218390805
prototype,linear,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.6134751773049645,0.5
prototype,platt,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5271867612293144,0.5
prototype,beta,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5756501182033097,0.5
prototype,isotonic,128,0.5,nan,nan,nan,0.607843137254902,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
prototype,identity,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.4782608695652174
prototype,linear,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
prototype,platt,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
prototype,beta,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
prototype,isotonic,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
prototype,identity,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
prototype,linear,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
prototype,platt,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
prototype,beta,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
prototype,isotonic,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
prototype,identity,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
prototype,linear,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
prototype,platt,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
prototype,beta,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
prototype,isotonic,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
ac_mc,identity,128,0.5,nan,nan,nan,0.4950980392156863,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
ac_mc,linear,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.49645390070921985,0.5
ac_mc,platt,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
ac_mc,beta,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
ac_mc,isotonic,128,0.5,nan,nan,nan,0.45915032679738566,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
ac_mc,identity,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
ac_mc,linear,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
ac_mc,platt,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
ac_mc,beta,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
ac_mc,isotonic,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
ac_mc,identity,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
ac_mc,linear,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
ac_mc,platt,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
ac_mc,beta,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
ac_mc,isotonic,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
ac_mc,identity,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
ac_mc,linear,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
ac_mc,platt,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
ac_mc,beta,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
ac_mc,isotonic,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
cot,identity,128,0.4903513112320634,nan,nan,nan,0.4526143790849673,nan,nan,nan,nan,0.4979472140762463,nan,nan,nan,nan,0.4929078014184397,0.5019540229885058
cot,linear,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
cot,platt,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
cot,beta,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
cot,isotonic,128,0.5,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.5,0.5
cot,identity,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
cot,linear,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
cot,platt,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
cot,beta,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
cot,isotonic,512,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
cot,identity,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
cot,linear,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
cot,platt,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
cot,beta,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
cot,isotonic,1024,0.5,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,0.5
cot,identity,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
cot,linear,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
cot,platt,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
cot,beta,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
cot,isotonic,2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5
