corruption,n,l_pearson_r,l_spearman_rho,s_pearson_r,s_spearman_rho,gap_pearson_r,gap_spearman_rho
brightness/s5,79,0.029664244181080258,0.0074975657254138265,0.32407554146795325,0.2864167478091529,-0.016943507255914758,0.007594936708860761
contrast/s5,79,-0.27831774419974376,-0.2686222005842259,0.2748179827174447,0.18507789678675757,0.021653940790941902,-0.12370983446932814
defocus_blur/s5,79,-0.06731276106424042,-0.18914313534566699,0.061863361243330375,0.04016553067185979,0.07348546805870236,0.010929892891918211
elastic_transform/s5,79,0.03771854853953674,0.04715189873417722,0.3452135978338049,0.24678675754625126,0.07055461730311476,-0.044790652385589096
fog/s5,79,0.05442021179403763,0.04113924050632911,0.3399786000388601,0.1610516066212269,0.15174560008082644,0.06733203505355403
frost/s5,79,0.023281315757160262,0.033471275559883155,0.34351238850756116,0.35727848101265824,0.2284381715171324,0.2280915287244401
gaussian_noise/s5,79,0.1519679903354066,0.13821811100292114,0.09324384106345446,0.0621713729308666,0.06839238793737594,0.06786757546251218
glass_blur/s5,79,-0.2262030536466602,-0.2569133398247322,0.1319302214930737,0.13931353456669915,-0.135251162734146,-0.16027263875365141
impulse_noise/s5,79,-0.1707830213357631,-0.21833008763388512,0.00039878601246313983,0.038218111002921135,-0.10923617149086014,-0.16324245374878288
jpeg_compression/s5,79,0.20593155029017132,0.07984420642648492,0.02758995212875423,0.05883641674780916,0.16357100338379402,0.10423563777994159
motion_blur/s5,79,-0.023737335065745283,0.04396299902629016,0.12802804175703186,0.11270691333982473,-0.016811304555510234,-0.07366114897760469
pixelate/s5,79,-0.15169041729378724,-0.14739532619279455,-0.03274391827131085,-0.004990262901655307,-0.17507265198376895,-0.17385589094449852
shot_noise/s5,79,0.10111905695633502,0.1139970788704966,0.24410349740384937,0.2025073028237585,0.13638950869877858,0.09870983446932814
snow/s5,79,-0.11778650845189957,-0.07799415774099318,0.14436975525927065,0.310856864654333,-0.06832943087794113,0.17356377799415773
zoom_blur/s5,79,-0.13312255972773224,-0.17173807205452776,0.0175218978525349,0.09084712755598832,-0.12657122363313808,-0.20121713729308663
"ALL (pooled, ignoring corruption)",1185,0.5801681982476798,0.660027380679717,-0.020035882847993916,-0.24375680406429437,-0.04445886159449262,0.017234316253196862
ACROSS corruptions (per-corruption means),15,0.6407916443594263,0.7392857142857142,-0.04855794734256176,-0.33571428571428563,-0.05213440657765249,-0.0035714285714285704
