corruption,batch_idx,n,T_l_opt,T_s_opt,log_T_ratio_opt,opt_nll,T_l_base,T_s_base,base_nll,r_l,r_s,gap_r,acc_l,acc_s
brightness/s5,0,128,0.8752641081809998,0.5852071642875671,0.40255976720386755,1.0237491130828857,0.5936581492424011,0.6630322933197021,1.072776436805725,0.6515827178955078,0.4387477934360504,0.2128349244594574,0.71875,0.7109375
brightness/s5,1,128,0.8302029371261597,0.624277651309967,0.2850749500372773,1.0295723676681519,0.5936581492424011,0.6630322933197021,1.0867375135421753,0.7346668243408203,0.3820459246635437,0.3526208996772766,0.6640625,0.6953125
brightness/s5,2,128,0.9143766760826111,0.5000448822975159,0.6035447458204339,1.032930612564087,0.5936581492424011,0.6630322933197021,1.1025229692459106,0.7260282039642334,0.3515365719795227,0.3744916319847107,0.6796875,0.6875
brightness/s5,3,128,1.2115440368652344,0.541079044342041,0.8060855126237912,0.9882993102073669,0.5936581492424011,0.6630322933197021,1.140077829360962,0.7862006425857544,0.4259481728076935,0.3602524697780609,0.7421875,0.734375
brightness/s5,4,128,0.9639230370521545,0.6091328263282776,0.45897510478289105,0.8973881006240845,0.5936581492424011,0.6630322933197021,0.9887706637382507,0.8010144233703613,0.44573646783828735,0.355277955532074,0.7578125,0.734375
brightness/s5,5,128,1.2843656539916992,0.5097061991691589,0.9241857413006379,1.0509592294692993,0.5936581492424011,0.6630322933197021,1.218724012374878,0.7706834077835083,0.4622206687927246,0.3084627389907837,0.671875,0.71875
brightness/s5,6,128,0.8409048318862915,0.8296771049499512,0.0134418979934151,0.8643930554389954,0.5936581492424011,0.6630322933197021,0.9574695825576782,0.8249707221984863,0.4855666160583496,0.3394041061401367,0.78125,0.7578125
brightness/s5,7,128,0.8551831841468811,0.753898024559021,0.12605858353413985,0.919805645942688,0.5936581492424011,0.6630322933197021,1.004560112953186,0.8062329888343811,0.41677743196487427,0.38945555686950684,0.734375,0.7109375
brightness/s5,8,128,1.014063835144043,0.6076210737228394,0.5121696822939568,0.9938733577728271,0.5936581492424011,0.6630322933197021,1.0940474271774292,0.7876551747322083,0.4409012198448181,0.34675395488739014,0.671875,0.7109375
brightness/s5,9,128,0.8647275567054749,0.7002289295196533,0.2110071702265311,0.894544780254364,0.5936581492424011,0.6630322933197021,0.9621912837028503,0.8041825294494629,0.4770984649658203,0.3270840644836426,0.734375,0.71875
brightness/s5,10,128,0.9520577788352966,0.7761415243148804,0.20429084475451556,0.7401319742202759,0.5936581492424011,0.6630322933197021,0.8574692606925964,0.8400064706802368,0.5687420964241028,0.27126437425613403,0.78125,0.765625
brightness/s5,11,128,1.157544732093811,0.6161518096923828,0.6305630531741648,0.8524492979049683,0.5936581492424011,0.6630322933197021,0.9774850606918335,0.8082106709480286,0.5586127042770386,0.24959796667099,0.7109375,0.765625
brightness/s5,12,128,1.2282036542892456,0.6521867513656616,0.6329769878230774,1.2656892538070679,0.5936581492424011,0.6630322933197021,1.525101900100708,0.8038951754570007,0.4971398115158081,0.3067553639411926,0.640625,0.6796875
brightness/s5,13,128,1.0809091329574585,0.7763791084289551,0.33091681311196286,0.960659921169281,0.5936581492424011,0.6630322933197021,1.1554601192474365,0.8546524047851562,0.590025007724762,0.2646273970603943,0.765625,0.7578125
brightness/s5,14,128,1.0037086009979248,0.7413018345832825,0.30304914359602975,0.8259751796722412,0.5936581492424011,0.6630322933197021,0.9471203088760376,0.8229137659072876,0.5473574995994568,0.2755562663078308,0.7578125,0.7421875
brightness/s5,15,128,1.1546499729156494,0.7921733856201172,0.37677223418095096,1.220024585723877,0.5936581492424011,0.6630322933197021,1.52650785446167,0.824230432510376,0.5708264112472534,0.25340402126312256,0.703125,0.703125
brightness/s5,16,128,1.2778602838516235,0.6914094686508179,0.614210082612057,0.8825927376747131,0.5936581492424011,0.6630322933197021,1.0857220888137817,0.8366159796714783,0.6175461411476135,0.21906983852386475,0.734375,0.78125
brightness/s5,17,128,1.4789165258407593,0.6241097450256348,0.862738795180194,1.1941826343536377,0.5936581492424011,0.6630322933197021,1.5225863456726074,0.8030917644500732,0.5569471120834351,0.24614465236663818,0.6484375,0.6640625
brightness/s5,18,128,1.1305955648422241,0.7149954438209534,0.4582236510027141,0.9226462841033936,0.5936581492424011,0.6630322933197021,1.0971319675445557,0.8190028667449951,0.5622847080230713,0.25671815872192383,0.6796875,0.71875
brightness/s5,19,128,1.310320258140564,0.7332193851470947,0.580581903465202,1.0815961360931396,0.5936581492424011,0.6630322933197021,1.410433292388916,0.8418653011322021,0.5811785459518433,0.2606867551803589,0.734375,0.7421875
brightness/s5,20,128,1.2361536026000977,0.6002094149589539,0.7224812849918643,0.7857590913772583,0.5936581492424011,0.6630322933197021,0.9493297934532166,0.8563201427459717,0.5976248979568481,0.25869524478912354,0.71875,0.7421875
