corruption,n,l_pearson_r,l_spearman_rho,s_pearson_r,s_spearman_rho,gap_pearson_r,gap_spearman_rho
brightness/s5,79,0.39102378016731365,0.5251217137293087,0.07039669335302674,-0.03712268743914314,-0.7055725471767028,-0.7503407984420644
contrast/s5,79,-0.01028145702176729,0.07363994334581032,0.9351085623369543,0.8997322297955209,-0.40122408351386274,-0.29934274586173326
defocus_blur/s5,79,-0.11014910188408264,-0.7914506197724696,-0.5131459441022783,-0.5563534566699124,-0.7505452083566304,-0.8531645569620253
elastic_transform/s5,79,-0.054237373673132916,-0.3696094066268813,0.8445330628194294,0.8422103213242454,-0.2767737377384215,-0.1488072054527751
fog/s5,79,0.08192383973168177,-0.43539965192674857,0.7699542090816633,0.7556718597857838,-0.27146680058993006,-0.2853213242453749
frost/s5,79,-0.14593600240262836,-0.8172103213242453,-0.44531212877933374,-0.4738802336903603,-0.6499442251882488,-0.826923076923077
gaussian_noise/s5,79,-0.04885755135440473,-0.6450984689951538,0.4081239128084091,0.28055014605647516,-0.5936397056386171,-0.5224196689386563
glass_blur/s5,79,-0.07561478486205625,-0.3271319810916292,0.3729710410473016,0.43831548198636805,-0.5776309964078142,-0.5083982473222979
impulse_noise/s5,79,-0.0723428175144677,-0.7399144347412744,-0.00034115077577146283,-0.04973222979552093,-0.5495247657101436,-0.6095180136319377
jpeg_compression/s5,79,-0.4985367035070555,0.03899707887049659,-0.3701924934888624,-0.40311587147030187,-0.844761434810595,-0.864337877312561
motion_blur/s5,79,-0.12258472546212933,-0.5546981499513145,-0.6100398968964285,-0.5984664070107109,-0.6116767668460086,-0.8355647517039922
pixelate/s5,79,-0.19163251405278775,-0.7664556962025316,-0.6754269252921942,-0.6661148977604674,-0.7243103089599099,-0.9260223953261928
shot_noise/s5,79,-0.12592287391842621,-0.7550146056475171,-0.06749984380445809,-0.2408227848101266,-0.6237710033711752,-0.7171616358325219
snow/s5,79,-0.1041569794970339,-0.444955664091397,0.5189834258699815,0.5907497565725415,-0.44144125158249137,-0.5053067185978579
zoom_blur/s5,79,-0.2528862365623846,-0.7861733203505356,-0.4755364437288835,-0.39581304771178194,-0.668507544656622,-0.816333982473223
"ALL (pooled, ignoring corruption)",1185,-0.1299149443306509,-0.7398722789827995,0.17158094532215587,0.22272328869309466,-0.589048791848053,-0.7670507831993626
ACROSS corruptions (per-corruption means),15,-0.4247069988223159,-0.5035714285714286,0.3659033021542327,0.19999999999999998,-0.7862464782803954,-0.8678571428571429
