corruption,n_refreshes,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc,n
brightness/s5,1,0.48238682746887207,0.6374715566635132,0.48238682746887207,0.6374715566635132,-0.03524092665669277,0.282203361722863,0.21929538249969482,0.7807046175003052,0.671875,0.7421875,0.75,128
brightness/s5,2,0.5628221035003662,0.6381509304046631,0.5628221035003662,0.6381509304046631,0.10869123695385566,0.4247754975287322,0.2202281951904297,0.7797718048095703,0.671875,0.6640625,0.6875,128
brightness/s5,3,0.5504087209701538,0.5903440713882446,0.5504087209701538,0.5903440713882446,0.15550673350880373,0.3950817137140581,0.27721869945526123,0.7227813005447388,0.625,0.7109375,0.703125,128
brightness/s5,4,0.6362812519073486,0.614582896232605,0.6362812519073486,0.614582896232605,0.3573832600901831,0.43084969983100585,0.42705774307250977,0.5729422569274902,0.7109375,0.734375,0.734375,128
brightness/s5,5,0.6673283576965332,0.6227103471755981,0.6673283576965332,0.6227103471755981,0.5267547654573458,0.46595898793669854,0.5604979395866394,0.4395020604133606,0.765625,0.7109375,0.765625,128
brightness/s5,6,0.6504956483840942,0.6166236400604248,0.6504956483840942,0.6166236400604248,0.5739866805839748,0.4706003361603628,0.6019376516342163,0.3980623483657837,0.6796875,0.6328125,0.6953125,128
brightness/s5,7,0.6715875864028931,0.6362162828445435,0.6715875864028931,0.6362162828445435,0.6446804724504915,0.5147897008277447,0.6270455718040466,0.37295442819595337,0.71875,0.7421875,0.75,128
brightness/s5,8,0.7080169320106506,0.6121417880058289,0.7080169320106506,0.6121417880058289,0.7652263334391809,0.4855568982114503,0.7537433505058289,0.24625664949417114,0.7109375,0.703125,0.7265625,128
brightness/s5,9,0.6888982057571411,0.5964042544364929,0.6888982057571411,0.5964042544364929,0.7800998401143668,0.43803093370080276,0.7971014380455017,0.2028985619544983,0.65625,0.6484375,0.6640625,128
brightness/s5,10,0.667905867099762,0.60919189453125,0.667905867099762,0.60919189453125,0.7394143123225934,0.44097379443429346,0.7674132585525513,0.23258674144744873,0.6875,0.6875,0.703125,128
brightness/s5,11,0.7175901532173157,0.6541850566864014,0.7175901532173157,0.6541850566864014,0.8359767639623539,0.5392301405487568,0.7662016749382019,0.2337983250617981,0.7890625,0.7734375,0.796875,128
brightness/s5,12,0.7054861783981323,0.6358436942100525,0.7054861783981323,0.6358436942100525,0.8547690047121118,0.548299861443241,0.7730960845947266,0.22690391540527344,0.71875,0.703125,0.7421875,128
brightness/s5,13,0.6558331251144409,0.6095535159111023,0.6558331251144409,0.6095535159111023,0.7497743688433718,0.49686784708999204,0.7333382368087769,0.26666176319122314,0.6875,0.640625,0.7109375,128
brightness/s5,14,0.7472437620162964,0.6360605955123901,0.7472437620162964,0.6360605955123901,0.9168701420030192,0.527587149631768,0.8259414434432983,0.17405855655670166,0.7265625,0.7265625,0.7578125,128
brightness/s5,15,0.7071021199226379,0.5994580984115601,0.7071021199226379,0.5994580984115601,0.8991106112771867,0.4653974216014005,0.8500320911407471,0.14996790885925293,0.7421875,0.703125,0.75,128
brightness/s5,16,0.7310832738876343,0.6043673157691956,0.7310832738876343,0.6043673157691956,0.949618109492812,0.44454667882973553,0.8829105496406555,0.11708945035934448,0.7265625,0.6796875,0.7421875,128
brightness/s5,17,0.7453363537788391,0.6304900646209717,0.7453363537788391,0.6304900646209717,1.0117550337637988,0.48943322371766906,0.8898575305938721,0.11014246940612793,0.7578125,0.703125,0.765625,128
brightness/s5,18,0.6968395709991455,0.602010190486908,0.6968395709991455,0.602010190486908,0.9220240566290278,0.45164059794207634,0.8677871823310852,0.1322128176689148,0.703125,0.609375,0.7109375,128
brightness/s5,19,0.694961667060852,0.5973979830741882,0.694961667060852,0.5973979830741882,0.8727216474433825,0.4231378023004971,0.8579461574554443,0.14205384254455566,0.703125,0.625,0.7109375,128
brightness/s5,20,0.7412202954292297,0.5869898796081543,0.7412202954292297,0.5869898796081543,0.9625211925341913,0.3873366419332293,0.9089381098747253,0.09106189012527466,0.7421875,0.671875,0.78125,128
brightness/s5,21,0.7254132628440857,0.5980415344238281,0.7254132628440857,0.5980415344238281,0.9669977546578628,0.39232404260561893,0.9087689518928528,0.09123104810714722,0.75,0.6796875,0.7578125,128
brightness/s5,22,0.7704154849052429,0.6461940407752991,0.7704154849052429,0.6461940407752991,1.0888282477804576,0.49733762446726976,0.914194643497467,0.08580535650253296,0.828125,0.7265625,0.828125,128
brightness/s5,23,0.7247657775878906,0.5895885825157166,0.7247657775878906,0.5895885825157166,1.0285271660096513,0.4298012432537779,0.9164378046989441,0.08356219530105591,0.7578125,0.71875,0.765625,128
brightness/s5,24,0.7175145149230957,0.6060400009155273,0.7175145149230957,0.6060400009155273,0.9803465871445203,0.4302489281392459,0.9002845883369446,0.09971541166305542,0.7421875,0.703125,0.75,128
brightness/s5,25,0.7460343837738037,0.6171508431434631,0.7460343837738037,0.6171508431434631,1.028959694234318,0.4538606676209462,0.9089098572731018,0.0910901427268982,0.75,0.6640625,0.75,128
brightness/s5,26,0.7685005068778992,0.6408179402351379,0.7685005068778992,0.6408179402351379,1.1144116163970397,0.5163883346996996,0.9162223935127258,0.08377760648727417,0.7578125,0.671875,0.7578125,128
brightness/s5,27,0.7613494992256165,0.6171361207962036,0.7613494992256165,0.6171361207962036,1.1372519950626685,0.49689921610817905,0.9283363819122314,0.07166361808776855,0.734375,0.71875,0.734375,128
brightness/s5,28,0.7551382184028625,0.6053261756896973,0.7551382184028625,0.6053261756896973,1.1317294518432526,0.4623034998487384,0.9356980919837952,0.06430190801620483,0.703125,0.6484375,0.6953125,128
brightness/s5,29,0.7410697340965271,0.6375964283943176,0.7410697340965271,0.6375964283943176,1.0916326994864485,0.5136252980623487,0.9098684787750244,0.09013152122497559,0.7734375,0.7890625,0.7890625,128
brightness/s5,30,0.7520423531532288,0.6353583931922913,0.7520423531532288,0.6353583931922913,1.1005836948979364,0.5344497822116192,0.9058970212936401,0.09410297870635986,0.7265625,0.71875,0.7421875,128
brightness/s5,31,0.7834384441375732,0.6485124230384827,0.7834384441375732,0.6485124230384827,1.1932006793254373,0.5734782873294235,0.922648549079895,0.07735145092010498,0.78125,0.7890625,0.796875,128
