corruption,t_frac,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
brightness/s5,0.0,0.48675304651260376,0.6374715566635132,0.48675304651260376,0.6374715566635132,0.65625,0.7421875,3.484299659729004,2.3207292556762695
brightness/s5,0.01282051282051282,0.556524395942688,0.6381505727767944,0.4994387464089827,0.6375950141386552,0.6605113636363635,0.7279829545454545,3.374613068320534,2.3288341002030806
brightness/s5,0.02564102564102564,0.5524647235870361,0.5903441905975342,0.5090798331686288,0.6290039553129968,0.6583161157024793,0.7248837809917354,3.2644132661425376,2.370528213248765
brightness/s5,0.038461538461538464,0.6330193877220154,0.6145827174186707,0.5316142976328809,0.6263819120594829,0.6721450037565739,0.7266094571750562,3.072216263218628,2.376226592117642
brightness/s5,0.05128205128205128,0.6625299453735352,0.6227105259895325,0.5554171426766362,0.6257143873194919,0.6877209121644696,0.7237600104159551,2.8909850696031936,2.382371258779624
brightness/s5,0.0641025641025641,0.6325423717498779,0.6166236400604248,0.5694399115990438,0.6240615241814796,0.6777375644982024,0.707224099431236,2.763552626098125,2.3859419324541027
brightness/s5,0.07692307692307693,0.663823127746582,0.6362162232398987,0.5866004963531417,0.6262714694648285,0.6837739164076202,0.7135810813528294,2.624416167187362,2.3768062617462276
brightness/s5,0.08974358974358974,0.6863069534301758,0.612141489982605,0.6047289430944206,0.6237023822862423,0.6844513861516892,0.7116799756523149,2.480850740980833,2.392251406968837
brightness/s5,0.10256410256410256,0.6732224822044373,0.5964041948318481,0.6171823138416963,0.6187390754763524,0.6835852250332002,0.7001813437155303,2.368292281339165,2.4167656639986728
brightness/s5,0.11538461538461539,0.6722152829170227,0.6091917753219604,0.6271883082190284,0.6170032027210084,0.6871379113908,0.6978756448581611,2.260853336054842,2.4054186782869555
brightness/s5,0.1282051282051282,0.7091240882873535,0.6541848182678223,0.6420857227769057,0.6237634964567927,0.7028287456833818,0.7116141639748591,2.1304259672479957,2.3663458532880264
brightness/s5,0.14102564102564102,0.7158758640289307,0.6358442306518555,0.6555021120954556,0.6259599935831678,0.715666701013676,0.7100706796157937,2.0128124281534117,2.3460541833631434
