corruption,t_frac,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
defocus_blur/s5,0.0,0.20019549131393433,0.3497592806816101,0.20019549131393433,0.3497592806816101,0.2421875,0.296875,5.055643081665039,4.028019428253174
defocus_blur/s5,0.01282051282051282,0.2854979634284973,0.33497196435928345,0.21570503169840033,0.3470706777139143,0.23792613636363635,0.30113636363636365,4.92584974115545,4.032479763031006
defocus_blur/s5,0.02564102564102564,0.2620490789413452,0.2935439944267273,0.22413122210620845,0.3373385534798803,0.20745092975206608,0.2790547520661157,4.8019341870772925,4.066262808713046
defocus_blur/s5,0.038461538461538464,0.28251010179519653,0.33279579877853394,0.23474556386784262,0.33651259807963546,0.20666439706987222,0.28513570623591283,4.6816807208788465,4.070709602891906
defocus_blur/s5,0.05128205128205128,0.3225109577178955,0.31126511096954346,0.25070290820421587,0.33192214587780056,0.19749814305716817,0.2759064869202923,4.535527133264222,4.090542319302806
defocus_blur/s5,0.0641025641025641,0.3235664963722229,0.31521323323249817,0.2639508333256717,0.3288841617604728,0.18147575341041033,0.2612530347529664,4.397987330489331,4.1112372248430535
defocus_blur/s5,0.07692307692307693,0.3471575975418091,0.35885387659072876,0.27907933591042394,0.3343332008205193,0.18825288915397206,0.2705706647978816,4.256917837966279,4.061972545146358
defocus_blur/s5,0.08974358974358974,0.3685893416404724,0.3121831715106964,0.2953538824067964,0.3303059227641879,0.19805918203506803,0.26825099847099404,4.115407892554019,4.08542583738626
defocus_blur/s5,0.10256410256410256,0.34254464507102966,0.3143741488456726,0.3039340210730206,0.3274092365971851,0.1918779671196011,0.2720349078399042,4.015641690781724,4.094881347809549
defocus_blur/s5,0.11538461538461539,0.34759238362312317,0.3285253942012787,0.3118719051730392,0.32761217434338397,0.18682060946149182,0.26944901550537614,3.9300135277815933,4.090951376606916
defocus_blur/s5,0.1282051282051282,0.36203911900520325,0.31037694215774536,0.3209932167788872,0.3244784957641769,0.19120549865031147,0.26733328541348955,3.837253031658173,4.098667047335257
defocus_blur/s5,0.14102564102564102,0.41950783133506775,0.3729877471923828,0.33890496488001093,0.3332983596602143,0.21183858980480028,0.27838632442921873,3.682691870109905,4.052932832929397
defocus_blur/s5,0.15384615384615385,0.3617328703403473,0.27646350860595703,0.34305549314552664,0.32296475037762207,0.2031520280221093,0.26470244726026987,3.593281121126632,4.108762384240928
defocus_blur/s5,0.16666666666666666,0.4113370180130005,0.35563212633132935,0.3554703158487037,0.3289042732782961,0.21309029565445306,0.2776542750311299,3.497248181759081,4.073933959645387
defocus_blur/s5,0.1794871794871795,0.367617130279541,0.29926958680152893,0.3576788275634014,0.3235161484643384,0.21269887826273431,0.27688758866183355,3.4349921040037232,4.097667380334863
defocus_blur/s5,0.19230769230769232,0.3600500822067261,0.31155943870544434,0.3581099647712786,0.32134220123544854,0.20385590039678259,0.27341939072331833,3.3915416564967646,4.1222996312070395
defocus_blur/s5,0.20512820512820512,0.36141371726989746,0.31187376379966736,0.35871064704375477,0.3196206671562156,0.19662073668827668,0.2663204105918059,3.2915894903724636,4.133732199481008
defocus_blur/s5,0.21794871794871795,0.34613853693008423,0.3207205533981323,0.3564248088412692,0.31982064647292774,0.18643969365404456,0.2647735177569321,3.1902454266211047,4.1219389978952385
defocus_blur/s5,0.23076923076923078,0.3547477722167969,0.3137643337249756,0.35611989309136516,0.3187194987005728,0.1852120220805819,0.26208742361930804,3.0843815453426933,4.133334832617411
defocus_blur/s5,0.24358974358974358,0.27472159266471863,0.2755656838417053,0.34132020210470215,0.31087335054441506,0.16858256352047607,0.2471056193248884,2.8905640662456284,4.182253087565657
defocus_blur/s5,0.2564102564102564,0.2370149940252304,0.32349133491516113,0.32235561881752545,0.3131675295209143,0.1492948246985713,0.2604159612658178,2.6093611246410875,4.166846702049014
defocus_blur/s5,0.2692307692307692,0.16537824273109436,0.3721853494644165,0.2938142777109016,0.3238980422379147,0.12641167475337653,0.2713062410356691,2.274534154431159,4.104333836558058
