global_idx,corruption,n,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l,cmp_fixed_ts_acc,cmp_coca_ts_acc,cmp_proxy_weighted_nuclear_norm_acc
0,brightness/s5,64,0.640625,1.6647534370422363,3.474794864654541,0.640625,1.6647534370422363,3.474794864654541,0.703125,1.24490225315094,2.2546534538269043,0.703125,1.24490225315094,2.2546534538269043,0.703125,1.1598855257034302,0.6654572486877441,0.703125,1.1598855257034302,0.6654572486877441,0.5,0.703125,0.703125,0.703125
1,brightness/s5,64,0.578125,1.8242566585540771,3.649752616882324,0.609375,1.7445050477981567,3.5622737407684326,0.703125,1.4624593257904053,2.652465343475342,0.703125,1.3536807894706726,2.453559398651123,0.71875,1.2793004512786865,0.8088619709014893,0.7109375,1.2195929884910583,0.7371596097946167,0.2405935525894165,0.65625,0.671875,0.65625
2,brightness/s5,64,0.71875,1.4516693353652954,3.1931827068328857,0.6458333333333334,1.6468931436538696,3.4392433961232505,0.6875,1.5287883281707764,2.462858200073242,0.6979166666666666,1.4120499690373738,2.4566589991251626,0.703125,1.3824509382247925,0.5930007696151733,0.7083333333333334,1.2738789717356365,0.6891066630681356,0.2405935525894165,0.703125,0.71875,0.703125
3,brightness/s5,64,0.609375,1.9473572969436646,3.525944232940674,0.63671875,1.7220091819763184,3.460918605327606,0.640625,1.7393690347671509,2.374758243560791,0.68359375,1.4938797354698181,2.43618381023407,0.640625,1.8193249702453613,0.6851539015769958,0.69140625,1.4102404713630676,0.6881184726953506,0.1773523986339569,0.640625,0.625,0.640625
4,brightness/s5,64,0.640625,1.3872817754745483,3.0224270820617676,0.6375,1.6550637006759643,3.3732203006744386,0.71875,1.281562328338623,2.233762741088867,0.690625,1.451416254043579,2.3956995964050294,0.75,1.1516214609146118,0.5205045342445374,0.703125,1.3585166692733766,0.6545956850051879,0.1773523986339569,0.765625,0.765625,0.765625
5,brightness/s5,64,0.671875,1.5972092151641846,2.9518120288848877,0.6432291666666666,1.645421286424001,3.302985588709513,0.734375,1.3276596069335938,2.297886371612549,0.6979166666666666,1.4307901461919148,2.379397392272949,0.734375,1.2894222736358643,0.5588310956954956,0.7083333333333334,1.3470009366671245,0.6386349201202393,0.17078515887260437,0.71875,0.71875,0.71875
6,brightness/s5,64,0.6875,1.3910861015319824,2.772838592529297,0.6495535714285714,1.609087688582284,3.227250303540911,0.71875,1.3040624856948853,2.0770606994628906,0.7008928571428571,1.4126861946923392,2.3362064361572266,0.734375,1.3010706901550293,0.540128767490387,0.7120535714285714,1.3404394728796822,0.6245626126016889,0.17078515887260437,0.71875,0.71875,0.71875
7,brightness/s5,64,0.625,1.6833431720733643,2.9924252033233643,0.646484375,1.6183696240186691,3.1978971660137177,0.640625,1.6221405267715454,2.203021287918091,0.693359375,1.43886798620224,2.3195582926273346,0.640625,1.6824387311935425,0.5708377361297607,0.703125,1.3831893801689148,0.6178470030426979,0.16599328815937042,0.65625,0.65625,0.65625
8,brightness/s5,64,0.78125,1.2370562553405762,2.7440085411071777,0.6614583333333334,1.5760014719433255,3.1474650965796576,0.796875,0.982596755027771,2.1066548824310303,0.7048611111111112,1.38817118273841,2.2959023581610785,0.796875,0.8744487166404724,0.4351643919944763,0.7135416666666666,1.3266626397768657,0.5975489351484511,0.16599328815937042,0.8125,0.8125,0.8125
9,brightness/s5,64,0.609375,1.6205044984817505,3.035116672515869,0.65625,1.580451774597168,3.1362302541732787,0.71875,1.3396248817443848,2.340155601501465,0.70625,1.3833165526390077,2.300327682495117,0.71875,1.269148349761963,0.6209274530410767,0.7140625,1.3209112107753753,0.5998867869377136,0.17191165685653687,0.703125,0.703125,0.703125
10,brightness/s5,64,0.75,1.2615216970443726,2.5359444618225098,0.6647727272727273,1.5514581311832776,3.081658818505027,0.71875,1.2308170795440674,2.0139708518981934,0.7073863636363636,1.3694529641758313,2.2742952433499424,0.734375,1.236305594444275,0.4390585720539093,0.7159090909090909,1.3132197911089116,0.5852660401300951,0.17191165685653687,0.75,0.75,0.75
11,brightness/s5,64,0.71875,1.4855715036392212,2.7203993797302246,0.6692708333333334,1.5459675788879395,3.0515538652737937,0.578125,1.5402685403823853,2.1683385372161865,0.6966145833333334,1.3836875955263774,2.265465517838796,0.640625,1.5193926095962524,0.581889271736145,0.7096354166666666,1.33040085931619,0.5849846427639326,0.19206048548221588,0.703125,0.703125,0.703125
12,brightness/s5,64,0.703125,1.4607118368148804,2.813601493835449,0.671875,1.5394094448823195,3.0332498367016134,0.734375,1.3095273971557617,2.1399102210998535,0.6995192307692307,1.377982964882484,2.2558074180896464,0.75,1.2919098138809204,0.4968429505825043,0.7127403846153846,1.3274400096673231,0.5782045125961304,0.19206048548221588,0.734375,0.734375,0.734375
13,brightness/s5,64,0.78125,1.1143090724945068,2.4785799980163574,0.6796875,1.5090451325689043,2.9936305625098094,0.75,1.200887680053711,2.043266773223877,0.703125,1.3653333016804285,2.240625943456377,0.75,1.0885934829711914,0.5249854326248169,0.7154017857142857,1.3103795434747423,0.5744031497410366,0.2064015120267868,0.765625,0.765625,0.765625
14,brightness/s5,64,0.65625,1.478700041770935,2.7196028232574463,0.678125,1.5070221265157064,2.9753620465596518,0.6875,1.4335676431655884,2.3246822357177734,0.7020833333333333,1.3698822577794394,2.2462296962738035,0.71875,1.309396505355835,0.7264174818992615,0.715625,1.3103140076001485,0.5845374385515849,0.2064015120267868,0.6875,0.6875,0.6875
15,brightness/s5,64,0.6875,1.1625046730041504,2.2379443645477295,0.6787109375,1.4854897856712341,2.9292734414339066,0.703125,1.0893096923828125,1.9898499250411987,0.7021484375,1.3523464724421501,2.230205960571766,0.71875,1.0193407535552979,0.4555644989013672,0.7158203125,1.2921281792223454,0.5764766298234463,0.26239585876464844,0.6875,0.6875,0.6875
16,brightness/s5,64,0.546875,1.9393987655639648,3.0980074405670166,0.6709558823529411,1.5121903139002182,2.9391989707946777,0.609375,1.8370245695114136,2.5390334129333496,0.6966911764705882,1.3808569487403421,2.2483722812989178,0.625,1.7125096321105957,0.8567469716072083,0.7104779411764706,1.3168564999804777,0.5929631205166087,0.26239585876464844,0.609375,0.59375,0.609375
17,brightness/s5,64,0.765625,1.4473031759262085,2.5613512992858887,0.6762152777777778,1.5085854729016621,2.918207433488634,0.78125,1.1145061254501343,1.8841617107391357,0.7013888888888888,1.366059680779775,2.228138360712263,0.796875,1.140385389328003,0.4635714590549469,0.7152777777777778,1.3070525493886735,0.5857746948798498,0.23698796331882477,0.796875,0.796875,0.796875
18,brightness/s5,64,0.71875,1.41456937789917,2.5923967361450195,0.678453947368421,1.5036372573752153,2.9010595020494963,0.71875,1.3477964401245117,2.166304349899292,0.7023026315789473,1.3650984575873928,2.224883939090528,0.734375,1.30477774143219,0.559148907661438,0.7162828947368421,1.3069328226541217,0.5843733376578281,0.23698796331882477,0.75,0.75,0.75
19,brightness/s5,64,0.65625,1.625474452972412,2.7596025466918945,0.67734375,1.509729117155075,2.8939866542816164,0.671875,1.6742010116577148,2.2551512718200684,0.70078125,1.3805535852909088,2.226397305727005,0.6875,1.6144288778305054,0.699192225933075,0.71484375,1.322307625412941,0.5901142820715904,0.24586935341358185,0.71875,0.71875,0.71875
20,brightness/s5,64,0.71875,1.4168299436569214,2.7074122428894043,0.6793154761904762,1.5053053469884963,2.885102158501035,0.59375,1.446303367614746,2.073678731918335,0.6956845238095238,1.3836845273063296,2.219124992688497,0.625,1.3971375226974487,0.5405519008636475,0.7105654761904762,1.3258709538550604,0.587754168680736,0.24586935341358185,0.6875,0.6875,0.671875
21,brightness/s5,64,0.828125,0.7845122814178467,2.351639747619629,0.6860795454545454,1.472542025826194,2.8608538670973345,0.828125,0.7754006385803223,2.006944417953491,0.7017045454545454,1.3560352596369656,2.209480421109633,0.859375,0.47202593088150024,0.49742913246154785,0.7173295454545454,1.2870598164471714,0.5836484852162275,0.23366717994213104,0.90625,0.90625,0.90625
22,brightness/s5,64,0.59375,1.3859517574310303,2.683859348297119,0.6820652173913043,1.4687772315481435,2.8531584532364556,0.609375,1.588921308517456,2.2706899642944336,0.6976902173913043,1.366160740023074,2.2121417055959287,0.671875,1.4592723846435547,0.6428737640380859,0.7153532608695652,1.2945473194122314,0.586223497338917,0.23366717994213104,0.65625,0.65625,0.65625
