corruption,n_refreshes,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc,n
brightness/s5,1,0.4623979330062866,0.6044450998306274,0.4623979330062866,0.6044450998306274,-0.07534639342493149,0.21201062857924513,0.4992816150188446,0.5007183849811554,0.609375,0.703125,0.6796875,128
brightness/s5,2,0.4885718524456024,0.6068563461303711,0.4885718524456024,0.6068563461303711,-0.06053347319004529,0.3230638265086863,0.49904102087020874,0.5009589791297913,0.6640625,0.6640625,0.671875,128
brightness/s5,3,0.5541549324989319,0.6511077284812927,0.5541549324989319,0.6511077284812927,0.07846966331269721,0.47348786980495794,0.49901247024536133,0.5009875297546387,0.65625,0.7265625,0.7421875,128
brightness/s5,4,0.5488163232803345,0.6474885940551758,0.5488163232803345,0.6474885940551758,0.13717948041111938,0.5407530344227888,0.4989910125732422,0.5010089874267578,0.65625,0.6796875,0.6875,128
brightness/s5,5,0.5657642483711243,0.6563534736633301,0.5657642483711243,0.6563534736633301,0.20088467819849481,0.593919460339722,0.4990173876285553,0.5009826123714447,0.6953125,0.7578125,0.7578125,128
brightness/s5,6,0.5816340446472168,0.658088743686676,0.5816340446472168,0.658088743686676,0.2651847990563475,0.6243540162345355,0.49910205602645874,0.5008979439735413,0.734375,0.6484375,0.7265625,128
brightness/s5,7,0.5802044868469238,0.6542606949806213,0.5802044868469238,0.6542606949806213,0.2943988423595388,0.6310874335380612,0.49915826320648193,0.5008417367935181,0.7421875,0.7421875,0.75,128
brightness/s5,8,0.606633186340332,0.6486862897872925,0.606633186340332,0.6486862897872925,0.36379030012270763,0.622178536520075,0.4993540048599243,0.5006459951400757,0.671875,0.6953125,0.6875,128
brightness/s5,9,0.5486660599708557,0.6275046467781067,0.5486660599708557,0.6275046467781067,0.27953638894692623,0.5718525247764812,0.4992692470550537,0.5007307529449463,0.65625,0.6953125,0.703125,128
brightness/s5,10,0.5697742700576782,0.6339027881622314,0.5697742700576782,0.6339027881622314,0.28023331479760044,0.5604246161172421,0.499299556016922,0.500700443983078,0.6875,0.6953125,0.734375,128
brightness/s5,11,0.5850889682769775,0.6586688756942749,0.5850889682769775,0.6586688756942749,0.3119665585667071,0.608896257194173,0.4992577135562897,0.5007422864437103,0.7734375,0.7109375,0.7890625,128
brightness/s5,12,0.5750657320022583,0.6273047924041748,0.5750657320022583,0.6273047924041748,0.3072582079640172,0.5647839221041117,0.49935615062713623,0.5006438493728638,0.6171875,0.609375,0.6640625,128
brightness/s5,13,0.6026835441589355,0.6623785495758057,0.6026835441589355,0.6623785495758057,0.3619586916997307,0.6193479215371752,0.4993565082550049,0.5006434917449951,0.7265625,0.7109375,0.734375,128
brightness/s5,14,0.6002665758132935,0.6515378952026367,0.6002665758132935,0.6515378952026367,0.3842673279319518,0.6225769981161517,0.4994041919708252,0.5005958080291748,0.6484375,0.671875,0.71875,128
brightness/s5,15,0.6105812788009644,0.6511685848236084,0.6105812788009644,0.6511685848236084,0.417011789304306,0.6233784076185749,0.499484121799469,0.500515878200531,0.6953125,0.65625,0.71875,128
brightness/s5,16,0.6038168668746948,0.6645737290382385,0.6038168668746948,0.6645737290382385,0.4192030894924028,0.6535610300986527,0.4994141161441803,0.5005858838558197,0.7265625,0.6640625,0.7421875,128
brightness/s5,17,0.613685667514801,0.6818521022796631,0.613685667514801,0.6818521022796631,0.4410172867275915,0.7079287218829171,0.4993327260017395,0.5006672739982605,0.6953125,0.7109375,0.7265625,128
brightness/s5,18,0.6038333773612976,0.653449296951294,0.6038333773612976,0.653449296951294,0.4312403471557663,0.6710822639763814,0.49940037727355957,0.5005996227264404,0.6640625,0.6796875,0.6640625,128
brightness/s5,19,0.6225274801254272,0.686968207359314,0.6225274801254272,0.686968207359314,0.4657651741474659,0.7285327591583799,0.49934306740760803,0.500656932592392,0.734375,0.7265625,0.7734375,128
brightness/s5,20,0.6061195135116577,0.6778528690338135,0.6061195135116577,0.6778528690338135,0.44839741414549794,0.7362273232868584,0.4992804229259491,0.5007195770740509,0.703125,0.7109375,0.7265625,128
brightness/s5,21,0.6401987075805664,0.6987779140472412,0.6401987075805664,0.6987779140472412,0.5123120546725892,0.7888562378657089,0.49930864572525024,0.5006913542747498,0.7109375,0.703125,0.71875,128
brightness/s5,22,0.6601215600967407,0.666124165058136,0.6601215600967407,0.666124165058136,0.5880740153567363,0.7397815764309044,0.4996207356452942,0.5003792643547058,0.703125,0.65625,0.7265625,128
brightness/s5,23,0.6549689173698425,0.6679875254631042,0.6549689173698425,0.6679875254631042,0.6145136439577761,0.719439266609915,0.4997377097606659,0.5002622902393341,0.65625,0.6796875,0.6796875,128
brightness/s5,24,0.6229088306427002,0.6735924482345581,0.6229088306427002,0.6735924482345581,0.5582134130165682,0.7219588795316958,0.49959060549736023,0.5004093945026398,0.65625,0.640625,0.6640625,128
brightness/s5,25,0.6480941772460938,0.6770352125167847,0.6480941772460938,0.6770352125167847,0.58444292162956,0.7310694317357568,0.49963346123695374,0.5003665387630463,0.7421875,0.671875,0.7421875,128
brightness/s5,26,0.6676863431930542,0.7044005393981934,0.6676863431930542,0.7044005393981934,0.6410910832182884,0.7997056048988709,0.4996034801006317,0.5003965198993683,0.7890625,0.765625,0.8046875,128
brightness/s5,27,0.6586102247238159,0.6794306039810181,0.6586102247238159,0.6794306039810181,0.649099058730862,0.7754309640242303,0.4996841847896576,0.5003158152103424,0.71875,0.6953125,0.71875,128
brightness/s5,28,0.6748394966125488,0.6928160190582275,0.6748394966125488,0.6928160190582275,0.6896275107664354,0.7943742943301435,0.4997381269931793,0.5002618730068207,0.7734375,0.734375,0.796875,128
brightness/s5,29,0.643683910369873,0.6610298156738281,0.643683910369873,0.6610298156738281,0.6405085324213264,0.7311305442059212,0.49977347254753113,0.5002265274524689,0.6875,0.6484375,0.6953125,128
brightness/s5,30,0.6666282415390015,0.7073754072189331,0.6666282415390015,0.7073754072189331,0.6667414024446796,0.8069007605706435,0.4996495842933655,0.5003504157066345,0.75,0.734375,0.78125,128
brightness/s5,31,0.7046592235565186,0.7069709897041321,0.7046592235565186,0.7069709897041321,0.7681629267649124,0.8438093886552802,0.4998108744621277,0.5001891255378723,0.8046875,0.734375,0.8046875,128
