corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,nuclear_norm_identity_pbs128_duo_acc_ema,fixed_ts_duo_acc_ema,coca_ts_duo_acc_ema,proxy_weighted_nuclear_norm_duo_acc_ema
gaussian_noise/s5,128.0,0.14258109033107758,0.27842146158218384,0.14258109033107758,0.27842146158218384,0.14204545454545453,0.3096590909090909,5.525925116105513,4.457545757293701,0.23295454545454544,0.23011363636363635,0.21732954545454544,0.23011363636363635
gaussian_noise/s5,256.0,0.1378154754638672,0.248480886220932,0.14171461490067566,0.27297772060741077,0.14854902329075878,0.2860631104432757,5.504553202307376,4.545776883432687,0.2347154395191585,0.22635706235912842,0.22580531555221633,0.22635706235912842
gaussian_noise/s5,384.0,0.15563637018203735,0.27069032192230225,0.1442458431336505,0.27256182993739103,0.1492869494756319,0.29299472682566385,5.435691649631432,4.532772315215333,0.2614624016615854,0.24450348802553223,0.23612793851016128,0.24450348802553223
gaussian_noise/s5,512.0,0.1832018941640854,0.27899491786956787,0.15132876150282046,0.27373148228869587,0.15623754469029902,0.29272787498246916,5.3330568154667475,4.5055881635739805,0.27161945896354067,0.2532936572732901,0.24019721503572777,0.2532936572732901
gaussian_noise/s5,640.0,0.1722387671470642,0.3070744276046753,0.15513058071086477,0.2797938359825103,0.1626982737182993,0.31553477581471073,5.234904723128985,4.454912073362585,0.3047617865788991,0.26899203503418595,0.2555762348586276,0.2713164151994752
gaussian_noise/s5,768.0,0.19502529501914978,0.2947314977645874,0.16238416513055293,0.28250977448834247,0.17038066257175405,0.3323517920743104,5.133914252759882,4.42394530447099,0.32514012159413896,0.28389136229561207,0.2692287192028829,0.2854473523236156
gaussian_noise/s5,896.0,0.1946110725402832,0.3228749632835388,0.168243602841413,0.2898488997238327,0.1788808567629097,0.34929128229767886,5.021260931406396,4.3537295443799575,0.3519533045382252,0.3096194243466494,0.29747955583002905,0.3106610375058914
gaussian_noise/s5,1024.0,0.2040291577577591,0.30734822154045105,0.1747500673716577,0.2930305945995815,0.17475701981649325,0.32679829641414865,4.922238467312977,4.303716605706241,0.3280637823768284,0.30256548241387266,0.2915978844812591,0.3032627606444397
gaussian_noise/s5,1152.0,0.190306156873703,0.31697601079940796,0.1775784472811205,0.29738430663591353,0.17147990582756983,0.29727819842600034,4.833677898526742,4.249771003306579,0.3038071601034966,0.28208928988036097,0.2719064350659668,0.2825560629107406
gaussian_noise/s5,1280.0,0.20864373445510864,0.3063364624977112,0.18322668131275469,0.29901197133805857,0.15275720968622442,0.2816490419215374,4.7373523595996865,4.234133091797466,0.288860578251101,0.2709647312422251,0.24813571273010995,0.27127719913859494
gaussian_noise/s5,1408.0,0.20711134374141693,0.34943661093711853,0.18756934720887508,0.30818008762879673,0.15210399987259648,0.2975295239309465,4.616042673200715,4.124587091414666,0.300032701143299,0.2823710184348779,0.265280931662305,0.2825801911588941
gaussian_noise/s5,1536.0,0.21928465366363525,0.3419443368911743,0.193335766564286,0.3143190420401381,0.15399110735272986,0.3042862928793939,4.443346516393419,4.068365473403183,0.3064785024182415,0.29103969002665375,0.27159302036898103,0.29117971474273074
gaussian_noise/s5,1664.0,0.20206287503242493,0.336290180683136,0.19492251355849305,0.3183137945206832,0.15292999748405883,0.31087553490273473,4.313535507916799,4.030915244281993,0.31234304707336824,0.29916706522445413,0.2758184681808881,0.2992608007781916
gaussian_noise/s5,1792.0,0.20285288989543915,0.3483119010925293,0.1963644001652105,0.3237679957155643,0.1524779322000724,0.30934643245554966,4.1809040535280415,3.995569541539019,0.31084534556151094,0.28033084531554364,0.25488674316241267,0.2803935939093679
gaussian_noise/s5,1920.0,0.20133745670318604,0.3717862367630005,0.19726859226302423,0.3324985849969163,0.15140051659674267,0.305740173792558,3.9676397856043177,3.9079361082872612,0.31474977678084615,0.2896739543021407,0.26231054707566465,0.2897159595591636
gaussian_noise/s5,2048.0,0.18417194485664368,0.331933856010437,0.1948873836436823,0.3323959069993746,0.14628877557302605,0.30797482708427437,3.7354067678074516,3.9387725485443656,0.31116513982850025,0.28998834957416025,0.2590157381250317,0.29001646879580373
