global_idx,corruption,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l
0,gaussian_noise/s5,0.328125,3.733431577682495,4.421759605407715,0.328125,3.733431577682495,4.421759605407715,0.1640625,5.464189052581787,6.558229923248291,0.1640625,5.464189052581787,6.558229923248291,0.328125,4.151115417480469,1.8269511461257935,0.328125,4.151115417480469,1.8269511461257935,0.9860760569572449
1,gaussian_noise/s5,0.34375,3.052851676940918,3.0469985008239746,0.3359375,3.3931416273117065,3.7343790531158447,0.15625,5.437376976013184,6.5754313468933105,0.16015625,5.450783014297485,6.566830635070801,0.34375,3.83363676071167,1.0526050329208374,0.3359375,3.9923760890960693,1.4397780895233154,0.9996792078018188
2,gaussian_noise/s5,0.3359375,3.9205453395843506,2.7485454082489014,0.3359375,3.5689428647359214,3.405767838160197,0.1015625,5.671841621398926,6.580448150634766,0.140625,5.524469216664632,6.571369806925456,0.3359375,5.409186363220215,0.9754528999328613,0.3359375,4.464646180470784,1.2850030263264973,0.9999710321426392
3,gaussian_noise/s5,0.3125,3.595783233642578,2.428757667541504,0.330078125,3.5756529569625854,3.1615152955055237,0.1640625,5.501897811889648,6.521867752075195,0.146484375,5.518826365470886,6.558994293212891,0.3125,5.022119045257568,0.8318030834197998,0.330078125,4.6040143966674805,1.171703040599823,0.9999908208847046
4,gaussian_noise/s5,0.328125,3.7013394832611084,2.2169175148010254,0.3296875,3.60079026222229,2.972595739364624,0.1484375,5.4008097648620605,6.563597202301025,0.146875,5.495223045349121,6.559914875030517,0.328125,5.2775187492370605,0.7921608686447144,0.3296875,4.738715267181396,1.0957946062088013,0.9999963045120239
5,gaussian_noise/s5,0.296875,3.8035855293273926,2.1458797454833984,0.32421875,3.6345894734064736,2.83480974038442,0.1328125,5.617684364318848,6.548070907592773,0.14453125,5.515633265177409,6.5579408804575605,0.296875,5.491072177886963,0.7388278245925903,0.32421875,4.864108085632324,1.0363001426060994,0.9999977350234985
6,gaussian_noise/s5,0.3046875,3.8296432495117188,1.735577940940857,0.32142857142857145,3.662454298564366,2.6777766261781966,0.1328125,5.585907936096191,6.593979835510254,0.14285714285714285,5.5256725038800925,6.563089302607945,0.3046875,5.723567485809326,0.5906938314437866,0.32142857142857145,4.986887999943325,0.9726420981543404,0.999998927116394
7,gaussian_noise/s5,0.3125,4.361548900604248,1.79205322265625,0.3203125,3.749841123819351,2.567061200737953,0.1171875,5.452032089233398,6.521322727203369,0.1396484375,5.516467452049255,6.557868480682373,0.3125,6.557176113128662,0.6383329629898071,0.3203125,5.183174014091492,0.9308534562587738,0.9999990463256836
8,gaussian_noise/s5,0.3515625,3.8643908500671387,1.6586209535598755,0.3237847222222222,3.7625688711802163,2.4661233954959445,0.1796875,5.315949440002441,6.532417297363281,0.1440972222222222,5.494187672932942,6.555040571424696,0.3515625,5.790605068206787,0.5757796168327332,0.3237847222222222,5.250666353437635,0.8914008074336581,0.9999990463256836
9,gaussian_noise/s5,0.3359375,4.195394515991211,1.632495641708374,0.325,3.805851435661316,2.3827606201171876,0.1171875,5.353780746459961,6.495182991027832,0.14140625,5.480146980285644,6.54905481338501,0.3359375,6.2963337898254395,0.6236313581466675,0.325,5.355233097076416,0.8646238625049592,0.9999990463256836
10,gaussian_noise/s5,0.3203125,4.7116875648498535,1.5656695365905762,0.32457386363636365,3.8882001746784556,2.3084796125238594,0.109375,5.573082447052002,6.48479700088501,0.13849431818181818,5.488595659082586,6.543213194066828,0.3203125,7.1692633628845215,0.54705411195755,0.32457386363636365,5.520144939422607,0.8357538851824674,0.9999990463256836
11,gaussian_noise/s5,0.328125,4.74088716506958,1.4357762336730957,0.3248697916666667,3.959257423877716,2.2357543309529624,0.1640625,5.344901084899902,6.528127670288086,0.140625,5.476621111234029,6.541956067085266,0.328125,7.200521945953369,0.5276951789855957,0.3248697916666667,5.660176356633504,0.810082326332728,0.9999991655349731
12,gaussian_noise/s5,0.28125,5.157558441162109,1.5798137187957764,0.3215144230769231,4.051434425207285,2.185297360787025,0.09375,5.592609882354736,6.473552227020264,0.13701923076923078,5.4855433243971605,6.536694233234112,0.28125,7.9143171310424805,0.6110381484031677,0.3215144230769231,5.83357180081881,0.7947712357227619,0.9999988079071045
13,gaussian_noise/s5,0.296875,4.665282249450684,1.4992303848266602,0.3197544642857143,4.095280698367527,2.136292576789856,0.1640625,5.364098072052002,6.437324523925781,0.13895089285714285,5.476868663515363,6.529596396854946,0.296875,7.066051483154297,0.5800183415412903,0.3197544642857143,5.921606063842773,0.7794317432812282,0.9999983310699463
14,gaussian_noise/s5,0.2421875,5.891124248504639,1.0759587287902832,0.3145833333333333,4.215003601710001,2.0656036535898843,0.1640625,5.342767238616943,6.43020486831665,0.140625,5.467928568522136,6.522970294952392,0.2421875,9.11072063446045,0.4049777388572693,0.3145833333333333,6.134213701883952,0.7544681429862976,0.9999985694885254
15,gaussian_noise/s5,0.234375,6.132613658905029,1.1563472747802734,0.3095703125,4.334854230284691,2.0087751299142838,0.1171875,5.569006443023682,6.511255741119385,0.13916015625,5.474245935678482,6.52223813533783,0.234375,9.297590255737305,0.43288296461105347,0.3095703125,6.331924736499786,0.7343690693378448,0.9999983310699463
16,gaussian_noise/s5,0.2578125,5.77002477645874,1.01503324508667,0.30652573529411764,4.419276027118459,1.9503197249244242,0.2265625,4.905946731567383,6.29452657699585,0.14430147058823528,5.44081657073077,6.508843337788301,0.2578125,8.715461730957031,0.43786942958831787,0.30652573529411764,6.472132794997272,0.7169279140584609,0.9999947547912598
17,gaussian_noise/s5,0.171875,6.951447010040283,0.82137531042099,0.2990451388888889,4.559952192836338,1.8876005907853444,0.1484375,5.462327480316162,6.439275741577148,0.14453125,5.442011621263292,6.504978471332127,0.171875,10.349661827087402,0.2894067168235779,0.2990451388888889,6.687551074557835,0.6931767364343008,0.9999874830245972
18,gaussian_noise/s5,0.1640625,8.292665481567383,0.6127650141716003,0.29194078947368424,4.7564107869800765,1.8205039814898842,0.21875,5.030605316162109,6.343066215515137,0.1484375,5.420358657836914,6.496456773657548,0.1640625,11.89989948272705,0.23965904116630554,0.29194078947368424,6.961885201303582,0.6693073840517747,0.9999475479125977
19,gaussian_noise/s5,0.046875,11.735187530517578,0.17483168840408325,0.2796875,5.105349624156952,1.7382203668355942,0.203125,5.094298839569092,6.326139450073242,0.151171875,5.404055666923523,6.4879409074783325,0.046875,15.912690162658691,0.05693550407886505,0.2796875,7.409425449371338,0.6386887900531292,0.9993225336074829
20,gaussian_noise/s5,0.0,13.870828628540039,0.045634154230356216,0.2663690476190476,5.522753386270432,1.6576210233782018,0.140625,5.3067216873168945,6.4017653465271,0.15066964285714285,5.399420715513683,6.4838373093377974,0.0,17.639198303222656,0.013435596600174904,0.2663690476190476,7.896557490030925,0.6089148284601313,0.9938827753067017
21,gaussian_noise/s5,0.0,14.896141052246094,0.009325436316430569,0.25426136363636365,5.948816461996599,1.582698496693576,0.25,4.8422627449035645,6.278317451477051,0.1551846590909091,5.374095353213224,6.4744954976168545,0.0,18.36099624633789,0.0027155643329024315,0.25426136363636365,8.372213797135787,0.5813603164543483,0.940950334072113
22,gaussian_noise/s5,0.0,15.289751052856445,0.0035833297297358513,0.24320652173913043,6.354944052903549,1.514041315521235,0.203125,4.9573140144348145,6.272581100463867,0.15726902173913043,5.355974425440249,6.465716610784116,0.0,18.32567024230957,1.229171539307572e-05,0.24320652173913043,8.804972773012908,0.5560843153787415,0.8395066261291504
23,gaussian_noise/s5,0.0,15.951802253723145,0.0024681491777300835,0.23307291666666666,6.754813144604365,1.4510591002569224,0.203125,5.0801191329956055,6.234739303588867,0.1591796875,5.344480454921722,6.456092556317647,0.0,17.84220314025879,0.0003888143983203918,0.23307291666666666,9.18152403831482,0.532930336171224,0.719143271446228
