corruption,n_refreshes,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc,n
gaussian_noise/s5,1,0.29223987460136414,0.04677094891667366,0.29223987460136414,0.04677094891667366,-0.44226513847982973,-1.507296480826009,0.9860760569572449,0.013923943042755127,0.328125,0.1640625,0.328125,128
gaussian_noise/s5,2,0.47603458166122437,0.045086488127708435,0.47603458166122437,0.045086488127708435,-0.2691001614725477,-2.280167325078092,0.9996792078018188,0.00032079219818115234,0.34375,0.15625,0.34375,128
gaussian_noise/s5,3,0.5146327614784241,0.04093223810195923,0.5146327614784241,0.04093223810195923,-0.10527619846101348,-2.7171055430793114,0.9999710321426392,2.8967857360839844e-05,0.3359375,0.1015625,0.3359375,128
gaussian_noise/s5,4,0.5638684034347534,0.05069220811128616,0.5638684034347534,0.05069220811128616,0.07580033688786011,-2.823533204675621,0.9999908208847046,9.179115295410156e-06,0.3125,0.1640625,0.3125,128
gaussian_noise/s5,5,0.5809628367424011,0.04646315425634384,0.5809628367424011,0.04646315425634384,0.20126375814034153,-2.9225258273430788,0.9999963045120239,3.6954879760742188e-06,0.328125,0.1484375,0.328125,128
gaussian_noise/s5,6,0.5858166217803955,0.046373412013053894,0.5858166217803955,0.046373412013053894,0.27398087415693395,-2.9730358634639975,0.9999977350234985,2.2649765014648438e-06,0.296875,0.1328125,0.296875,128
gaussian_noise/s5,7,0.6189596652984619,0.04177279770374298,0.6189596652984619,0.04177279770374298,0.37955787438400385,-3.0529377107080307,0.999998927116394,1.0728836059570312e-06,0.3046875,0.1328125,0.3046875,128
gaussian_noise/s5,8,0.6338595747947693,0.04878038167953491,0.6338595747947693,0.04878038167953491,0.4641841890938109,-3.0116772317086475,0.9999990463256836,9.5367431640625e-07,0.3125,0.1171875,0.3125,128
gaussian_noise/s5,9,0.6246856451034546,0.04932887852191925,0.6246856451034546,0.04932887852191925,0.4868343949653361,-2.985167864881589,0.9999990463256836,9.5367431640625e-07,0.3515625,0.1796875,0.3515625,128
gaussian_noise/s5,10,0.6411780118942261,0.05216139554977417,0.6411780118942261,0.05216139554977417,0.5336575561710792,-2.9425047158699673,0.9999990463256836,9.5367431640625e-07,0.3359375,0.1171875,0.3359375,128
gaussian_noise/s5,11,0.637951135635376,0.05285938084125519,0.637951135635376,0.05285938084125519,0.5500700297603265,-2.9141585455930104,0.9999990463256836,9.5367431640625e-07,0.3203125,0.109375,0.3203125,128
gaussian_noise/s5,12,0.6404740810394287,0.04919471591711044,0.6404740810394287,0.04919471591711044,0.5637462058535472,-2.9378408104521894,0.9999991655349731,8.344650268554688e-07,0.328125,0.1640625,0.328125,128
gaussian_noise/s5,13,0.6201448440551758,0.05614615976810455,0.6201448440551758,0.05614615976810455,0.5269546322803836,-2.879926923938768,0.9999988079071045,1.1920928955078125e-06,0.28125,0.09375,0.28125,128
gaussian_noise/s5,14,0.6341757774353027,0.06401778757572174,0.6341757774353027,0.06401778757572174,0.5385639239729143,-2.7811812104004376,0.9999983310699463,1.6689300537109375e-06,0.296875,0.1640625,0.296875,128
gaussian_noise/s5,15,0.6653393507003784,0.061138443648815155,0.6653393507003784,0.061138443648815155,0.6128720525163277,-2.756354190402848,0.9999985694885254,1.430511474609375e-06,0.2421875,0.1640625,0.2421875,128
gaussian_noise/s5,16,0.5829906463623047,0.05058379843831062,0.5829906463623047,0.05058379843831062,0.47396727121478766,-2.8442850626860277,0.9999983310699463,1.6689300537109375e-06,0.234375,0.1171875,0.234375,128
gaussian_noise/s5,17,0.573609471321106,0.07835975289344788,0.573609471321106,0.07835975289344788,0.385280206058273,-2.654564791493246,0.9999947547912598,5.245208740234375e-06,0.2578125,0.2265625,0.2578125,128
gaussian_noise/s5,18,0.46031567454338074,0.05920315533876419,0.46031567454338074,0.05920315533876419,0.11310416152598464,-2.71015858731606,0.9999874830245972,1.2516975402832031e-05,0.171875,0.1484375,0.171875,128
gaussian_noise/s5,19,0.3890756070613861,0.072072833776474,0.3890756070613861,0.072072833776474,-0.16904767974299426,-2.6327173222034426,0.9999475479125977,5.245208740234375e-05,0.1640625,0.21875,0.1640625,128
gaussian_noise/s5,20,0.20403194427490234,0.07270551472902298,0.20403194427490234,0.07270551472902298,-0.765165081307642,-2.589285637638727,0.9993225336074829,0.0006774663925170898,0.046875,0.203125,0.046875,128
