corruption,t_frac,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
gaussian_noise/s5,0.0,0.29223987460136414,0.04677094891667366,0.29223987460136414,0.04677094891667366,0.328125,0.1640625,4.421759605407715,6.558229923248291
gaussian_noise/s5,0.01282051282051282,0.4760349988937378,0.045086488127708435,0.32565716992725025,0.046464683318679985,0.33096590909090906,0.16264204545454544,4.171803040937943,6.561357454820112
gaussian_noise/s5,0.02564102564102564,0.5146324038505554,0.04093223810195923,0.3600163033678512,0.04545878418836712,0.33186983471074377,0.151536673553719,3.9130289259035718,6.5648284904227765
gaussian_noise/s5,0.038461538461538464,0.5638682842254639,0.05069220811128616,0.3970802998874171,0.04641031581071604,0.3283480465815176,0.1538140965439519,3.6431614243831953,6.557017447086852
gaussian_noise/s5,0.05128205128205128,0.5809627771377563,0.04646315425634384,0.4305134775692969,0.04641992280083018,0.3283074926576053,0.15283653353596063,3.383844436611375,6.558213766216701
gaussian_noise/s5,0.0641025641025641,0.5858168005943298,0.046373412013053894,0.45875044539203014,0.04641146629396176,0.3225924939925861,0.14919580016578596,3.158759860617714,6.55636961010326
gaussian_noise/s5,0.07692307692307693,0.6189596652984619,0.04177279770374298,0.48787939446592676,0.045568072004831074,0.3193370405393886,0.14621701831746123,2.899999489911141,6.563207832904531
gaussian_noise/s5,0.08974358974358974,0.6338592767715454,0.04878038167953491,0.5144211912487665,0.04615212830932268,0.3180939422594998,0.14093892407792283,2.698554800744281,6.555592359140684
gaussian_noise/s5,0.10256410256410256,0.6246852278709412,0.04932887852191925,0.5344691979073437,0.04672971925706751,0.3241791345759543,0.14798411970011865,2.5094759411124414,6.551378711544793
gaussian_noise/s5,0.11538461538461539,0.6411771178245544,0.05216139554977417,0.5538706378922911,0.04771729676483235,0.3263170191985081,0.14238473430009707,2.350025281026257,6.541161307814436
gaussian_noise/s5,0.1282051282051282,0.6379513740539551,0.05285938084125519,0.569158044467139,0.04865222114236377,0.3252252884351429,0.13638296442735215,2.2074146254883242,6.530913252009086
gaussian_noise/s5,0.14102564102564102,0.6404726505279541,0.04919471591711044,0.5821243364781963,0.04875085655595407,0.3257525087196623,0.14141560725874266,2.067118946857834,6.530406782605267
gaussian_noise/s5,0.15384615384615385,0.6201496124267578,0.05614615976810455,0.5890380230142983,0.050095457139981425,0.31766114349790553,0.13274913321169854,1.9785158722083005,6.520069590680721
gaussian_noise/s5,0.16666666666666666,0.6341736316680908,0.06401778757572174,0.5972444973149879,0.052626789946479666,0.3138818446801045,0.13844247262775333,1.8913719725999154,6.505025033088913
gaussian_noise/s5,0.1794871794871795,0.665313720703125,0.061138443648815155,0.6096207197491945,0.05417436334690429,0.3008465092837218,0.14310065942270728,1.7431303213178773,6.491421366766683
gaussian_noise/s5,0.19230769230769232,0.5829815864562988,0.05058379843831062,0.604777240968668,0.053521533363523624,0.2887607803230451,0.13838917589130595,1.636432004257196,6.495027616648992
gaussian_noise/s5,0.20512820512820512,0.5736028552055359,0.07835975289344788,0.5991091708299167,0.058037573278055296,0.2831338202643096,0.15442068936561396,1.5234513220062205,6.458572882166602
gaussian_noise/s5,0.21794871794871795,0.46033430099487305,0.05920315533876419,0.5738773763144541,0.058249497289093274,0.2629049438526169,0.15333283675368412,1.3958106423131726,6.455064311150338
gaussian_noise/s5,0.23076923076923078,0.38909968733787537,0.072072833776474,0.5402814328641671,0.060762831195889766,0.2449335904248684,0.16522686643483245,1.2534499047598053,6.434701021034846
gaussian_noise/s5,0.24358974358974358,0.20403632521629333,0.07270551472902298,0.47914595874637184,0.06293422820191398,0.20892293762034686,0.1721174361739538,1.057341294808887,6.414962553587282
gaussian_noise/s5,0.2564102564102564,0.12192024290561676,0.06324149668216705,0.41419582859350723,0.06299009519832363,0.17093694896210196,0.1663915386877804,0.8733932848602824,6.412563061394521
gaussian_noise/s5,0.2692307692307692,0.08978421986103058,0.08106611669063568,0.35521189973305695,0.06627664456056218,0.13985750369626523,0.18159307710818395,0.7162899910723859,6.388154768682254
gaussian_noise/s5,0.28205128205128205,0.08837103843688965,0.07807155698537827,0.3066953794973901,0.06842117409234691,0.11442886666058064,0.18550797217942322,0.5867069217751536,6.367141374460729
gaussian_noise/s5,0.2948717948717949,0.08839262276887894,0.08394879102706909,0.2670039691831153,0.0712443771713873,0.0936236181768387,0.1887110681468008,0.4804815761797899,6.343068270665845
gaussian_noise/s5,0.3076923076923077,0.08837517350912094,0.055754825472831726,0.23452600633329812,0.06842809504437719,0.0766011421446862,0.18564996484738247,0.3933721008669198,6.366469244075721
gaussian_noise/s5,0.32051282051282054,0.08837898820638657,0.10843399167060852,0.20795382121931416,0.0757018944309647,0.06267366175474326,0.1945090621478584,0.32199821641160903,6.307894072678608
gaussian_noise/s5,0.3333333333333333,0.0883796215057373,0.09840406477451324,0.18621305763502746,0.07982956176615534,0.051278450526608114,0.20175741448461143,0.26355369959965774,6.27721049710858
gaussian_noise/s5,0.34615384615384615,0.08837969601154327,0.08802811801433563,0.16842517370348487,0.08132020835673358,0.041955095885406635,0.19064243003286388,0.21573474301963036,6.261512710219741
gaussian_noise/s5,0.358974358974359,0.08838342875242233,0.09292086213827133,0.15387212916692805,0.08342941813519499,0.034326896633514514,0.18438926093597952,0.1767017000169089,6.241171105530685
gaussian_noise/s5,0.3717948717948718,0.08837461471557617,0.11357330530881882,0.14196349017577314,0.08891012489403569,0.028085642700148235,0.19489803167489234,0.14514471290976058,6.19963802843757
gaussian_noise/s5,0.38461538461538464,0.08837226033210754,0.10926105827093124,0.13221963020419758,0.09261029459892578,0.02297916220921219,0.19923475318854825,0.1195295415017029,6.178303528505028
gaussian_noise/s5,0.3974358974358974,0.08837556093931198,0.09480571746826172,0.12424798124694564,0.09300946239335048,0.018801132716628154,0.19283979806335766,0.09835104112812229,6.162269350082328
gaussian_noise/s5,0.41025641025641024,0.08838367462158203,0.10047438740730286,0.11772719822415224,0.09436672148679637,0.01538274494996849,0.1947098347791108,0.08069479957721461,6.14747495775113
gaussian_noise/s5,0.4230769230769231,0.08838295191526413,0.10179532319307327,0.1123918807134453,0.09571737634248308,0.0125858822317924,0.20050122845563612,0.06617382098439534,6.135046379062447
gaussian_noise/s5,0.4358974358974359,0.08838186413049698,0.09579645842313766,0.10802642315290924,0.09573175490260208,0.010297540007830144,0.19671691419097498,0.054235237043393864,6.131949383800338
gaussian_noise/s5,0.44871794871794873,0.08838354796171188,0.08937971293926239,0.10445499129996426,0.09457683818199486,0.00842526000640648,0.19646156615625227,0.04443564579292241,6.137430070843298
gaussian_noise/s5,0.46153846153846156,0.08838368952274323,0.10398361831903458,0.10153293643137862,0.09628716184327481,0.006893394550696211,0.20193446321875186,0.03640890840303779,6.128667039496788
gaussian_noise/s5,0.47435897435897434,0.08838336914777756,0.12370958924293518,0.09914210601617843,0.10127305773412215,0.005640050086933262,0.1950486517244333,0.02983577857147398,6.087395713673198
gaussian_noise/s5,0.48717948717948717,0.08838444948196411,0.1130572259426117,0.09718616846450309,0.10341563377202934,0.004614586434763578,0.18941480595635452,0.024454473286308454,6.064934941269725
gaussian_noise/s5,0.5,0.08838466554880142,0.10308681428432465,0.09558589520710278,0.10335584841062848,0.003775570719352018,0.19048711396429005,0.020046756463663058,6.054625423500026
gaussian_noise/s5,0.5128205128205128,0.0883854329586029,0.12404029816389084,0.09427672025283007,0.10711665745667617,0.003089103315833469,0.18852354778896457,0.016440075909396824,6.022361943734573
gaussian_noise/s5,0.5256410256410257,0.08838522434234619,0.1305597424507141,0.09320553917819663,0.11137903654650125,0.003947902712954657,0.18691699364551645,0.013488360672629339,5.991545657905302
gaussian_noise/s5,0.5384615384615384,0.08838485926389694,0.14866088330745697,0.09232905192105123,0.1181575541394023,0.0032301022196901735,0.17423890389178617,0.01107056135058488,5.933768690113881
gaussian_noise/s5,0.5512820512820513,0.08838538825511932,0.17606602609157562,0.09161202216360906,0.1286863672216156,0.0026428109070192325,0.18943410318418868,0.009091673446228915,5.851956189072668
gaussian_noise/s5,0.5641025641025641,0.08838444948196411,0.1654934287071228,0.09102519076694635,0.13537856021898054,0.003582754378470281,0.19618472078706345,0.007473097046438927,5.791911846179751
gaussian_noise/s5,0.5769230769230769,0.08838511258363724,0.15016967058181763,0.09054517655179924,0.13806785301222363,0.0029313444914756846,0.18892386246214282,0.006147218814767483,5.771431472446962
gaussian_noise/s5,0.5897435897435898,0.08838467299938202,0.12727054953575134,0.090152357724087,0.1361047069255923,0.002398372765752833,0.194346796559935,0.005062222971560602,5.787463513189914
gaussian_noise/s5,0.6025641025641025,0.08838561177253723,0.16000092029571533,0.08983113118744158,0.14044947299288738,0.0019623049901614084,0.20588601536721954,0.004173098284861549,5.744819907037531
gaussian_noise/s5,0.6153846153846154,0.08838572353124619,0.16867902874946594,0.08956832979540605,0.14558211949408345,0.0016055222646775159,0.20964537620954324,0.003444743404255215,5.698100654391902
