global_idx,corruption,model_acc,model_nll,model_ent,model_acc_run,model_nll_run,model_ent_run
0,brightness/s5,0.765625,1.5105189085006714,3.6784634590148926,0.765625,1.5105189085006714,3.6784634590148926
1,brightness/s5,0.703125,1.510094404220581,3.5852770805358887,0.734375,1.5103066563606262,3.6318702697753906
2,brightness/s5,0.6875,1.6905096769332886,3.6068592071533203,0.71875,1.570374329884847,3.623533248901367
3,brightness/s5,0.671875,1.6808122396469116,3.955960512161255,0.70703125,1.5979838073253632,3.706640064716339
4,brightness/s5,0.71875,1.2718502283096313,3.420741319656372,0.709375,1.5327570915222168,3.6494603157043457
5,brightness/s5,0.8125,1.2291737794876099,3.6795878410339355,0.7265625,1.4821598728497822,3.654481569925944
6,brightness/s5,0.6875,1.7662135362625122,3.8887574672698975,0.7209821428571429,1.5227389676230294,3.6879495552607944
7,brightness/s5,0.59375,1.7177222967147827,3.8269782066345215,0.705078125,1.5471118837594986,3.7053281366825104
8,brightness/s5,0.75,1.3905960321426392,3.4037985801696777,0.7100694444444444,1.5297212335798476,3.671824852625529
9,brightness/s5,0.671875,1.8742514848709106,4.191860198974609,0.70625,1.5641742587089538,3.723828387260437
10,brightness/s5,0.734375,1.6256988048553467,3.7187209129333496,0.7088068181818182,1.5697673992677168,3.72336407141252
11,brightness/s5,0.6875,1.4572949409484863,3.635927200317383,0.70703125,1.560394694407781,3.716077665487925
12,brightness/s5,0.6875,1.5929814577102661,3.923142910003662,0.7055288461538461,1.5629013685079722,3.732005761219905
13,brightness/s5,0.546875,1.9796324968338013,3.2345964908599854,0.6941964285714286,1.5926678776741028,3.696476527622768
14,brightness/s5,0.734375,1.6932544708251953,3.8192648887634277,0.696875,1.5993736505508422,3.7046624183654786
15,brightness/s5,0.9375,0.8356661796569824,2.988013982772827,0.7119140625,1.551641933619976,3.659871891140938
16,brightness/s5,0.75,1.6298860311508179,3.4349842071533203,0.7141544117647058,1.5562445275923784,3.6466432038475487
17,brightness/s5,0.765625,1.3551682233810425,3.4643139839172363,0.7170138888888888,1.5450736218028598,3.6365138027403088
18,brightness/s5,0.6875,1.7409420013427734,4.411951541900635,0.7154605263157895,1.5553824838839079,3.6773263153276945
