corruption,n_samples,r,r_ema,model_acc_ema,model_ent_ema
elastic_transform/s5,128.0,0.18300923705101013,0.18300923705101013,0.5696022727272727,5.544855377890847
elastic_transform/s5,256.0,0.1691940277814865,0.18049738082018765,0.5230911908339594,5.599979007270979
elastic_transform/s5,384.0,0.19455885887145996,0.18305401319314624,0.5126168302276918,5.593540416983785
elastic_transform/s5,512.0,0.17041248083114624,0.1807555527636917,0.4774542417226696,5.632946314997825
elastic_transform/s5,640.0,0.18360885977745056,0.1812743358571024,0.456240029582944,5.634767166096774
elastic_transform/s5,768.0,0.18603315949440002,0.1821395765184292,0.4495284495555245,5.620872063223187
elastic_transform/s5,896.0,0.1772322654724121,0.1812473381464261,0.4589818546611362,5.6244720593749715
elastic_transform/s5,1024.0,0.18898090720176697,0.18265344161103353,0.4758990101450581,5.6044421593581335
elastic_transform/s5,1152.0,0.1927618831396103,0.18449134007077475,0.45984768447727026,5.596476301689622
elastic_transform/s5,1280.0,0.19738739728927612,0.1868360777468659,0.4609827474599908,5.577820135511919
elastic_transform/s5,1408.0,0.20175033807754517,0.18954776144335303,0.4746558061509029,5.562732920682751
elastic_transform/s5,1536.0,0.23973330855369568,0.19867240637250622,0.48019314296052173,5.453550142004979
elastic_transform/s5,1664.0,0.2270810604095459,0.20383761619742252,0.45290821966778727,5.406637154649656
elastic_transform/s5,1792.0,0.2137448638677597,0.20563893395566563,0.4584034363065352,5.394309287008074
elastic_transform/s5,1920.0,0.2282344251871109,0.20974720508865566,0.46931345736222596,5.351019202379242
elastic_transform/s5,2048.0,0.2677609920501709,0.2202951663543857,0.4766168598871099,5.249231899698708
elastic_transform/s5,2176.0,0.221533864736557,0.2205203842420532,0.46368566653599913,5.284280916207182
elastic_transform/s5,2304.0,0.20294904708862305,0.21732559566870224,0.4583866858629415,5.353378058074303
elastic_transform/s5,2432.0,0.23692390322685242,0.22088892431563864,0.45587249218924175,5.313321900174549
elastic_transform/s5,2560.0,0.2410307377576828,0.22455107221419213,0.482081998903542,5.307528045028431
elastic_transform/s5,2688.0,0.2592676281929016,0.23086317330123018,0.5040177017453462,5.242651511537869
elastic_transform/s5,2816.0,0.21702998876571655,0.2283480488402277,0.48693540364771104,5.285004305724064
elastic_transform/s5,2944.0,0.2518600523471832,0.23262295856876505,0.4881551049211949,5.233033666257559
elastic_transform/s5,3072.0,0.18544761836528778,0.22404562398631464,0.4807071363522048,5.36003953981009
elastic_transform/s5,3200.0,0.23867008090019226,0.2267046161524742,0.4697812235085007,5.328119037251183
elastic_transform/s5,3328.0,0.24891626834869385,0.23074309836996867,0.4655663562329633,5.293813173877151
elastic_transform/s5,3456.0,0.21031099557876587,0.22702817058974994,0.45835433764355393,5.320815794539048
elastic_transform/s5,3584.0,0.19464699923992157,0.22114068488978111,0.46153265577791625,5.3571648885280885
elastic_transform/s5,3712.0,0.20996275544166565,0.21910833408103284,0.44945574477695216,5.366308787183615
elastic_transform/s5,3840.0,0.2524970769882202,0.22517901460961234,0.4762369035283729,5.273722623629747
elastic_transform/s5,3968.0,0.24867895245552063,0.22945173058159565,0.47505321641155535,5.215182374350571
elastic_transform/s5,4096.0,0.2452528327703476,0.2323246582522778,0.4799426490027766,5.203846891598102
elastic_transform/s5,4224.0,0.28119683265686035,0.24121050814402006,0.49871160801012315,5.102794667823682
elastic_transform/s5,4352.0,0.2621130347251892,0.24501096752241444,0.4929391756100823,5.0868031348097515
elastic_transform/s5,4480.0,0.27530980110168457,0.250519846355009,0.4846844894579889,5.045950427684215
elastic_transform/s5,4608.0,0.267317533493042,0.25357397128919684,0.48690655905865365,5.02203231818153
elastic_transform/s5,4736.0,0.2634895443916321,0.25537680276236685,0.4925262916012475,5.039284756287116
elastic_transform/s5,4864.0,0.32134509086608887,0.26737103696304354,0.5024866084272814,4.917609792199332
elastic_transform/s5,4992.0,0.2871134281158447,0.2709605626271892,0.5176769858066924,4.896481821696082
elastic_transform/s5,5120.0,0.28835412859916687,0.27412302916754877,0.4924635194243147,4.890176317010123
elastic_transform/s5,5248.0,0.2588186264038086,0.2713404104832324,0.4714528518460288,4.938198446357362
elastic_transform/s5,5376.0,0.31538790464401245,0.2793490457851924,0.4930283553680027,4.850468574879361
elastic_transform/s5,5504.0,0.2836220860481262,0.2801259621966349,0.48706856846948937,4.872733579952372
elastic_transform/s5,5632.0,0.27774083614349365,0.2796923029142455,0.4926347441820548,4.876951315327346
elastic_transform/s5,5760.0,0.3583216965198517,0.293988556297083,0.5010096221384003,4.691961992248626
elastic_transform/s5,5888.0,0.2976612150669098,0.2946563124370515,0.4921531354810778,4.710598384263785
elastic_transform/s5,6016.0,0.3052026033401489,0.29657381987397824,0.49009837995014294,4.687832669357428
elastic_transform/s5,6144.0,0.31417256593704224,0.2997735918854444,0.5230720559996824,4.671828964780657
elastic_transform/s5,6272.0,0.2624255418777466,0.2929830373385902,0.5113126986444154,4.757586770920565
elastic_transform/s5,6400.0,0.26121264696121216,0.2872066027245215,0.4923353602495673,4.834746918625389
elastic_transform/s5,6528.0,0.28058287501335144,0.2860022885952178,0.4752410262827682,4.8404587783538195
elastic_transform/s5,6656.0,0.3345361351966858,0.29482662434093926,0.47361176139590266,4.69342570834248
elastic_transform/s5,6784.0,0.3128071427345276,0.29809580950340986,0.47691159233940583,4.6648416282687295
elastic_transform/s5,6912.0,0.32488441467285156,0.3029664649887629,0.4817032147065443,4.614456287033178
elastic_transform/s5,7040.0,0.3254246711730957,0.3070497752040961,0.48542735860520725,4.566725647084577
elastic_transform/s5,7168.0,0.26172688603401184,0.29880924990044444,0.47010013262001477,4.690861456701625
elastic_transform/s5,7296.0,0.3431476354598999,0.30687077454761813,0.5029699234894314,4.606489584809385
elastic_transform/s5,7424.0,0.35845252871513367,0.31624927530534824,0.514901353740859,4.468699961680955
elastic_transform/s5,7552.0,0.34211480617523193,0.32095209909987255,0.5048099971323106,4.433371796194857
elastic_transform/s5,7680.0,0.329534113407135,0.3225124653375566,0.5210401633695632,4.468454356468707
elastic_transform/s5,7808.0,0.3115828037261963,0.3205252541354911,0.4898078779581373,4.5136487000707435
elastic_transform/s5,7936.0,0.34737688302993774,0.3254073684799359,0.5040242819389184,4.437382655855886
elastic_transform/s5,8064.0,0.40045681595802307,0.33905272256686086,0.498819973859937,4.259908044952882
elastic_transform/s5,8192.0,0.36659252643585205,0.34405995963395014,0.5157389907657429,4.2278973160870255
elastic_transform/s5,8320.0,0.377910852432251,0.35021466741545937,0.5138934566283072,4.185751088553616
elastic_transform/s5,8448.0,0.38827821612358093,0.35713531263511783,0.49225512385861886,4.14017396964654
elastic_transform/s5,8576.0,0.32213133573532104,0.3507709531987911,0.4865509506822159,4.221957954628079
elastic_transform/s5,8704.0,0.3038903474807739,0.3422472067046061,0.4752427851674337,4.353259287769534
elastic_transform/s5,8832.0,0.39089953899383545,0.35109308530264777,0.4746459966823316,4.255938309957254
elastic_transform/s5,8960.0,0.36915498971939087,0.3543770679238738,0.4757960804237096,4.234060676144692
elastic_transform/s5,9088.0,0.3819563388824463,0.35939148082543243,0.4814729959861196,4.165903903326529
elastic_transform/s5,9216.0,0.38808101415634155,0.3646077596128704,0.47778357582541886,4.08270628557202
elastic_transform/s5,9344.0,0.3887186646461487,0.36899156052801185,0.4732476829905696,4.048818493000513
elastic_transform/s5,9472.0,0.4518764615058899,0.38406154252398966,0.4875149778697201,3.8580594331523557
elastic_transform/s5,9600.0,0.39777636528015137,0.38655514666147356,0.5001649851855151,3.8688897044784785
elastic_transform/s5,9728.0,0.42202168703079224,0.3930036085468042,0.5026930892564192,3.827979357000786
elastic_transform/s5,9856.0,0.3675304651260376,0.3883721279248466,0.5074846299980987,3.9062161395330106
elastic_transform/s5,9984.0,0.4074363112449646,0.39183834307395893,0.49183888454418173,3.885302650616261
