corruption,n_samples,r,r_ema,model_acc_ema,model_ent_ema
impulse_noise/s5,128.0,0.041687965393066406,0.041687965393066406,0.23295454545454544,6.610520362854004
impulse_noise/s5,256.0,0.04414912685751915,0.042135449295694176,0.1877113072877535,6.597524099113528
impulse_noise/s5,384.0,0.03988320380449295,0.04172595011547577,0.176277817275273,6.597958240114301
impulse_noise/s5,512.0,0.043976038694381714,0.0421350571298223,0.1810206875974968,6.594843426432282
impulse_noise/s5,640.0,0.04422985017299652,0.04251592859221761,0.16534236111898545,6.584158328331302
impulse_noise/s5,768.0,0.03627803921699524,0.04138176688763172,0.1778324896746927,6.596327180045531
impulse_noise/s5,896.0,0.04494655877351761,0.042029910866883693,0.16088373275743892,6.584039695208661
impulse_noise/s5,1024.0,0.04081738740205765,0.04180945205509714,0.16270935829216984,6.584550578557893
impulse_noise/s5,1152.0,0.04263215512037277,0.041959034430601796,0.16083229769971696,6.585810474556659
impulse_noise/s5,1280.0,0.05429297685623169,0.04420156941707996,0.17713773647667,6.56046103751495
impulse_noise/s5,1408.0,0.05317432060837746,0.045832978724588594,0.18469550954223363,6.546525777255093
impulse_noise/s5,1536.0,0.05143586918711662,0.04685168608141187,0.1832982336605035,6.543889628057983
impulse_noise/s5,1664.0,0.04519402235746384,0.04655029267705768,0.17022443740909737,6.551575900787737
impulse_noise/s5,1792.0,0.0469803586602211,0.0466284864921783,0.1741275159515445,6.552112188349452
impulse_noise/s5,1920.0,0.05609697848558426,0.048350030490979384,0.19094486605020747,6.533006934417124
impulse_noise/s5,2048.0,0.05230943113565445,0.04906992151728394,0.18179986900881653,6.526589564018667
impulse_noise/s5,2176.0,0.05392318218946457,0.04995233254858951,0.18084330074143914,6.517729163943167
impulse_noise/s5,2304.0,0.04692923277616501,0.04940267804451233,0.1928579120665832,6.527976220821983
impulse_noise/s5,2432.0,0.05396609008312225,0.05023238932425958,0.18747099898672098,6.515855723701785
impulse_noise/s5,2560.0,0.05784912779927254,0.05161725086517102,0.1823152968423504,6.506483727748667
impulse_noise/s5,2688.0,0.05306566506624222,0.05188059890172941,0.17085776069611885,6.504349386876717
impulse_noise/s5,2816.0,0.04982608184218407,0.05150705034544844,0.14769197203624485,6.508230009774017
impulse_noise/s5,2944.0,0.05534413456916809,0.05220470202248837,0.15956032838789944,6.5045219850858
impulse_noise/s5,3072.0,0.05561871826648712,0.05282543224866996,0.16543914544975083,6.495035063118576
impulse_noise/s5,3200.0,0.05418722331523895,0.053073030624409774,0.163434469268015,6.493144238636824
impulse_noise/s5,3328.0,0.049070172011852264,0.052345238149399315,0.1592515868653654,6.504035431625434
impulse_noise/s5,3456.0,0.04669401794672012,0.05131774356709401,0.16006717798425285,6.5112086287957
impulse_noise/s5,3584.0,0.046811021864414215,0.05049833962115223,0.15183216046879736,6.5261837670112985
impulse_noise/s5,3712.0,0.049891501665115356,0.05038800544732734,0.158457892545228,6.52095980087697
impulse_noise/s5,3840.0,0.06053950637578964,0.05223373288886594,0.16005239087738402,6.491265048486645
impulse_noise/s5,3968.0,0.05588383972644806,0.05289738867751723,0.170159038521224,6.483467589906712
impulse_noise/s5,4096.0,0.05796242877840996,0.05381830505949772,0.17020976958858794,6.4757345801414585
impulse_noise/s5,4224.0,0.06370037794113159,0.05561504558343115,0.1878057135262448,6.45590525155516
impulse_noise/s5,4352.0,0.05306786298751831,0.05515192147508336,0.1654939074018663,6.471886601010086
impulse_noise/s5,4480.0,0.059363290667533875,0.05591762496461982,0.16243807024422455,6.4638515119930995
impulse_noise/s5,4608.0,0.0515141636133194,0.05511699562801974,0.14308870818001806,6.475128422935846
impulse_noise/s5,4736.0,0.06788723170757294,0.057438856733393044,0.15441268894695423,6.449101433540206
impulse_noise/s5,4864.0,0.06870178878307343,0.05948666256060765,0.18549527111325032,6.421162524631944
impulse_noise/s5,4992.0,0.05990247428417206,0.059562264692164815,0.18564146248077085,6.421585478268029
impulse_noise/s5,5120.0,0.07363839447498322,0.06212156101631361,0.18883849967721023,6.3974757673034235
impulse_noise/s5,5248.0,0.06559105962514877,0.06275237894519273,0.18607164027978534,6.391898821714513
impulse_noise/s5,5376.0,0.07173528522253036,0.06438563463198138,0.1888682054765505,6.380433717909941
impulse_noise/s5,5504.0,0.0626753717660904,0.06407467774727393,0.1884159061454594,6.392040693751893
impulse_noise/s5,5632.0,0.06210785359144211,0.06371707335530451,0.17029287932051412,6.405375547344573
impulse_noise/s5,5760.0,0.06471987813711166,0.06389940149745126,0.18734482004100533,6.404895456680762
impulse_noise/s5,5888.0,0.0754072442650795,0.06599173654611093,0.1690593423414994,6.376043637560564
impulse_noise/s5,6016.0,0.058581747114658356,0.06464446574039227,0.1671492291707558,6.393269538857287
impulse_noise/s5,6144.0,0.06614398956298828,0.06491710643540972,0.1772341947341423,6.393206391437958
impulse_noise/s5,6272.0,0.07568325102329254,0.06687458726957024,0.18785925432616135,6.368987427024086
impulse_noise/s5,6400.0,0.059118982404470444,0.06546447729409755,0.18489958347453775,6.395607973387346
impulse_noise/s5,6528.0,0.07978275418281555,0.06806780036477354,0.1824017872846079,6.354948557156266
impulse_noise/s5,6656.0,0.08574000000953674,0.07128092757291231,0.17659747743845652,6.307910151519175
impulse_noise/s5,6784.0,0.07092069089412689,0.07121542999495133,0.145594179111694,6.312419535094561
impulse_noise/s5,6912.0,0.06569837033748627,0.07021232823904858,0.15841428519047282,6.336462058240215
impulse_noise/s5,7040.0,0.07358836382627487,0.07082615289127153,0.1651884884332917,6.327994040604935
impulse_noise/s5,7168.0,0.07159575819969177,0.07096608112916612,0.16326667407517872,6.329535397685895
impulse_noise/s5,7296.0,0.08298543095588684,0.07315141746129716,0.18677355867842543,6.311725069804819
impulse_noise/s5,7424.0,0.09144503623247147,0.07647752996514703,0.18753023349547485,6.269441932256148
impulse_noise/s5,7552.0,0.07898810505867004,0.0769339981639694,0.16453470176143356,6.268955347582534
impulse_noise/s5,7680.0,0.060756929218769073,0.07399271290120571,0.18064926316261254,6.312217262569797
impulse_noise/s5,7808.0,0.07594460248947144,0.07434760191725402,0.1898871100510051,6.309061371934333
impulse_noise/s5,7936.0,0.09881256520748138,0.07879577706093172,0.19116409846389593,6.247686483116233
impulse_noise/s5,8064.0,0.08784850686788559,0.08044172793492332,0.1912441485584758,6.2318955984141375
impulse_noise/s5,8192.0,0.10547158122062683,0.08499261035050577,0.19155600027468211,6.17143212372976
impulse_noise/s5,8320.0,0.08272489160299301,0.084580297850958,0.1752358348946219,6.2018447470573275
impulse_noise/s5,8448.0,0.0923861637711525,0.08599954620008426,0.17774051757408574,6.185195593059327
impulse_noise/s5,8576.0,0.09835948050022125,0.08824680698192734,0.18380770184711523,6.161482038491697
impulse_noise/s5,8704.0,0.08615700155496597,0.08786684235884344,0.16901589958360605,6.1740340823139706
impulse_noise/s5,8832.0,0.09094539284706116,0.08842657881124666,0.17796725509315772,6.180221895845372
impulse_noise/s5,8960.0,0.08888132870197296,0.08850926060956052,0.1945483277896345,6.179763744506319
impulse_noise/s5,9088.0,0.10013335198163986,0.09062273176812038,0.1787885500079371,6.146593194763846
impulse_noise/s5,9216.0,0.12218695878982544,0.09636168213570312,0.18218489711275127,6.072768263140656
impulse_noise/s5,9344.0,0.09020347148180008,0.09524200747135711,0.1684460881498583,6.110622227862406
impulse_noise/s5,9472.0,0.10021136701107025,0.09614552738766859,0.16260647223254973,6.107477179199778
impulse_noise/s5,9600.0,0.09468667209148407,0.09588028097018049,0.16567044835402087,6.109990925774562
impulse_noise/s5,9728.0,0.11986200511455536,0.10024059445097593,0.17133724228657593,6.06079706431447
impulse_noise/s5,9856.0,0.11634735763072968,0.10316909684729478,0.17358112913398882,6.026932399082651
impulse_noise/s5,9984.0,0.12961871922016144,0.10797811909690688,0.18851298727151314,5.987535752945416
impulse_noise/s5,10112.0,0.10018281638622284,0.10656079133132797,0.18585373528093024,6.02636295873563
impulse_noise/s5,10240.0,0.09646937251091003,0.1047259879094338,0.16341241783268884,6.044817048312044
impulse_noise/s5,10368.0,0.10884515196084976,0.10547492682787306,0.161044676400395,6.04418500459938
impulse_noise/s5,10496.0,0.11299528926610947,0.10684226545300694,0.18528610568952064,6.03165443015301
impulse_noise/s5,10624.0,0.1064312607049942,0.10676753731700463,0.18550144265166257,6.022960127963876
impulse_noise/s5,10752.0,0.12958672642707825,0.11091648079156347,0.1980422880560716,5.968757925509049
impulse_noise/s5,10880.0,0.1308053731918335,0.11453264304615801,0.19662334985571733,5.931323588587112
impulse_noise/s5,11008.0,0.10823909938335419,0.11338836238019367,0.1941238953579595,5.960731621587232
impulse_noise/s5,11136.0,0.10258251428604126,0.1114236627267114,0.1991655828429315,5.99201198284554
