corruption,n_samples,r,r_ema,model_acc_ema,model_ent_ema
shot_noise/s5,128.0,0.041524093598127365,0.041524093598127365,0.1690340909090909,6.580911116166548
shot_noise/s5,256.0,0.03958746790885925,0.04117197983644225,0.15215298647633357,6.585152317221946
shot_noise/s5,384.0,0.04445679858326912,0.04176921960859259,0.17081109012052081,6.573987888074896
shot_noise/s5,512.0,0.04777636379003525,0.042861427641582156,0.1745202338823321,6.558643694332279
shot_noise/s5,640.0,0.04078754782676697,0.04248435858434303,0.17080486730966032,6.568609151010128
shot_noise/s5,768.0,0.04811963066458702,0.04350895350802375,0.17735697728993788,6.551425552679465
shot_noise/s5,896.0,0.0422397181391716,0.04327818344095972,0.15927409223541292,6.5576211411219205
shot_noise/s5,1024.0,0.05561644211411476,0.04552150319971518,0.1582743923228797,6.526137444988894
shot_noise/s5,1152.0,0.05248521268367767,0.04678763219679927,0.17310103948886985,6.514702654269909
shot_noise/s5,1280.0,0.05645123869180679,0.048544651559527904,0.18018540659998722,6.497515835113381
shot_noise/s5,1408.0,0.051654476672410965,0.04911007430732482,0.17872948706280134,6.505159546008051
shot_noise/s5,1536.0,0.047940585762262344,0.04889744002640437,0.16458337563708186,6.508311793944539
shot_noise/s5,1664.0,0.04892496392130852,0.0489024443709324,0.1672520944347407,6.5058420855894346
shot_noise/s5,1792.0,0.05432528257369995,0.04988841495325377,0.16800553429102474,6.492419546536069
shot_noise/s5,1920.0,0.055013507604599,0.05082024998077108,0.16618552295514877,6.489390734150129
shot_noise/s5,2048.0,0.057532791048288345,0.05204071199304694,0.18356220958154584,6.480252696696421
shot_noise/s5,2176.0,0.07289847731590271,0.0558330329608389,0.21120693368681992,6.4397992582319805
shot_noise/s5,2304.0,0.04835502430796623,0.05447339502395296,0.2080186911457224,6.465823975137351
shot_noise/s5,2432.0,0.06123097240924835,0.055702045457643026,0.18496499159341748,6.4455387736930785
shot_noise/s5,2560.0,0.053511425852775574,0.05530375098403076,0.1777968125542712,6.45496952812166
shot_noise/s5,2688.0,0.058241166174411774,0.05583782647319094,0.17299827947847907,6.448237130358164
shot_noise/s5,2816.0,0.05495351552963257,0.05567704266527123,0.15661455072526284,6.458173700390947
shot_noise/s5,2944.0,0.051393698900938034,0.05489825288993792,0.17250643478302716,6.47563126170696
shot_noise/s5,3072.0,0.05774376541376114,0.055415618803360316,0.18676050592913385,6.469108988201729
shot_noise/s5,3200.0,0.05960600823163986,0.056177507790320234,0.1973355452914036,6.456102383348937
shot_noise/s5,3328.0,0.06010586395859718,0.05689175436637059,0.1889188361041627,6.4443304127348116
shot_noise/s5,3456.0,0.05633484199643135,0.05679049757183618,0.18096012995402624,6.444454955707654
shot_noise/s5,3584.0,0.049956150352954865,0.055547888986585026,0.15910347542376962,6.4595161214980195
shot_noise/s5,3712.0,0.055909231305122375,0.05561358758995545,0.14937918602748212,6.455581213469452
shot_noise/s5,3840.0,0.06467180699110031,0.05726053657198178,0.17231168651426484,6.431510890977169
shot_noise/s5,3968.0,0.06463708728551865,0.05860172761080666,0.1827561703112021,6.41443321988917
shot_noise/s5,4096.0,0.061707787215709686,0.05916646572078903,0.17967561814220964,6.412437154961097
shot_noise/s5,4224.0,0.05973493307828903,0.05926982342215266,0.1817456617315618,6.422633650899835
shot_noise/s5,4352.0,0.05510731786489487,0.05851300422992396,0.1666024677707149,6.434645627181009
shot_noise/s5,4480.0,0.06283829361200333,0.05929942048121112,0.18254999908618103,6.430086859604726
shot_noise/s5,4608.0,0.06259022653102875,0.059897748853905225,0.17488884236347654,6.409677887519707
shot_noise/s5,4736.0,0.06317147612571716,0.060492971994234666,0.16356195232596363,6.407386909416238
shot_noise/s5,4864.0,0.06962206959724426,0.06215280792205459,0.1789650259372153,6.38926210490275
shot_noise/s5,4992.0,0.06271030753850937,0.06225417148868273,0.18411088513152427,6.388561169756352
shot_noise/s5,5120.0,0.06629610061645508,0.06298906769373225,0.19220439417895424,6.387402371242723
shot_noise/s5,5248.0,0.07059571146965027,0.06437209383480824,0.20511203246690324,6.364985955727671
shot_noise/s5,5376.0,0.07186955213546753,0.06573526807129175,0.1925749969406542,6.362342303209548
shot_noise/s5,5504.0,0.07541319727897644,0.06749489156359806,0.19322169216688417,6.35205710921288
shot_noise/s5,5632.0,0.06357936561107635,0.06678297775404865,0.18668146335138525,6.363421987607266
shot_noise/s5,5760.0,0.08216866850852966,0.0695803760730452,0.20425577298729095,6.324798469703133
shot_noise/s5,5888.0,0.06850284337997437,0.06938446103794141,0.1765059306774427,6.3347389307381645
shot_noise/s5,6016.0,0.06813278049230576,0.06915688275691674,0.1803985982220897,6.335311605375099
shot_noise/s5,6144.0,0.07559951394796371,0.070328270246198,0.1959176566610683,6.3249744214723265
shot_noise/s5,6272.0,0.07518300414085388,0.07121094913613543,0.1946845470210457,6.310231513792235
shot_noise/s5,6400.0,0.07198644429445267,0.07135194825582947,0.19928263065045207,6.317680886200067
shot_noise/s5,6528.0,0.07120300084352493,0.07132486690813773,0.19719539737757533,6.320880257686723
shot_noise/s5,6656.0,0.0788913145661354,0.0727005846641373,0.1947651007238314,6.291555517400104
shot_noise/s5,6784.0,0.06984211504459381,0.07218086291512939,0.19572085255066396,6.293777501880864
shot_noise/s5,6912.0,0.08798256516456604,0.07505389968775422,0.19816850460003121,6.266342865043754
shot_noise/s5,7040.0,0.07593456655740738,0.07521402093678206,0.20161486671572337,6.2671546275599574
shot_noise/s5,7168.0,0.07303749769926071,0.0748182894390509,0.19643226614854206,6.27877197888755
shot_noise/s5,7296.0,0.08247498422861099,0.07621041576442546,0.20200217816555294,6.267979977578197
shot_noise/s5,7424.0,0.08248791098594666,0.07735177853197475,0.20392294571413044,6.2553696451935235
shot_noise/s5,7552.0,0.07051750272512436,0.07610918293072921,0.1922955256433435,6.2692707232589875
shot_noise/s5,7680.0,0.07412848621606827,0.07574905625533632,0.20620609567860182,6.2734362015123075
shot_noise/s5,7808.0,0.07911264896392822,0.07636061856598939,0.1902082128096425,6.269599612790845
shot_noise/s5,7936.0,0.09171803295612335,0.07915287572783192,0.1978356631205045,6.237674574183027
shot_noise/s5,8064.0,0.08794496953487396,0.08075143823820319,0.196743295146784,6.214928510352063
shot_noise/s5,8192.0,0.09478025138378143,0.08330213153739922,0.1918798091478471,6.176233804650305
shot_noise/s5,8320.0,0.08724169433116913,0.08401841568172101,0.18759102926426124,6.186174846472186
shot_noise/s5,8448.0,0.08880886435508728,0.08488940634960578,0.20073242454880297,6.172932739423072
shot_noise/s5,8576.0,0.09504976123571396,0.08673674360162544,0.21288699494589286,6.160835863019109
shot_noise/s5,8704.0,0.1024325042963028,0.08959051827338496,0.21301732719518446,6.1346757644305825
shot_noise/s5,8832.0,0.09744174778461456,0.09101801454815397,0.21310457440338793,6.113893514613068
shot_noise/s5,8960.0,0.09201087057590485,0.09119853382592685,0.21161339278243319,6.121251606620377
shot_noise/s5,9088.0,0.08485224843025208,0.09004466375398598,0.2020924364907197,6.1396814495886565
shot_noise/s5,9216.0,0.09429606795310974,0.09081764633564485,0.21870444095659747,6.133912865744298
shot_noise/s5,9344.0,0.09900441765785217,0.09230615021240982,0.2192360307230115,6.1176022158060475
shot_noise/s5,9472.0,0.09014417231082916,0.09191306332121332,0.22630676436829694,6.127163971706455
shot_noise/s5,9600.0,0.0790056511759758,0.08956626111298831,0.20598841251100866,6.1583595921578
shot_noise/s5,9728.0,0.10508912801742554,0.09238860055015871,0.20736621002803055,6.1115015241467106
shot_noise/s5,9856.0,0.09648288786411285,0.0931330164254231,0.18917696704355763,6.101203860108528
shot_noise/s5,9984.0,0.12710924446582794,0.09931051243276943,0.2100585481861832,6.040302915369695
shot_noise/s5,10112.0,0.14127421379089355,0.10694027631606472,0.204409028124635,5.95784935480482
shot_noise/s5,10240.0,0.12707644701004028,0.1106013982604239,0.20269323370326803,5.925986033433088
shot_noise/s5,10368.0,0.10834648460149765,0.11019141395880094,0.19999505727243558,5.949114895737417
shot_noise/s5,10496.0,0.11672116816043854,0.11137864199546232,0.2268561953641924,5.964530292021801
shot_noise/s5,10624.0,0.10327095538377762,0.10990451715697419,0.2035153043347073,5.985766840804322
shot_noise/s5,10752.0,0.113298200070858,0.11052155041404398,0.20777677397612637,5.992515189745578
shot_noise/s5,10880.0,0.1311437040567398,0.11427103289453411,0.20830511315757216,5.928494636408084
shot_noise/s5,11008.0,0.1076173484325409,0.11306127208326261,0.19109681128730036,5.947973823083654
