corruption,n_samples,r,r_ema,model_acc_ema,frozen_acc_ema,model_ent_ema,frozen_ent_ema
brightness/s5,128.0,0.4501270353794098,0.4501270353794098,0.752840909090909,0.752840909090909,3.7981792579997666,3.800995068116621
brightness/s5,256.0,0.453977108001709,0.4508270485834642,0.7402798647633357,0.7402798647633357,3.772348267614707,3.7873081141714757
brightness/s5,384.0,0.439501017332077,0.448767770174121,0.7295468516184314,0.7295468516184314,3.791851586917617,3.8243571655270516
brightness/s5,512.0,0.4738575220108032,0.4533295432353359,0.7386326031495284,0.7386326031495284,3.7029378878215273,3.7604422393922974
brightness/s5,640.0,0.45591676235198975,0.45379994671109114,0.7320598417777833,0.7343842219430727,3.735878981373432,3.8179708276752944
brightness/s5,768.0,0.4742710590362549,0.4575219671338482,0.7328251833388466,0.7338646444412305,3.668552557421777,3.7813553760200405
brightness/s5,896.0,0.3918360471725464,0.44557907259542967,0.7160338004169137,0.7190540181796666,3.8277008078909223,3.962452896969478
brightness/s5,1024.0,0.46291303634643555,0.4487307023683398,0.7220970068906613,0.7241188055582892,3.7653306802571316,3.9324264110242515
brightness/s5,1152.0,0.5317765474319458,0.46382994692535906,0.7194409715549055,0.7207944070266235,3.6021799375509262,3.80335649352948
brightness/s5,1280.0,0.4496907889842987,0.4612591909360753,0.7135307330243582,0.7115958427203016,3.668893647359339,3.9037164926394357
brightness/s5,1408.0,0.4768770635128021,0.4640988041318438,0.7193883419419257,0.7180930847962349,3.647585154281575,3.911481482323394
brightness/s5,1536.0,0.5324305891990662,0.47652276505315694,0.7096215346883964,0.7087544617230993,3.4992887150915197,3.7972435175013546
brightness/s5,1664.0,0.4903056025505066,0.4790287355072205,0.7258106967748768,0.7148996809881905,3.4786590052910498,3.8267675463401187
brightness/s5,1792.0,0.48222634196281433,0.47961011849914664,0.7144373259402068,0.6973192079342432,3.4707063836948726,3.8377190199005664
brightness/s5,1920.0,0.4680679440498352,0.47751154132654455,0.713022094224436,0.703887238369204,3.4957295392259327,3.879066560129778
brightness/s5,2048.0,0.5388433933258057,0.488662787144592,0.712591236629581,0.7007943496521116,3.350383513294512,3.7518696894190606
brightness/s5,2176.0,0.49594825506210327,0.48998741767504855,0.6999061170826121,0.6873602671224879,3.3532921985731896,3.790114051469178
brightness/s5,2304.0,0.44931450486183167,0.48259234261809997,0.7131086403610873,0.7000614184869547,3.4998695070353225,3.9404312572187696
brightness/s5,2432.0,0.5563334226608276,0.4959998117167777,0.7049012385888269,0.6933262388218455,3.3030009240153184,3.7918220143556494
brightness/s5,2560.0,0.499311625957489,0.4966019597605434,0.7001818208735122,0.6924332673104916,3.357004467112353,3.878552384829908
brightness/s5,2688.0,0.5854204893112183,0.5127507833152115,0.6918572519897064,0.694159873158263,3.1406638019707653,3.7032869479558315
brightness/s5,2816.0,0.4891592860221863,0.5084614201710251,0.6904168381088116,0.6891173531059446,3.2112725835755955,3.8025187026876526
brightness/s5,2944.0,0.548498272895813,0.5157408479391683,0.6997831726182953,0.6960723603436487,3.156097208828764,3.7823302367213696
brightness/s5,3072.0,0.5081678628921509,0.5143639415669833,0.6970139420006769,0.6973707536184756,3.193741299766597,3.861141453375131
brightness/s5,3200.0,0.53704434633255,0.518487651524359,0.6848295810087175,0.6850684383726985,3.149627280815919,3.8507823085765738
brightness/s5,3328.0,0.5630130171775818,0.5265831725522176,0.7045656699314553,0.6995602769271783,3.0675415372006394,3.7780199540338204
brightness/s5,3456.0,0.538976788520813,0.5288365572737804,0.7126121426813873,0.7115858052157144,3.0468876793589277,3.786786766343852
brightness/s5,3584.0,0.5471576452255249,0.5321676641740976,0.719289946753656,0.7162785142353127,3.012950167513988,3.7855333954422328
brightness/s5,3712.0,0.5766003131866455,0.5402463276309244,0.7105887246863317,0.7142546252319034,2.9226293408018926,3.718388484280152
brightness/s5,3840.0,0.520717978477478,0.5366957186939341,0.7132866669387841,0.7105754102792079,2.9432760599350374,3.773360893050076
brightness/s5,3968.0,0.5516074299812317,0.5394069389279881,0.6884914877854669,0.6890008944844284,2.9030867226940953,3.777286572220392
brightness/s5,4096.0,0.569632887840271,0.5449025660029485,0.7101162025671306,0.7058084500267661,2.89761053928809,3.842602793835081
brightness/s5,4224.0,0.6378568410873413,0.5618033432910199,0.7393133256854345,0.7335887144807276,2.7104431016497053,3.678245409965685
brightness/s5,4352.0,0.5670905113220215,0.5627646465693837,0.7420713171943818,0.7359147592804871,2.7727475477344,3.7645200743479323
brightness/s5,4480.0,0.5431883931159973,0.5592053277596771,0.7165415429152473,0.7100958305927227,2.8025129621022185,3.7949654840818985
brightness/s5,4608.0,0.5938264727592468,0.5655000813959625,0.7327674791416119,0.7307769609752937,2.7581976809516853,3.786536669316327
brightness/s5,4736.0,0.5976015329360962,0.571336708948714,0.7247761637228971,0.7206027589999899,2.6881853506516156,3.7359089689000022
brightness/s5,4864.0,0.5984800457954407,0.5762718611026643,0.7274328038145013,0.7246390370165221,2.6860209616498265,3.7758944970188955
brightness/s5,4992.0,0.5940183401107788,0.5794984936495942,0.7410913810659058,0.7438699338705643,2.6643311948738195,3.7914985246626234
brightness/s5,5120.0,0.5835943222045898,0.5802431897505024,0.7373215030275898,0.7368571458141794,2.6809686629766416,3.8353437858512764
brightness/s5,5248.0,0.590585470199585,0.5821236043776082,0.7159445598779732,0.7171832959582523,2.6504943440705366,3.8109809354751825
brightness/s5,5376.0,0.6114149689674377,0.5874493070303044,0.7122232177695522,0.7130524543191605,2.58369490208568,3.786421978983152
brightness/s5,5504.0,0.6446149349212646,0.5978430575559335,0.7213539722258986,0.7219090809905124,2.4781393509667837,3.7095004803348033
brightness/s5,5632.0,0.5532046556472778,0.5897269844816324,0.7168774524817999,0.7149246740515,2.599938186097161,3.8219012207557053
brightness/s5,5760.0,0.6296997666358948,0.5969947630551347,0.7221452367853369,0.7185136247782766,2.48044945943396,3.6847789027542386
brightness/s5,5888.0,0.6132614612579346,0.5999523445465528,0.7119835882612586,0.7043872198928959,2.480317344842149,3.742599834422345
brightness/s5,6016.0,0.6152713298797607,0.602737614607136,0.6705737243732391,0.666005081085327,2.43131584336936,3.7028276268692553
brightness/s5,6144.0,0.6290977597236633,0.6075303682646864,0.6859832369771269,0.6829248889910039,2.3834340614439156,3.694018913422234
brightness/s5,6272.0,0.5513995885848999,0.5973247719592707,0.6851933239268371,0.6808216199030688,2.524124918751849,3.836761996127445
brightness/s5,6400.0,0.5426063537597656,0.5873759686502698,0.6797575143642463,0.6698578612574261,2.6549292885584572,3.9861067251328226
brightness/s5,6528.0,0.6082125902175903,0.5911644452988735,0.6856744517644955,0.6813717914202604,2.5396361179827642,3.878627985792261
brightness/s5,6656.0,0.6001143455505371,0.592791699890085,0.6800795916770588,0.6738418603722404,2.516083895045205,3.9247960234495314
brightness/s5,6784.0,0.6023141145706177,0.5945230480138182,0.6796917101309237,0.6708672784310038,2.5146265707158224,3.9569782156341637
brightness/s5,6912.0,0.5397974252700806,0.584572934787684,0.6685849464512794,0.6660351202719943,2.6429847705636775,4.108781361732652
brightness/s5,7040.0,0.6371093988418579,0.5941250191611701,0.6805196748971374,0.6782962375374506,2.4721680341757217,3.9233075846362655
brightness/s5,7168.0,0.575793445110321,0.5907920056973793,0.6758540798898192,0.6720412829796156,2.5083553224115223,3.974739520674083
brightness/s5,7296.0,0.6517949104309082,0.6018834429216573,0.7003651278601268,0.7006536687714782,2.4082581380953805,3.9325830670668713
brightness/s5,7424.0,0.6561182141304016,0.6117443104141562,0.7108332674104981,0.7110264228966093,2.3033755831941622,3.8356793931121635
brightness/s5,7552.0,0.6210933923721313,0.6134441434974245,0.6847830137210772,0.6750982665671517,2.300164295995693,3.8643439764249052
brightness/s5,7680.0,0.6272516250610352,0.6159545946908082,0.7073754058793988,0.6952104098507379,2.331832820513042,3.855600595894501
brightness/s5,7808.0,0.6056264638900757,0.6140767527270385,0.6984806436052173,0.6960189520488409,2.363811252213982,3.927518637993666
brightness/s5,7936.0,0.6257059574127197,0.6161911535789806,0.6930428275373768,0.6960436786442653,2.2735154534625517,3.822994054459978
brightness/s5,8064.0,0.6007987260818481,0.6133925303976837,0.682687760582872,0.6805643633899625,2.2886872563521785,3.870777484055223
brightness/s5,8192.0,0.6306367516517639,0.616527843352971,0.6876360215472117,0.6838901936742723,2.233602808013286,3.879094411997959
brightness/s5,8320.0,0.6510633230209351,0.6228070214744189,0.68939890698615,0.6850835180794714,2.1939702044971123,3.867574585170343
brightness/s5,8448.0,0.6436591148376465,0.6265983111768239,0.7158889377345301,0.7106757435077453,2.1355228510234916,3.8433245150178776
brightness/s5,8576.0,0.6338425874710083,0.627915452321221,0.7201921814586523,0.7086961588770857,2.1578972850501597,3.843044726942474
brightness/s5,8704.0,0.6473113894462585,0.6314419863439551,0.7042195594888498,0.7073709823887928,2.116093407694519,3.7956572830221704
brightness/s5,8832.0,0.6698624491691589,0.6384275250394467,0.7245188786660894,0.7232710708553076,2.09842988594624,3.78811855258928
brightness/s5,8960.0,0.6831761598587036,0.6465636404611297,0.7218370179500266,0.7228095598287596,2.0059570892031573,3.7120965898638985
brightness/s5,9088.0,0.6613736152648926,0.649256363152723,0.7125520533384475,0.7103621846787564,1.9943737615020332,3.7391809778675618
brightness/s5,9216.0,0.6146044731140137,0.6429560195093212,0.7042703828133409,0.6971226194956963,2.0798186496750475,3.85021932520689
brightness/s5,9344.0,0.6514126658439636,0.6444935915701653,0.7142223223791785,0.7140862163566231,2.0751669213991293,3.8721910580012366
brightness/s5,9472.0,0.7128527164459229,0.6569225233657575,0.7193347777910203,0.7164027564040204,1.93114811417772,3.781169489219059
brightness/s5,9600.0,0.6666041612625122,0.6586828211651674,0.6995133636452284,0.6975506055266583,1.9169571912996697,3.709663504171107
brightness/s5,9728.0,0.6713758111000061,0.6609906375169562,0.7133622516963926,0.7125648681624737,1.8961704042116558,3.7450809920328907
brightness/s5,9856.0,0.6498040556907654,0.6589567135485578,0.7195338213835355,0.71615912662116,1.9062469163145734,3.7575143605260006
brightness/s5,9984.0,0.6834877729415894,0.6634169061654727,0.7107519796038543,0.698162307903421,1.8785463805099287,3.705136639038084
