corruption,n_samples,r,r_ema,model_acc_ema,frozen_acc_ema,model_ent_ema,frozen_ent_ema
pixelate/s5,128.0,0.14486002922058105,0.14486002922058105,0.5284090909090908,0.5284090909090908,5.779408021406693,5.780705625360662
pixelate/s5,256.0,0.14434543251991272,0.1447664661840959,0.5022304658151765,0.49938955672426744,5.789484821523068,5.79555802090915
pixelate/s5,384.0,0.14715266227722168,0.14520032001920966,0.47463361761181233,0.4698909429311211,5.79597331065409,5.808346282028634
pixelate/s5,512.0,0.13241121172904968,0.14287502760281692,0.4512526696409653,0.4504022014662877,5.832010255967969,5.852031505939238
pixelate/s5,640.0,0.14698311686515808,0.1436219529232426,0.4591030267844478,0.45285188693197764,5.832485836431892,5.862458661434955
pixelate/s5,768.0,0.1552698016166687,0.1457397435947746,0.4573850840457873,0.45035952761562137,5.799966608332918,5.840833882443754
pixelate/s5,896.0,0.13039056956768036,0.14294898468075745,0.4479705934521386,0.4432675350154159,5.823146179216898,5.8735436333782785
pixelate/s5,1024.0,0.18427953124046326,0.15046362950979486,0.4724018022282911,0.4664125647623858,5.734333492070203,5.801840088599764
pixelate/s5,1152.0,0.13601040840148926,0.14783577112646656,0.43193839653298816,0.4250881631880434,5.787958054804694,5.861088580078176
pixelate/s5,1280.0,0.14990845322608948,0.1482126224173071,0.4296447117286945,0.4250590183324918,5.786268331411581,5.870829576968896
pixelate/s5,1408.0,0.1583055555820465,0.15004770117453242,0.41752042685970453,0.41212628499943665,5.774442075714683,5.873459686361886
pixelate/s5,1536.0,0.1961115151643753,0.15842294008177657,0.42696615351765344,0.42103081888392035,5.674297563637604,5.796376961251051
pixelate/s5,1664.0,0.17096155881881714,0.16070268894305664,0.4436199044209085,0.43164046553386404,5.656112778160773,5.79378415139398
pixelate/s5,1792.0,0.17136284708976746,0.1626408995151859,0.4594170434553188,0.4457159314730825,5.639722210200677,5.789338670185968
pixelate/s5,1920.0,0.17735308408737183,0.16531584216467424,0.4588866158667836,0.44170859875470814,5.628527931804139,5.796601905663093
pixelate/s5,2048.0,0.18012842535972595,0.1680090391092291,0.4528497180595824,0.4465156735465401,5.612834541653215,5.800286141911334
pixelate/s5,2176.0,0.19754813611507416,0.17337978401938273,0.4568146872960841,0.44508487237413014,5.581427203566444,5.788177861968792
pixelate/s5,2304.0,0.18017281591892242,0.17461488072838993,0.44113214604118023,0.43327995588681434,5.575762926243221,5.793399697084149
pixelate/s5,2432.0,0.18383637070655823,0.17629151526987508,0.4280512713168231,0.42279484650274346,5.560171466843323,5.798999394994896
pixelate/s5,2560.0,0.19957832992076874,0.18052548157003756,0.4360818427823361,0.4250734096423323,5.5242523385461935,5.786934117704183
pixelate/s5,2688.0,0.19632788002490997,0.1833986449254689,0.44094115095346464,0.42556567091759434,5.513063478324956,5.788349897068341
pixelate/s5,2816.0,0.15829478204250336,0.17883430621947516,0.4294730018779391,0.42486214334153005,5.579629985066041,5.84994492109263
pixelate/s5,2944.0,0.19274736940860748,0.18136395407204464,0.4468476293563063,0.43911226124515645,5.552995716354033,5.843767690201039
pixelate/s5,3072.0,0.16831757128238678,0.17899188447392503,0.43859221469306453,0.43108961289965014,5.574179743443665,5.872669168828064
pixelate/s5,3200.0,0.21530525386333466,0.1855943152719995,0.4309997470259357,0.41616329458571616,5.495516800616839,5.827495524951978
pixelate/s5,3328.0,0.20965996384620667,0.18996988774003715,0.44192958271984123,0.42166716414415706,5.470046153759064,5.81586268522196
pixelate/s5,3456.0,0.1705172061920166,0.18643303654948792,0.45363674545708377,0.4297420685593117,5.520524658436808,5.85980111518232
pixelate/s5,3584.0,0.18562564253807068,0.18628623763832114,0.4467526973720974,0.43256493845705984,5.496507225382212,5.856115466869974
pixelate/s5,3712.0,0.18280401825904846,0.18565310684208974,0.4243241197284288,0.4068203307026599,5.5142634398827095,5.874094960511267
pixelate/s5,3840.0,0.1873522698879242,0.185962045577696,0.43539465866117955,0.4089561717926896,5.49988186544477,5.878498390941447
pixelate/s5,3968.0,0.21924327313899994,0.19201317786156943,0.44848733348393,0.4204582637620484,5.416004466870125,5.835358065070517
pixelate/s5,4096.0,0.17818212509155273,0.18949844099429364,0.4531196199355233,0.426866688964677,5.476534230950075,5.886195189843216
pixelate/s5,4224.0,0.2102436125278473,0.19327029036403065,0.4531213984692346,0.42986530418296554,5.433170956839957,5.8766388427969884
pixelate/s5,4352.0,0.21498055756092072,0.1972176116725561,0.4520895312066777,0.4290317325522331,5.3990942995086595,5.86638950749232
pixelate/s5,4480.0,0.23171626031398773,0.2034900932437255,0.42712191758463547,0.40884562261761054,5.327912464932599,5.828811572846259
pixelate/s5,4608.0,0.21277625858783722,0.2051784869426549,0.45250516796987994,0.4327809539836897,5.317631882337793,5.839957842775738
pixelate/s5,4736.0,0.20684155821800232,0.20548086353817258,0.44186296368231626,0.42478518407172616,5.338445779004316,5.861798045502492
pixelate/s5,4864.0,0.28003400564193726,0.2190359802843116,0.45746611618402977,0.4408685942959489,5.194834849573431,5.786819714445528
