corruption,n_refreshes,r,a,x,acc,n
brightness/s5,1,0.4652860164642334,0.7497397156585344,0.5486122934434573,0.75,32
brightness/s5,2,0.44224315881729126,0.712557686796535,0.7282254879281727,0.75,32
brightness/s5,3,0.4663643538951874,0.7514797243890065,0.9173726411827132,0.65625,32
brightness/s5,4,0.4461318552494049,0.7188324998075676,0.9280252156045921,0.875,32
brightness/s5,5,0.5285133123397827,0.8517634826813205,1.338262506620144,0.71875,32
brightness/s5,6,0.4449516534805298,0.7169281224553462,1.1337686224608292,0.625,32
brightness/s5,7,0.44561633467674255,0.7180006541612777,1.0341671756910942,0.8125,32
brightness/s5,8,0.4782608151435852,0.7706758923413909,1.1231493837757847,0.6875,32
brightness/s5,9,0.4251156151294708,0.6849206274745891,0.9498138798341684,0.59375,32
brightness/s5,10,0.49224817752838135,0.7932459450606876,1.1472086260011105,0.71875,32
brightness/s5,11,0.5026441812515259,0.8100209699471825,1.2986775321148794,0.75,32
brightness/s5,12,0.40708452463150024,0.6558256021274255,0.9717119679159607,0.75,32
brightness/s5,13,0.4873825013637543,0.7853946744258445,1.1345488415751332,0.8125,32
brightness/s5,14,0.5314731597900391,0.8565395020018735,1.4606947782523723,0.71875,32
brightness/s5,15,0.4708811044692993,0.7587679675740425,1.3033157701919886,0.78125,32
brightness/s5,16,0.49928995966911316,0.8046085872645441,1.3593334554132444,0.75,32
brightness/s5,17,0.4664647877216339,0.7516417847328611,1.2333605976921316,0.78125,32
brightness/s5,18,0.5089388489723206,0.8201780659314274,1.3754574809355733,0.65625,32
brightness/s5,19,0.42366287112236023,0.6825764750943113,1.070547565128321,0.625,32
brightness/s5,20,0.5198373794555664,0.837763969606669,1.356115857074832,0.8125,32
brightness/s5,21,0.5750975608825684,0.92693197525161,1.948302592612305,0.8125,32
brightness/s5,22,0.47706159949302673,0.7687408341288196,1.5747587383853747,0.65625,32
brightness/s5,23,0.5030983090400696,0.810753752000493,1.5148370224427543,0.71875,32
brightness/s5,24,0.46236321330070496,0.7450234711176287,1.2935406239291567,0.75,32
brightness/s5,25,0.4230983853340149,0.6816656190192519,1.0274887619997455,0.71875,32
brightness/s5,26,0.37172430753707886,0.5987682426316594,0.7139120846067188,0.59375,32
brightness/s5,27,0.4075486660003662,0.6565745421259986,0.6809891180911118,0.75,32
brightness/s5,28,0.49084189534187317,0.7909767636228636,1.0059061424267706,0.6875,32
brightness/s5,29,0.546542227268219,0.8808549975225193,1.5032289533797738,0.78125,32
brightness/s5,30,0.5065768957138062,0.8163668105925989,1.4975762490407927,0.6875,32
brightness/s5,31,0.5155893564224243,0.8309093460419702,1.5448309813429466,0.875,32
brightness/s5,32,0.4694279432296753,0.7564231419460454,1.3389996904833805,0.59375,32
brightness/s5,33,0.6705517172813416,0.999,4.1228772345659666,0.78125,32
brightness/s5,34,0.6337380409240723,0.999,5.51481600660726,0.75,32
brightness/s5,35,0.4627050459384918,0.745575053356208,3.294982961786177,0.625,32
brightness/s5,36,0.49893003702163696,0.8040278149284219,2.3533220448945134,0.6875,32
brightness/s5,37,0.49884533882141113,0.8038911456414086,1.882058014734492,0.78125,32
brightness/s5,38,0.49581485986709595,0.7990011550998065,1.631060622452113,0.65625,32
brightness/s5,39,0.5322098731994629,0.8577282651176259,1.7138045547858538,0.8125,32
brightness/s5,40,0.46267256140708923,0.74552263621235,1.394339082077011,0.5625,32
brightness/s5,41,0.5892465114593506,0.9497627671947583,2.166897437807405,0.75,32
brightness/s5,42,0.5772013068199158,0.9303265864304516,2.379307163205491,0.78125,32
brightness/s5,43,0.4681662619113922,0.7543872889320739,1.7507285475224021,0.6875,32
brightness/s5,44,0.46730077266693115,0.7529907327166787,1.4326778064037902,0.71875,32
brightness/s5,45,0.6521599292755127,0.999,4.1697162925261715,0.8125,32
brightness/s5,46,0.64256751537323,0.999,5.538235535587362,0.6875,32
brightness/s5,47,0.503385066986084,0.8112164655401277,3.4980847138069433,0.6875,32
brightness/s5,48,0.5232133865356445,0.8432115054380782,2.590202403882222,0.59375,32
brightness/s5,49,0.5448325872421265,0.8780963169036579,2.2823637208679193,0.78125,32
brightness/s5,50,0.5230454206466675,0.8429404751419463,1.981317596457615,0.71875,32
brightness/s5,51,0.5499372482299805,0.8863332142142785,2.017569664027055,0.75,32
brightness/s5,52,0.5792695879936218,0.9336639715531546,2.33097654947062,0.78125,32
brightness/s5,53,0.5265856385231018,0.8486529820400139,2.027525791300936,0.65625,32
brightness/s5,54,0.556946873664856,0.8976439682546278,2.099421033100338,0.75,32
