corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
contrast/s5,128.0,0.06467163562774658,0.0930786281824112,0.06467163562774658,0.0930786281824112,0.1875,0.2734375,5.928354263305664,6.124337196350098
contrast/s5,256.0,0.06778150051832199,0.07741709798574448,0.0652370656078512,0.09023107723756268,0.18892045454545453,0.2578125,5.922428824684836,6.141876914284446
contrast/s5,384.0,0.07283639162778854,0.08417243510484695,0.0666187612478398,0.08912950594070528,0.1886621900826446,0.24786931818181815,5.899038448806635,6.148111217278094
contrast/s5,512.0,0.08067602664232254,0.08479543775320053,0.0691746276832003,0.08834149354297713,0.21117815552216376,0.23831353305785122,5.883550926942201,6.150187302495553
contrast/s5,640.0,0.0934133529663086,0.08554255217313766,0.07358166864376545,0.08783259511209722,0.21681621815449761,0.2375974361382419,5.846129388889322,6.1525581713688755
contrast/s5,768.0,0.09071722626686096,0.07863815128803253,0.07669722457523737,0.08616087805317636,0.20154281485367984,0.2228069932040161,5.818051314852982,6.157053126760969
contrast/s5,896.0,0.08683598786592484,0.10589607059955597,0.07854063608263508,0.08974909487979084,0.20751230306210167,0.2206489035305586,5.8069691033545,6.132505352281968
contrast/s5,1024.0,0.11348053812980652,0.09785429388284683,0.08489334554575714,0.09122276742580102,0.19961233886899227,0.22882637561591157,5.754510785074357,6.120308129611427
contrast/s5,1152.0,0.1096411794424057,0.0857604518532753,0.08939295170878414,0.09022961913988725,0.19883054998372093,0.22273294368574584,5.717525751697467,6.123789696766149
contrast/s5,1280.0,0.11255450546741486,0.09707625210285187,0.09360414330126246,0.09147446149678991,0.20245226816849893,0.22627013574288296,5.680212761576159,6.118332441996344
contrast/s5,1408.0,0.14521753787994385,0.09326763451099396,0.10298839686102271,0.0918004929539179,0.22246094668331728,0.23200511106235877,5.6230747040958695,6.112350899808088
contrast/s5,1536.0,0.14909513294696808,0.11699727922677994,0.11137143978574005,0.096381726821711,0.2246271381954414,0.23385645450556625,5.5570523199860204,6.078191420299746
contrast/s5,1664.0,0.16267850995063782,0.09489774703979492,0.12069999799753964,0.09611191231590807,0.2249790221599066,0.23679164459546326,5.485854689973913,6.072542088299667
