corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
impulse_noise/s5,128.0,0.3135109841823578,0.042145855724811554,0.3135109841823578,0.042145855724811554,0.375,0.203125,4.376554489135742,6.612167835235596
impulse_noise/s5,256.0,0.3023701310157776,0.04643020033836365,0.31148537451570685,0.04292482747273012,0.36789772727272724,0.18607954545454544,4.381955060091886,6.601407614621249
impulse_noise/s5,384.0,0.2979489266872406,0.04148899018764496,0.3090242021832584,0.04266376614816918,0.36492768595041314,0.18207644628099173,4.370774631657876,6.598650439711641
impulse_noise/s5,512.0,0.3638361394405365,0.046966034919023514,0.31899000895730895,0.04344599683377905,0.3667590157776107,0.18164209241172052,4.302734064751331,6.592779363392887
impulse_noise/s5,640.0,0.36196368932724,0.05002287030220032,0.32680340538820546,0.044641792009855644,0.36967783109077235,0.17844580288231676,4.250512822942406,6.578450369725793
impulse_noise/s5,768.0,0.3501325249671936,0.04147512465715408,0.331045063493476,0.04406603430936445,0.3663841345288137,0.1857738387218955,4.206760112109349,6.579262263035369
impulse_noise/s5,896.0,0.3636263310909271,0.05352439731359482,0.3369689303293762,0.04578573667376997,0.3665302009781203,0.17472404986336906,4.151680445396818,6.5621711176543815
impulse_noise/s5,1024.0,0.3902508020401001,0.04544064402580261,0.3466565433676896,0.04572299255595772,0.370911073527553,0.17704694988821104,4.062612470489131,6.558519040609711
impulse_noise/s5,1152.0,0.3921681046485901,0.04679380729794502,0.35493137269148967,0.045917686145409954,0.370234060158907,0.17894750445399085,4.003742686592492,6.5579429933146836
impulse_noise/s5,1280.0,0.45310521125793457,0.06530574709177017,0.37278116152175234,0.049442788135657265,0.36968014013001477,0.1861843218259925,3.8762501302222927,6.535810703747614
impulse_noise/s5,1408.0,0.46486353874206543,0.05541849881410599,0.3895234119254456,0.0505292809862843,0.37917011465183026,0.1892644451303575,3.7695036549075502,6.528649260818804
impulse_noise/s5,1536.0,0.450733482837677,0.061794765293598175,0.40065251572766947,0.05257755086034137,0.3855141847151339,0.18752318237938342,3.6823730971626847,6.516245611867994
impulse_noise/s5,1664.0,0.4365726113319397,0.05275595560669899,0.4071834422011731,0.052609988086951845,0.39070478749420046,0.18325760376495004,3.6245750491900126,6.514306226937627
impulse_noise/s5,1792.0,0.46236127614974976,0.06023214012384415,0.4172157756463688,0.053995833911841346,0.387849371586164,0.18260849398950457,3.5396282595734334,6.502372091116137
impulse_noise/s5,1920.0,0.5051801800727844,0.07462110370397568,0.4332093037238989,0.05774588296495668,0.39687675857049776,0.18917967690050372,3.4245779884680188,6.4771400677358235
impulse_noise/s5,2048.0,0.4735192358493805,0.06687525659799576,0.44053838229216824,0.059405769080054696,0.4000014388304073,0.18887428110041213,3.3741407047204595,6.461775486078733
impulse_noise/s5,2176.0,0.5303740501403809,0.07093264907598495,0.45687214008275234,0.0615015654429511,0.3940352681339696,0.18720395726397354,3.261227752714733,6.44361862085641
impulse_noise/s5,2304.0,0.49226248264312744,0.060693372040987015,0.46330674782100234,0.06135462118804853,0.38489249210961146,0.1957805104887056,3.199745817034932,6.442859263927128
impulse_noise/s5,2432.0,0.528182864189148,0.0736941546201706,0.4751024053424834,0.06359817272116164,0.37883249354422754,0.19711587221803184,3.1113586450567237,6.422271846405797
impulse_noise/s5,2560.0,0.5286620259284973,0.07523427903652191,0.4848405181763041,0.0657138284148635,0.3852379492634589,0.19110616817838966,3.0634265833239978,6.407302085924256
impulse_noise/s5,2688.0,0.5382101535797119,0.07726733386516571,0.49454408824965096,0.0678144657694639,0.3961605948519209,0.1833482285095915,3.0024597720510218,6.388526632868247
impulse_noise/s5,2816.0,0.49371448159217834,0.06712032109498978,0.494393250675565,0.06768825764683224,0.3880518503333898,0.17842127787148396,2.997447301816381,6.381828856318916
impulse_noise/s5,2944.0,0.5206319689750671,0.07422683387994766,0.4991639267300199,0.06887708968921685,0.3785765139091371,0.18149240916757778,2.9609229970017106,6.375784455524026
impulse_noise/s5,3072.0,0.5049067735671997,0.08228009939193726,0.5002080807004162,0.07131400054425692,0.3793466931983849,0.1840051529552909,2.945953467328903,6.35407292202343
impulse_noise/s5,3200.0,0.49645334482192993,0.07743723690509796,0.49952540144978236,0.07242731624622802,0.3728745671623149,0.18037921605432894,2.9380655225078276,6.340375060562893
impulse_noise/s5,3328.0,0.5096346735954285,0.07380251586437225,0.5013634509308089,0.07267735254043606,0.37468146404189395,0.1802534494989964,2.918312154246461,6.336841156313043
impulse_noise/s5,3456.0,0.4893030524253845,0.06763488054275513,0.4991706512025499,0.07176053944994862,0.37331892512518594,0.17446873140826977,2.9142593703755666,6.339078033698597
impulse_noise/s5,3584.0,0.5244849324226379,0.06968647241592407,0.5037732477880205,0.07138343635285324,0.37504502964787945,0.16547441660676618,2.8765634104952698,6.341108217618409
