corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
pixelate/s5,128.0,0.5114668607711792,0.15136483311653137,0.5114668607711792,0.15136483311653137,0.4609375,0.4375,2.87723445892334,5.783279895782471
pixelate/s5,256.0,0.4798067808151245,0.15337970852851868,0.5057104825973511,0.15173117410052905,0.4509943181818181,0.4389204545454545,2.905707706104625,5.780941486358643
pixelate/s5,384.0,0.5508952140808105,0.15179376304149628,0.5139258883216165,0.15174255390797764,0.45422262396694213,0.43582128099173545,2.8704017095329344,5.782041766426779
pixelate/s5,512.0,0.5467393398284912,0.14472517371177673,0.5198919704137754,0.15046666659957747,0.4597048741547708,0.44180832081141985,2.853002165601631,5.7893631714434655
pixelate/s5,640.0,0.5817493200302124,0.16209913790225983,0.5311387612531275,0.15258166138188334,0.46987216976299423,0.4467068079366162,2.789108006666449,5.780867445836113
pixelate/s5,768.0,0.5286517143249512,0.1802886426448822,0.53068657090255,0.1576192943387922,0.47392950253335886,0.45071466103904956,2.777419216397416,5.738693563805097
pixelate/s5,896.0,0.5000162720680237,0.15118205547332764,0.5251101529326361,0.15644888727234407,0.47582868389092997,0.44831199539558597,2.8104265984863135,5.738735206018313
pixelate/s5,1024.0,0.607811450958252,0.20110706984996796,0.5401467525736571,0.16456855683191204,0.49016665045621544,0.45486890532366125,2.7241361295881674,5.686830006206922
pixelate/s5,1152.0,0.5745286345481873,0.16031336784362793,0.5463980038417534,0.16379488610676948,0.4876931685550853,0.43750637708299556,2.6740233157739968,5.688031469284045
pixelate/s5,1280.0,0.5866069793701172,0.17998503148555756,0.5537087266650922,0.16673854890291276,0.4842489560905243,0.4417665812497236,2.6128931523452508,5.665800664504994
pixelate/s5,1408.0,0.5851483345031738,0.18735840916633606,0.5594250189992889,0.17048761440535334,0.485692327710429,0.4409908392043193,2.584235230447783,5.638336474527524
pixelate/s5,1536.0,0.6197069883346558,0.22816017270088196,0.5703853770602647,0.18097353409544945,0.4882937226721691,0.4403561411671703,2.513921336175583,5.567897602777268
pixelate/s5,1664.0,0.6309719681739807,0.22160062193870544,0.5814011208991221,0.1883602773396778,0.5117289549135928,0.4426777518640484,2.4473584964938455,5.512505459401217
pixelate/s5,1792.0,0.624086856842041,0.21375572681427002,0.5891621637978346,0.19297763178960364,0.515278235838394,0.4530999787978578,2.408810914245586,5.473458317962456
pixelate/s5,1920.0,0.5908684134483337,0.22864562273025513,0.5894723910070162,0.19946272105154028,0.5039776475041405,0.45452498265279273,2.3868955541908794,5.430012032157048
pixelate/s5,2048.0,0.5906402468681335,0.23506909608840942,0.5896847284363103,0.2059366074218801,0.5018339843215696,0.45569089489773945,2.391790522981236,5.386205557882133
pixelate/s5,2176.0,0.6339960694313049,0.2632124423980713,0.5977413358899456,0.2163503955993694,0.4915573508085569,0.4637470958254232,2.336025173432623,5.3275282523030665
pixelate/s5,2304.0,0.5808539390563965,0.23646271228790283,0.5946709001020275,0.22000718045183,0.4945128324797283,0.45755444203898255,2.348411247107382,5.2951875497802785
pixelate/s5,2432.0,0.6236364245414734,0.25179851055145264,0.5999373590910176,0.225787422288125,0.49693095384705044,0.44538545257734935,2.317728046644543,5.245243698621719
pixelate/s5,2560.0,0.6297804117202759,0.2686043977737427,0.6053633686599736,0.23357232692187366,0.5060116895112231,0.45957673392692217,2.2959815838679516,5.197376676796454
pixelate/s5,2688.0,0.641878604888916,0.280476450920105,0.6120025025197813,0.2421003494670066,0.5034982005091825,0.46408550957657263,2.2570571611207866,5.138276968543023
pixelate/s5,2816.0,0.6280181407928467,0.23336580395698547,0.6149144367512477,0.24051225028336637,0.5113848913256948,0.4649335987444685,2.217816242566066,5.1391886966967775
pixelate/s5,2944.0,0.6220022439956665,0.27225497364997864,0.6162031289775056,0.2462836545318413,0.513576274721023,0.46846839897274695,2.2017850840555186,5.091292931075328
