corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
shot_noise/s5,128.0,0.3539068102836609,0.04071527719497681,0.3539068102836609,0.04071527719497681,0.375,0.171875,4.020612716674805,6.585511207580566
shot_noise/s5,256.0,0.32507961988449097,0.038405947387218475,0.34866550293835724,0.040295399048111656,0.3607954545454545,0.16477272727272727,4.052592971108176,6.587773409756747
shot_noise/s5,384.0,0.32994943857192993,0.04284471273422241,0.34526258214446137,0.04075891062740452,0.35769628099173545,0.17174586776859502,4.062319022564848,6.582397965360279
shot_noise/s5,512.0,0.3905770480632782,0.0508919395506382,0.35350157594788256,0.04260127952253791,0.35658104808414715,0.1788716190833959,4.012020768481569,6.567958897705995
shot_noise/s5,640.0,0.38090890645980835,0.04273788630962372,0.3584847269500509,0.04262611712018987,0.36561176661430217,0.17901996106823298,3.9753864638573004,6.567982294090327
shot_noise/s5,768.0,0.370786190032959,0.053431980311870575,0.3607213566014887,0.04459081951867727,0.3545346272298836,0.18056178632855424,3.941948893332975,6.550957455901451
shot_noise/s5,896.0,0.38106298446655273,0.045262325555086136,0.3644198343951367,0.044712911525297064,0.3525737859153593,0.1704596433597262,3.898950578947905,6.54895616769911
shot_noise/s5,1024.0,0.4326903223991394,0.0619131401181221,0.37683265039586444,0.04784022581490161,0.3552308248398394,0.18066016274886687,3.806948750273783,6.5243569601675695
shot_noise/s5,1152.0,0.4250079393386841,0.06144833564758301,0.3855917938400134,0.05031442760266186,0.36024567486895953,0.1861651331581638,3.747609124175309,6.504156556110557
shot_noise/s5,1280.0,0.4635630249977112,0.0654439702630043,0.39976838132323117,0.05306525354090594,0.3572464612564214,0.18640783622031581,3.649585278677614,6.483146336713413
shot_noise/s5,1408.0,0.43973395228385925,0.059991639107465744,0.4070348487706181,0.05432459637118954,0.35905392284616294,0.1851859569075311,3.597817056705468,6.475960547576421
shot_noise/s5,1536.0,0.4484006464481354,0.05454689636826515,0.414555902893803,0.05436501455247601,0.36479411869231515,0.17708396474252544,3.538719486103745,6.471934861635679
shot_noise/s5,1664.0,0.4852471947669983,0.053930312395095825,0.4274088650525658,0.0542859777965887,0.36949064256643965,0.17897778933479352,3.451188990397582,6.468736659420225
shot_noise/s5,1792.0,0.476232647895813,0.06512508541345596,0.4362859164786107,0.056256724636019106,0.37617416209981425,0.18052728218301287,3.381059301649979,6.453076718286513
shot_noise/s5,1920.0,0.5114663243293762,0.06745094060897827,0.4499550815423863,0.05829203663110259,0.3773811326271207,0.17611323087701053,3.271665204185343,6.438751251618298
shot_noise/s5,2048.0,0.4838916063308716,0.06799260526895523,0.4561253587766563,0.06005577638343943,0.3755277448767351,0.1824449161720995,3.233528789025623,6.423068158561721
shot_noise/s5,2176.0,0.5297375917434692,0.09436986595392227,0.4695094011342586,0.06629470175989086,0.37827270035369237,0.19898902232262686,3.141468104564665,6.379980265607672
shot_noise/s5,2304.0,0.48395073413848877,0.06330513954162598,0.47213509804411863,0.06575114499293361,0.37483675483483914,0.20684329099124016,3.1068774165160424,6.383736756316832
shot_noise/s5,2432.0,0.5298277735710144,0.07489080727100372,0.4826246754126451,0.06741290177076453,0.3691846175921411,0.20048541990192376,3.0232509998934076,6.366428234527336
shot_noise/s5,2560.0,0.5193113088607788,0.07628770172595978,0.48929497240321485,0.06902650176261821,0.37308286893902454,0.19386307082884668,3.0006099149684964,6.352464820864385
shot_noise/s5,2688.0,0.5433497428894043,0.08063852041959763,0.4991231124916129,0.07113777788206901,0.37343143822283825,0.18986523976905637,2.9346163818864,6.332861065259781
shot_noise/s5,2816.0,0.5077191591262817,0.07419240474700928,0.5006860300615527,0.07169316458478542,0.36945526763686765,0.1837533779928643,2.9326153464990288,6.328116600668869
shot_noise/s5,2944.0,0.4948537349700928,0.07166311889886856,0.49962561277219625,0.07168770173280054,0.36620203715743715,0.18585503653961624,2.9276960655676314,6.328295251149839
shot_noise/s5,3072.0,0.48211777210235596,0.07908186316490173,0.4964423690140435,0.0730320947204553,0.3649607576742667,0.19325639353241328,2.9481618592381738,6.3187243454176505
shot_noise/s5,3200.0,0.5053457021713257,0.08843952417373657,0.49806115686082203,0.0758334455301428,0.3682065290062182,0.19931204925379267,2.9321574234886816,6.294294035910339
shot_noise/s5,3328.0,0.5056319236755371,0.09154341369867325,0.4994376599180429,0.07868980337896651,0.36660079645963306,0.19716440393492127,2.9239071605360385,6.2708392548117615
shot_noise/s5,3456.0,0.5295571088790894,0.08293983340263367,0.5049139233655059,0.07946253611054235,0.36670746983060887,0.1982481486740265,2.882613431141258,6.2604682993526
shot_noise/s5,3584.0,0.5247390270233154,0.06893942505121231,0.5085184876669258,0.07754924319066415,0.3667947480432254,0.19771439436965804,2.8420307289948354,6.268460643695273
shot_noise/s5,3712.0,0.509396493434906,0.0817520022392273,0.5086781250792858,0.07831338119949381,0.359763884762639,0.1944367772115384,2.8345283094907585,6.26042110194386
shot_noise/s5,3840.0,0.553493320941925,0.09550106525421143,0.5168263425088565,0.08143841466398792,0.36821590571488644,0.19885736317307687,2.7687570580459275,6.231900722896139
shot_noise/s5,3968.0,0.5489475727081299,0.09993895143270493,0.5226665661814517,0.08480214862193645,0.36660846831217975,0.20389466077797197,2.7336185462325786,6.204225782195341
shot_noise/s5,4096.0,0.5361396670341492,0.0930568128824234,0.5251162208819421,0.08630299666929771,0.36813420134632885,0.20375472245470433,2.7263959716978374,6.193282758896684
shot_noise/s5,4224.0,0.5999866724014282,0.09750361740589142,0.5387290302491213,0.0883394731668602,0.3864279829197236,0.20506068200839445,2.647143662346171,6.18164443620644
shot_noise/s5,4352.0,0.5775220394134521,0.08495360612869263,0.545782304642636,0.08772386097810245,0.38861153147977384,0.1990269216432318,2.605049637533941,6.181526528016562
shot_noise/s5,4480.0,0.5740982294082642,0.1146644651889801,0.5509306546000229,0.09262215265280746,0.390398071210724,0.20403339043537147,2.5715357831210315,6.151742696395653
shot_noise/s5,4608.0,0.5327914357185364,0.10471510887145996,0.547632614803389,0.09482087196528972,0.3691325128087742,0.19960686490166757,2.603265619095652,6.125628362702622
shot_noise/s5,4736.0,0.5387848019599915,0.10865923762321472,0.5460239215591348,0.09733693844854881,0.36877887411626975,0.1945647076468189,2.599073726331501,6.106446870842272
shot_noise/s5,4864.0,0.6086713075637817,0.12066240608692169,0.5574143553781615,0.1015779325646166,0.3798531697314934,0.20464385171103366,2.529684152165848,6.07275362069934
shot_noise/s5,4992.0,0.5730886459350586,0.10432565212249756,0.5602642263885065,0.10207751793877677,0.3846525934166764,0.20720860594539117,2.509946372801443,6.064713504549016
shot_noise/s5,5120.0,0.5723109245300293,0.1192808747291565,0.5624545351415107,0.10520540099157308,0.3899998491590988,0.21072749577350186,2.493107167179785,6.040560223814695
shot_noise/s5,5248.0,0.5710188746452332,0.12293542921543121,0.564011687778551,0.10842904248682,0.3929544220392626,0.21928840563286514,2.4706467774473007,6.009123914477648
shot_noise/s5,5376.0,0.592836856842041,0.13004492223262787,0.5692526276082764,0.11235920244060325,0.4024740725775785,0.22345187733598057,2.4402948065477914,5.977467021918368
shot_noise/s5,5504.0,0.6203275322914124,0.13732954859733582,0.5785389739143012,0.116899265378191,0.41878560483620053,0.22969926327489318,2.378395479690891,5.946169171747353
shot_noise/s5,5632.0,0.5530574321746826,0.11725439131259918,0.5739059663252797,0.11696383372990157,0.42076776759325496,0.2277084881340035,2.392675899732,5.935917903632022
shot_noise/s5,5760.0,0.549365222454071,0.15643543004989624,0.5694440128941508,0.12414048760626423,0.4124463553035722,0.2232387630187301,2.3993862081125807,5.877831326005213
shot_noise/s5,5888.0,0.5948707461357117,0.13148893415927887,0.5740670553017073,0.12547656879772143,0.4170015634301954,0.21958171519714278,2.391610590589759,5.86464827663033
shot_noise/s5,6016.0,0.5591552257537842,0.13062632083892822,0.5713558135657213,0.1264128873506681,0.3994217337156144,0.21090776697948044,2.397190631497489,5.8537327924072375
