corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
zoom_blur/s5,128.0,0.44594261050224304,0.15949422121047974,0.44594261050224304,0.15949422121047974,0.3359375,0.5,3.2348287105560303,5.693880081176758
zoom_blur/s5,256.0,0.4270472526550293,0.1388670951128006,0.4425070908936587,0.15574383464726532,0.32883522727272724,0.4758522727272727,3.2597083395177666,5.71276552026922
zoom_blur/s5,384.0,0.42708855867385864,0.127991184592247,0.43970372139914954,0.15069789827362562,0.33722882231404955,0.456095041322314,3.2903638654503937,5.74474927413562
zoom_blur/s5,512.0,0.4399028420448303,0.16031008958816528,0.43973992515290966,0.15244556942172374,0.32989176371149503,0.4498732156273478,3.296441877989908,5.73282813452671
zoom_blur/s5,640.0,0.4485377371311188,0.15054647624492645,0.44133952733076587,0.15210027975321513,0.33241144303667775,0.4462030855132845,3.301123926673916,5.741765971262265
zoom_blur/s5,768.0,0.443030446767807,0.14538705348968506,0.4416469672284097,0.15087969315984603,0.34015481703000905,0.42899570632905093,3.2905680832277,5.735977862595707
zoom_blur/s5,896.0,0.44146084785461426,0.1508101522922516,0.441613127342265,0.15086704936573794,0.34080848666091645,0.42486012336013257,3.293700822132034,5.740449255964314
zoom_blur/s5,1024.0,0.5031013488769531,0.20112794637680054,0.45279280398493554,0.16000539427684024,0.3654910345407498,0.4427832827491993,3.2192462313748513,5.681130051283257
zoom_blur/s5,1152.0,0.45299917459487915,0.16544954478740692,0.4528303259140162,0.160995239824216,0.3544358464424317,0.44040223134025397,3.208426651242953,5.674258286033069
zoom_blur/s5,1280.0,0.4777098596096039,0.20877408981323242,0.4573538774950321,0.16968230345858262,0.35675432890744413,0.4427154620056623,3.16877851991511,5.61518855604854
zoom_blur/s5,1408.0,0.46247899532318115,0.19248127937316895,0.45828571710015004,0.17382757180668923,0.36007172365154516,0.45028992345917823,3.1717674903597883,5.585966595573805
zoom_blur/s5,1536.0,0.47719570994377136,0.18147964775562286,0.4617238976171721,0.17521885834285897,0.3514223193512642,0.44370311919387306,3.1457163560818366,5.574725894952564
zoom_blur/s5,1664.0,0.5066910982131958,0.19262385368347168,0.46989975227099456,0.1783834029502431,0.3500273521964889,0.45109800661316884,3.091506356686142,5.549297941401396
zoom_blur/s5,1792.0,0.5003060698509216,0.17003092169761658,0.47542817364916307,0.1768647699952201,0.3474655608880364,0.4372620054107745,3.0521257855863357,5.554061780741101
zoom_blur/s5,1920.0,0.4667922258377075,0.21771815419197083,0.4738580013198075,0.18429265803099296,0.3510513679993025,0.43020300442699727,3.056397059156487,5.4916146861181625
zoom_blur/s5,2048.0,0.4935016334056854,0.2178078293800354,0.4774295707899671,0.19038632554900065,0.3468829374539747,0.43721154907663407,3.0413262128239245,5.445067947561034
zoom_blur/s5,2176.0,0.5076152682304382,0.22641244530677795,0.4829178794155073,0.19693652914132376,0.33779058518961563,0.4301617219717915,2.9980940016349904,5.402235907956542
zoom_blur/s5,2304.0,0.5045760869979858,0.1951715052127838,0.48685573533959425,0.19661561569977104,0.3459763878824128,0.4258141361587384,2.960166475358937,5.401790295929731
zoom_blur/s5,2432.0,0.5459155440330505,0.21749436855316162,0.4975938823747681,0.20041175258220567,0.3427306809947014,0.4236774750389678,2.9036975946074186,5.367828018197433
zoom_blur/s5,2560.0,0.5728548169136047,0.21007460355758667,0.5112776886545565,0.2021686345777295,0.3628023753593011,0.4261906613955191,2.8292795511304347,5.354729451967112
zoom_blur/s5,2688.0,0.5272631645202637,0.24235717952251434,0.5141841388119578,0.20947564274950853,0.3579178525667009,0.4353491775054247,2.8077396662846756,5.304464089517835
zoom_blur/s5,2816.0,0.5741056799888611,0.21627748012542725,0.5250789644804856,0.21071234045422102,0.37096687937275524,0.420115236140802,2.739235865404569,5.294438763893498
zoom_blur/s5,2944.0,0.5384100675582886,0.24023965001106262,0.5275028014037225,0.21608094219182855,0.37454108312316337,0.4317988295697471,2.7224518933055317,5.25180268648282
zoom_blur/s5,3072.0,0.5701236128807068,0.27297133207321167,0.5352520398540832,0.2264246494429891,0.38740861346440636,0.4342558605570658,2.678748429755529,5.186835920510091
zoom_blur/s5,3200.0,0.5480657815933228,0.26074206829071045,0.5375818110793995,0.23266418014257478,0.3808911382890597,0.4206411586375992,2.648140545005278,5.127275983607821
zoom_blur/s5,3328.0,0.5836234092712402,0.2403445541858673,0.5459530107506433,0.23406061178680976,0.3926041131455943,0.4222859479762175,2.5960456311551083,5.121069550608547
zoom_blur/s5,3456.0,0.527381420135498,0.24094170331954956,0.5425763579115259,0.23531171933821698,0.3851420016645771,0.41368850288963244,2.62291668056201,5.097357977597511
zoom_blur/s5,3584.0,0.5348344445228577,0.21550863981246948,0.5411687372954044,0.2317111594244447,0.38045709227101765,0.4109155932733356,2.6172538524222726,5.112660420890772
zoom_blur/s5,3712.0,0.5435177087783813,0.2374945878982544,0.541595823019582,0.23276269187422827,0.3808853482217417,0.4072263944963655,2.623511980231704,5.10417306392528
zoom_blur/s5,3840.0,0.6034541130065918,0.30294615030288696,0.552842784835402,0.24552332067943894,0.3798152849086977,0.4212534136788445,2.542679204390348,5.006178628063776
zoom_blur/s5,3968.0,0.5374787449836731,0.3033421039581299,0.5500493230441784,0.25603582673011,0.37609886947075266,0.4171050657372364,2.530145082023388,4.923742107903343
zoom_blur/s5,4096.0,0.5815317630767822,0.3034955859184265,0.5557734030501064,0.26466487385525844,0.38158089320334304,0.42081323560319334,2.508109585653635,4.874333229137047
zoom_blur/s5,4224.0,0.5734891891479492,0.2847176790237427,0.5589944550678959,0.26831083843134645,0.3931684580754624,0.42668810185715816,2.4994231702611325,4.843855386272818
zoom_blur/s5,4352.0,0.5901437401771545,0.2889319956302643,0.5646579614513975,0.27206013974024057,0.39838782933446926,0.4371766287922203,2.4545009224300065,4.803878658437525
zoom_blur/s5,4480.0,0.5976325869560242,0.31048232316970825,0.5706533479067841,0.27904599127287105,0.39981731491002026,0.4272922417390893,2.4239481001023115,4.751583429973609
zoom_blur/s5,4608.0,0.5543239712715149,0.2591232657432556,0.5676843703367351,0.2754236775402137,0.3967255303809256,0.4348300159683458,2.426350960047976,4.76646554426818
zoom_blur/s5,4736.0,0.5751475691795349,0.3231813311576843,0.5690413155808804,0.2841068872888447,0.3956163430389391,0.4381563767013738,2.3881241589068845,4.693585688063791
zoom_blur/s5,4864.0,0.612228274345398,0.3891623020172119,0.5768934899017018,0.30320787178491143,0.4117542806682229,0.45366203548294215,2.351289367888148,4.57567837091139
zoom_blur/s5,4992.0,0.5987435579299927,0.3630833029747009,0.5808662295432092,0.3140943138194186,0.4206966841830914,0.4549848472133163,2.330579185659594,4.499524004772449
zoom_blur/s5,5120.0,0.6067248582839966,0.3539678752422333,0.5855677984051705,0.32134405225993035,0.4109677416043475,0.4574876022654406,2.3220188489081424,4.434573082096315
zoom_blur/s5,5248.0,0.6028122305870056,0.3670847415924072,0.5887031497109587,0.32966054122947164,0.42005315222173883,0.463796674580815,2.2904275658880007,4.3628351157093075
zoom_blur/s5,5376.0,0.6257616877555847,0.37720853090286255,0.5954410657190725,0.33830563026099725,0.4487934881814227,0.46895864283884864,2.251856836662048,4.309472495738812
zoom_blur/s5,5504.0,0.6059855222702026,0.3926710784435272,0.5973582396374597,0.3481902572032754,0.453842399421164,0.48596616232269435,2.2474684116396206,4.233046565075474
zoom_blur/s5,5632.0,0.5932990908622742,0.36396342515945435,0.5966202125874259,0.35105810592258063,0.44945059952640687,0.4814154964458408,2.251401028618452,4.208024312382197
zoom_blur/s5,5760.0,0.5854309797286987,0.3599787950515747,0.5945858066131119,0.3526800494005795,0.4373345814306965,0.4904763152738697,2.244603093308674,4.184097611897579
zoom_blur/s5,5888.0,0.5820135474205017,0.39811834692955017,0.5922999413053646,0.3609415580422105,0.43026238480693346,0.47942380340589336,2.263512775986682,4.120111121909232
zoom_blur/s5,6016.0,0.5956175327301025,0.35667914152145386,0.592903139746226,0.36016657322025475,0.4301578602965819,0.46327856642300363,2.2502977244062508,4.099924933511894
zoom_blur/s5,6144.0,0.6356191635131836,0.40837061405181885,0.6006696895220365,0.36893094428053913,0.44143597660629424,0.4671142816188211,2.1986566612939904,4.02936072642062
zoom_blur/s5,6272.0,0.5826345682144165,0.37989258766174316,0.5973905765570147,0.3709239703498489,0.43645898085969526,0.4659912304153991,2.208884799736809,4.001214207528292
zoom_blur/s5,6400.0,0.5963448286056519,0.3923186659812927,0.5972004405658577,0.3748139150101114,0.4238641661579325,0.4551291885216901,2.2179173807594488,3.973645010849231
zoom_blur/s5,6528.0,0.599223792552948,0.39325058460235596,0.5975683227453287,0.3781660367541559,0.4178206814019448,0.4561852451541101,2.2259928893197647,3.9437866746786456
zoom_blur/s5,6656.0,0.5844886898994446,0.45306023955345154,0.5951902076824407,0.39178316453584594,0.4114555575106821,0.46273110967154457,2.215827073114764,3.837175239709552
zoom_blur/s5,6784.0,0.5964446663856506,0.437245637178421,0.5954182910830242,0.40004906865267775,0.40340681978146714,0.4652459079130819,2.1984195970331957,3.7695731056718955
zoom_blur/s5,6912.0,0.6299992799758911,0.4420381784439087,0.601705743609,0.4076834522510834,0.41244648891210944,0.4602011973834306,2.131060990108847,3.6990916078460967
zoom_blur/s5,7040.0,0.6325170397758484,0.41845279932022095,0.6073077974575178,0.40964151535456295,0.4340471272917259,0.4631759796773523,2.089351821282072,3.6726825572013384
zoom_blur/s5,7168.0,0.594273567199707,0.42919453978538513,0.6049379374106431,0.41319661070562147,0.4304135586932303,0.45282580155419727,2.0887254869438543,3.6493402885003134
zoom_blur/s5,7296.0,0.669428825378418,0.49588608741760254,0.616663553404784,0.4282310610168908,0.4402247298399157,0.46850520127161593,2.033938299159895,3.538324597201828
zoom_blur/s5,7424.0,0.6483553647994995,0.49242186546325684,0.6224257009310958,0.4399021163707755,0.4482520516872037,0.4784928919495039,2.0065296974025184,3.4427751433216036
zoom_blur/s5,7552.0,0.6211101412773132,0.4882930815219879,0.6221865082667717,0.4487004736709959,0.4491380422895303,0.4767214570495941,1.9976421231228123,3.370745702063157
zoom_blur/s5,7680.0,0.6030906438827515,0.4493166506290436,0.6187145329242225,0.4488125058451864,0.45554476187325205,0.4781130103133043,2.0125410151100707,3.376967768892738
zoom_blur/s5,7808.0,0.6498239040374756,0.44813305139541626,0.6243707822175412,0.44868896867250085,0.4536843506235698,0.4678879175290671,2.0016198476566416,3.3696114971083073
zoom_blur/s5,7936.0,0.6011890769004822,0.47510939836502075,0.6201559267053487,0.4534926831620499,0.45074174141928436,0.48366965979650944,2.0051656029777263,3.308962883231992
zoom_blur/s5,8064.0,0.6219788789749146,0.4405229091644287,0.6204873725725424,0.4511345424352097,0.4596977884339599,0.48521835801532587,1.9751775694562521,3.288983828651326
zoom_blur/s5,8192.0,0.6596083641052246,0.5226200222969055,0.6276002801239392,0.46413190241006347,0.45282091780960354,0.49074683837617566,1.9446022862201544,3.192407440186157
zoom_blur/s5,8320.0,0.6229238510131836,0.4606485068798065,0.6267500202856199,0.4634985577681985,0.44719438729876654,0.4910087768532346,1.944996775876848,3.1918521721584803
zoom_blur/s5,8448.0,0.6382790803909302,0.5215338468551636,0.6288462130320399,0.474050428511283,0.4567954077898999,0.4997458174253737,1.9338193332807867,3.1059219403231584
zoom_blur/s5,8576.0,0.6695911884307861,0.4994527995586395,0.6362543903772664,0.47866904142898414,0.471753060919009,0.49837157789348757,1.8828433531785536,3.0611135171081076
zoom_blur/s5,8704.0,0.6527916193008423,0.503218948841095,0.639261159272462,0.48313266095845886,0.45558204984282547,0.4958267455492171,1.8592840686384542,3.0455892741321526
zoom_blur/s5,8832.0,0.657931387424469,0.46302443742752075,0.6426557462091905,0.4794766203164701,0.46365804078049355,0.496585519085723,1.8514720191963994,3.0629413664047553
zoom_blur/s5,8960.0,0.6310915946960449,0.5183806419372559,0.6405531732068004,0.48655007879297657,0.4546406697294947,0.490104061070137,1.8451439784663766,3.00479188884155
zoom_blur/s5,9088.0,0.6534457206726074,0.4917340874671936,0.6428972727460379,0.48749262582465236,0.451524184324132,0.48622150451193025,1.8184453557863436,2.9817316694004106
zoom_blur/s5,9216.0,0.6486725211143494,0.5267369151115417,0.6439473179039127,0.49462795114954133,0.4532356962651989,0.485885776418852,1.797337763222884,2.9277695224726283
zoom_blur/s5,9344.0,0.6875109076499939,0.5571606159210205,0.6518679705850183,0.5059975265625375,0.4560564787624354,0.4898724534336062,1.7827388097314651,2.866532212445201
zoom_blur/s5,9472.0,0.6646682024002075,0.5641937255859375,0.6541952854605072,0.5165786536577012,0.45410302807835623,0.4902933709911323,1.7758656563652062,2.7825084106074636
zoom_blur/s5,9600.0,0.6495165228843689,0.534449577331543,0.6533446013557548,0.5198279125074906,0.4468229320641096,0.4778536671745628,1.7738334663043647,2.737849309440109
zoom_blur/s5,9728.0,0.6309679746627808,0.5819775462150574,0.6492761237752139,0.5311278459088664,0.4508096716888169,0.4733575458700968,1.7913220845024878,2.65382846463457
zoom_blur/s5,9856.0,0.6465559005737305,0.48746156692504883,0.6487815377385805,0.5231885224572632,0.44270791319994107,0.4668379920755337,1.7804192729181398,2.6920313423498263
zoom_blur/s5,9984.0,0.6765795946121216,0.5776376724243164,0.6538357298974061,0.5330883679058183,0.45312465625449727,0.4785492662436185,1.759087803205551,2.6222745385189317
zoom_blur/s5,10112.0,0.6202983856201172,0.5129306316375732,0.6477380309378991,0.5294233249479555,0.45028380966277043,0.4725062178356878,1.7793075406340315,2.6267879502138873
zoom_blur/s5,10240.0,0.6427136063575745,0.4958614110946655,0.6468244991960218,0.5233211587928118,0.45080038972408487,0.4590391782291991,1.7944534825022291,2.6607661000296243
zoom_blur/s5,10368.0,0.7217862606048584,0.5878243446350098,0.6604539103612648,0.5350490107641205,0.45974577341061484,0.4707479640057083,1.7117618382032842,2.588176577042837
zoom_blur/s5,10496.0,0.6794134378433228,0.6082057356834412,0.6639010971761843,0.5483502334767242,0.47984881460868484,0.48458924327739766,1.7183347989258004,2.504607294433197
zoom_blur/s5,10624.0,0.6791868805885315,0.5261772274971008,0.6666803305238838,0.5443187778440653,0.47925130286165124,0.46892528995423444,1.69116214588042,2.5161723124164452
zoom_blur/s5,10752.0,0.6275051832199097,0.55948805809021,0.6595575764686157,0.5470768287979098,0.4730806114322601,0.46605250996255543,1.7265499587066273,2.4859672969453532
zoom_blur/s5,10880.0,0.658612847328186,0.5857740640640259,0.659385807533992,0.5541126897553854,0.47371368208094006,0.47080432633299985,1.7017849701540553,2.4262366554308747
