corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,duo_duo_acc_ema
brightness/s5,128.0,0.6399924755096436,0.44071176648139954,0.6399924755096436,0.44071176648139954,0.65625,0.6875,2.2494611740112305,3.8017477989196777,0.6875
brightness/s5,256.0,0.628265380859375,0.3794879913330078,0.6378602764823219,0.4295801709998737,0.65625,0.6875,2.257342078469016,3.8780856132507324,0.6818181818181819
brightness/s5,384.0,0.6974810361862183,0.4992084503173828,0.648700414610303,0.44223985814851174,0.671875,0.7002840909090909,2.203527649572073,3.807777101343328,0.6927944214876034
brightness/s5,512.0,0.6756126880645752,0.4326447546482086,0.6535935552383525,0.44049529387572933,0.6803977272727273,0.6951188016528925,2.155651060286363,3.829198155521361,0.6975136175807664
brightness/s5,640.0,0.6879152059555054,0.4650633931159973,0.6598338553687438,0.4449622210103235,0.6831095041322314,0.6965744740796392,2.127343975042647,3.817008587760552,0.6971134143842633
brightness/s5,768.0,0.6895395517349243,0.5415714979171753,0.6652348910716858,0.4625275440842965,0.6796464124718257,0.7006063878833411,2.073337665364427,3.6667001353416855,0.6911041572234882
brightness/s5,896.0,0.710236668586731,0.5048379302024841,0.6734170324380576,0.4702203415603306,0.6924379738405846,0.711007499177279,2.0180249250736693,3.6059992400121157,0.701812492273763
brightness/s5,1024.0,0.6735602021217346,0.46946388483047485,0.6734430632896352,0.47008280397308405,0.6972219785968419,0.7124152265995918,2.002522688302684,3.6073484708486463,0.7048920391330789
brightness/s5,1152.0,0.6665709018707275,0.5019611716270447,0.6721935793952883,0.47587887081925867,0.6954543461246888,0.7093056399451205,2.005365291394934,3.5621242758592526,0.7017298501997917
brightness/s5,1280.0,0.6784254312515259,0.4648036062717438,0.6733266433691496,0.4738651863560741,0.6812240104656544,0.711022796318735,1.9895060055565925,3.5717354880376746,0.6877789683452841
brightness/s5,1408.0,0.6834604740142822,0.4994688630104065,0.6751691580319009,0.4785204002932254,0.6937287358355354,0.7237913788062377,1.957085197062283,3.531798796215173,0.7005123377370506
brightness/s5,1536.0,0.6791012287139893,0.5038725137710571,0.6758840799740987,0.48312987547101294,0.6840735111381653,0.712931582659649,1.9491231752181504,3.48850892594607,0.6924646399666776
brightness/s5,1664.0,0.6867120862007141,0.5352799892425537,0.6778528083789378,0.4926117143385658,0.694639690931226,0.7012053858124401,1.936790318332839,3.4013032150091203,0.7000847054272816
brightness/s5,1792.0,0.696666955947876,0.48431485891342163,0.6812735624823811,0.4911031951703577,0.6976029289437303,0.6987134974829055,1.9020633353775696,3.4142318881496623,0.7020579408041395
brightness/s5,1920.0,0.696000337600708,0.4927363693714142,0.6839511579584405,0.4914001359341862,0.695766032772143,0.7009360433951044,1.8753538067221063,3.405138756763786,0.6994110424761141
brightness/s5,2048.0,0.6894479393959045,0.5524705052375793,0.6849505727652522,0.502503839443894,0.7027858449953897,0.7084363082323581,1.8449771784987843,3.302675419990461,0.7043476711168205
brightness/s5,2176.0,0.7266678810119629,0.5234098434448242,0.6925355379010177,0.5063049310804267,0.7085293277235006,0.713152434008293,1.8122196725753323,3.2766448914551525,0.7098071854592167
