corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,duo_duo_acc_ema
gaussian_noise/s5,128.0,0.3493272066116333,0.04085154831409454,0.3493272066116333,0.04085154831409454,0.3828125,0.1171875,4.13658332824707,6.624354839324951,0.3828125
gaussian_noise/s5,256.0,0.3153272271156311,0.03884273022413254,0.3431453921578147,0.040486308661374176,0.3586647727272727,0.11576704545454544,4.171999671242454,6.621327096765691,0.3586647727272727
gaussian_noise/s5,384.0,0.34601420164108276,0.05348174273967743,0.34366699388204525,0.04284911485742931,0.3587939049586777,0.13022985537190082,4.161411506085356,6.602025130563531,0.3587939049586777
gaussian_noise/s5,512.0,0.3589053153991699,0.05044400691986084,0.3464375977942497,0.04423000432332595,0.35605864951164534,0.1463244271224643,4.137695319665096,6.584462246439852,0.35605864951164534
gaussian_noise/s5,640.0,0.38107651472091675,0.04999430105090141,0.3527355826900073,0.04527805827379421,0.34955934960043705,0.14528816764565258,4.080900284820759,6.571345915422112,0.34955934960043705
gaussian_noise/s5,768.0,0.3772611618041992,0.052114080637693405,0.35719477889258766,0.046520971430866795,0.3513440133094484,0.15438350080098848,4.0372820657821915,6.559295006794228,0.3513440133094484
gaussian_noise/s5,896.0,0.40074676275253296,0.05280650779604912,0.3651133214125777,0.04766379622453631,0.36842919270773056,0.15472286429171783,3.9759241637044944,6.547906085742463,0.36842919270773056
gaussian_noise/s5,1024.0,0.38435083627700806,0.06269308924674988,0.36861105138792866,0.050396394955847856,0.36394206676087043,0.15926188896595095,3.935466887987781,6.52510907830944,0.36394206676087043
gaussian_noise/s5,1152.0,0.4065253734588623,0.05309908837080002,0.37550456449173475,0.050887793758566426,0.37305487280434857,0.1587142727903235,3.8778303447938463,6.520297396579794,0.37305487280434857
gaussian_noise/s5,1280.0,0.3958066403865814,0.058416515588760376,0.3791958510180705,0.05225665227314714,0.35636307774901244,0.15542531410117377,3.827408615858162,6.507638434171199,0.35636307774901244
gaussian_noise/s5,1408.0,0.4402122497558594,0.06011856347322464,0.3902897416976685,0.05368609067316123,0.3597516090673738,0.16267752971914218,3.7475218643742294,6.4976551150188,0.3597516090673738
