global_idx,corruption,n,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l,cmp_fixed_ts_acc,cmp_coca_ts_acc,cmp_proxy_weighted_nuclear_norm_acc
0,snow/s5,128,0.421875,3.2301535606384277,3.085954189300537,0.421875,3.2301535606384277,3.085954189300537,0.4765625,3.238313674926758,5.411016464233398,0.4765625,3.238313674926758,5.411016464233398,0.421875,3.8753154277801514,1.0162522792816162,0.421875,3.8753154277801514,1.0162522792816162,0.9237905144691467,0.515625,0.515625,0.515625
1,snow/s5,128,0.34375,3.6011602878570557,3.3354876041412354,0.3828125,3.4156569242477417,3.2107208967208862,0.3828125,3.5381195545196533,5.5996479988098145,0.4296875,3.3882166147232056,5.5053322315216064,0.34375,4.530183792114258,1.1096009016036987,0.3828125,4.202749609947205,1.0629265904426575,0.9759771823883057,0.4375,0.4296875,0.4296875
2,snow/s5,128,0.3984375,3.0075087547302246,3.1191887855529785,0.3880208333333333,3.2796075344085693,3.1802101929982505,0.5234375,2.92006778717041,5.2469329833984375,0.4609375,3.2321670055389404,5.419199148813884,0.40625,3.6786603927612305,1.0115444660186768,0.390625,4.028053204218547,1.0457992156346638,0.9808469414710999,0.484375,0.5078125,0.484375
3,snow/s5,128,0.4921875,2.7682089805603027,2.754767894744873,0.4140625,3.1517578959465027,3.073849618434906,0.5,3.165391445159912,5.418747901916504,0.470703125,3.2154731154441833,5.419086337089539,0.4921875,3.5469956398010254,0.7825356721878052,0.416015625,3.9077888131141663,0.9799833297729492,0.9910838603973389,0.578125,0.5703125,0.578125
4,snow/s5,128,0.390625,3.008303642272949,3.1811623573303223,0.409375,3.123067045211792,3.095312166213989,0.5,2.995715379714966,5.287285804748535,0.4765625,3.1715215682983398,5.392726230621338,0.3984375,3.6499226093292236,1.0839391946792603,0.4125,3.856215572357178,1.0007745027542114,0.987428605556488,0.5859375,0.5625,0.578125
5,snow/s5,128,0.4375,3.1270294189453125,3.1989169120788574,0.4140625,3.1237274408340454,3.112579623858134,0.4921875,2.988157033920288,5.119597434997559,0.4791666666666667,3.1409608125686646,5.347204764684041,0.4375,3.856627941131592,0.9942834377288818,0.4166666666666667,3.8562843004862466,0.9996926585833231,0.9816386699676514,0.515625,0.4921875,0.515625
6,snow/s5,128,0.4375,2.9355249404907227,2.777585029602051,0.4174107142857143,3.096841369356428,3.064723253250122,0.5078125,2.854726791381836,5.1439104080200195,0.48325892857142855,3.1000702381134033,5.318162713732038,0.4375,3.774770736694336,0.8160440921783447,0.41964285714285715,3.8446395056588307,0.9734571490968976,0.9879153966903687,0.53125,0.5234375,0.53125
7,snow/s5,128,0.3671875,3.4109480381011963,3.0556015968322754,0.4111328125,3.136104702949524,3.0635830461978912,0.4375,3.3012044429779053,5.337447166442871,0.4775390625,3.125212013721466,5.320573270320892,0.3828125,4.400548934936523,0.9834888577461243,0.4150390625,3.9141281843185425,0.974711112678051,0.9876337051391602,0.484375,0.484375,0.484375
8,snow/s5,128,0.375,3.411083936691284,3.010136127471924,0.4071180555555556,3.166657951143053,3.057644499672784,0.4296875,3.3660387992858887,5.349184036254883,0.4722222222222222,3.151970545450846,5.323752244313558,0.375,4.444381237030029,0.9345185160636902,0.4105902777777778,3.9730451901753745,0.9702452686097887,0.9888151288032532,0.5078125,0.515625,0.5
9,snow/s5,128,0.4375,2.8589508533477783,2.7917332649230957,0.41015625,3.1358872413635255,3.031053376197815,0.4765625,2.8348097801208496,5.052796363830566,0.47265625,3.120254468917847,5.296656656265259,0.4375,3.6491763591766357,0.8357812762260437,0.41328125,3.9406583070755006,0.9567988693714142,0.9891622066497803,0.59375,0.6015625,0.59375
10,snow/s5,128,0.46875,2.809465169906616,2.83433198928833,0.41548295454545453,3.1062125075947153,3.013169613751498,0.5390625,2.5361328125,4.84546422958374,0.4786931818181818,3.067152500152588,5.255639162930575,0.46875,3.537320613861084,0.8227372169494629,0.41832386363636365,3.9039912440560083,0.9446114464239641,0.987004816532135,0.5703125,0.5703125,0.5703125
11,snow/s5,128,0.3515625,3.4262306690216064,2.9529356956481934,0.41015625,3.132880687713623,3.008150120576223,0.3984375,3.3791277408599854,5.20844841003418,0.4720052083333333,3.0931504368782043,5.251706600189209,0.3515625,4.45323371887207,1.0145573616027832,0.4127604166666667,3.94976145029068,0.9504402726888657,0.9868331551551819,0.421875,0.4375,0.421875
12,snow/s5,128,0.46875,2.9155001640319824,2.7995121479034424,0.41466346153846156,3.1161591089688816,2.9921010457552395,0.4765625,3.0544304847717285,4.87232780456543,0.4723557692307692,3.09017197902386,5.222523615910457,0.46875,3.716395616531372,0.8475147485733032,0.4170673076923077,3.9318102323091946,0.9425229246799762,0.9856564998626709,0.5546875,0.5546875,0.5546875
