global_idx,corruption,n,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l,cmp_fixed_ts_acc,cmp_nuclear_norm_identity_pbs128_acc
0,brightness/s5,64.0,0.703125,1.3680121898651123,2.1300668716430664,0.703125,1.3680121898651123,2.1300668716430664,0.71875,1.4790260791778564,3.706886053085327,0.71875,1.4790260791778564,3.706886053085327,0.734375,1.0273200273513794,0.6085026264190674,0.734375,1.0273200273513794,0.6085026264190674,0.5,0.734375,0.734375
1,brightness/s5,64.0,0.609375,1.7205101251602173,2.347465991973877,0.65625,1.5442611575126648,2.2387664318084717,0.625,1.6661198139190674,3.6263279914855957,0.671875,1.572572946548462,3.6666070222854614,0.671875,1.6923466920852661,0.7244686484336853,0.703125,1.3598333597183228,0.6664856374263763,0.8168491721153259,0.671875,0.65625
2,brightness/s5,64.0,0.703125,1.396743893623352,2.122129440307617,0.671875,1.4950887362162273,2.19988743464152,0.6875,1.7577580213546753,4.467220783233643,0.6770833333333334,1.6343013048171997,3.933478275934855,0.703125,1.3875975608825684,0.44462350010871887,0.703125,1.369088093439738,0.5925315916538239,0.8168491721153259,0.734375,0.71875
3,brightness/s5,64.0,0.609375,1.8020926713943481,2.472839832305908,0.65625,1.5718397200107574,2.268125534057617,0.5625,1.9647748470306396,4.076651096343994,0.6484375,1.7169196903705597,3.96927148103714,0.609375,2.0085082054138184,0.6956923007965088,0.6796875,1.528943121433258,0.6183217689394951,0.9449813365936279,0.671875,0.671875
4,brightness/s5,64.0,0.734375,1.2585269212722778,1.9167883396148682,0.671875,1.5091771602630615,2.1978580951690674,0.75,1.4256770610809326,3.787357807159424,0.66875,1.6586711645126342,3.9328887462615967,0.734375,1.4233109951019287,0.36677390336990356,0.690625,1.507816696166992,0.5680121958255768,0.9449813365936279,0.796875,0.78125
5,brightness/s5,64.0,0.75,1.2266737222671509,2.039144992828369,0.6848958333333334,1.4620932539304097,2.1714059114456177,0.734375,1.3391298055648804,3.46028470993042,0.6796875,1.6054142713546753,3.8541214068730674,0.75,1.3427084684371948,0.40101149678230286,0.7005208333333334,1.4802986582120259,0.5401787459850311,0.9617666006088257,0.828125,0.78125
6,brightness/s5,64.0,0.734375,1.2775988578796387,1.9507431983947754,0.6919642857142857,1.4357369116374425,2.139882666724069,0.796875,1.344403862953186,3.01737642288208,0.6964285714285714,1.5681270701544625,3.734586409160069,0.734375,1.4555168151855469,0.4220871329307556,0.7053571428571429,1.476758394922529,0.523308515548706,0.9617666006088257,0.78125,0.78125
7,brightness/s5,64.0,0.703125,1.3468399047851562,1.9676134586334229,0.693359375,1.4246247857809067,2.118349015712738,0.59375,2.0769779682159424,4.231021404266357,0.68359375,1.6317334324121475,3.796640783548355,0.703125,1.550506591796875,0.4553356468677521,0.705078125,1.4859769195318222,0.5148119069635868,0.9649609327316284,0.765625,0.765625
8,brightness/s5,64.0,0.765625,1.0428520441055298,1.8512051105499268,0.7013888888888888,1.3822055922614203,2.0886663595835366,0.78125,1.3588255643844604,3.5293684005737305,0.6944444444444444,1.6014103359646268,3.76694385210673,0.765625,1.1459715366363525,0.30868014693260193,0.7118055555555556,1.4481985436545477,0.49190837807125515,0.9649609327316284,0.8125,0.75
9,brightness/s5,64.0,0.625,1.4166975021362305,2.216154098510742,0.69375,1.3856547832489015,2.1014151334762574,0.609375,1.9434689283370972,4.390934944152832,0.6859375,1.6356161952018737,3.8293429613113403,0.625,1.5893068313598633,0.4912501275539398,0.703125,1.4623093724250793,0.4918425530195236,0.9761584401130676,0.703125,0.65625
10,brightness/s5,64.0,0.71875,1.1695023775100708,1.8806066513061523,0.6960227272727273,1.3660045645453713,2.0813416350971568,0.71875,1.5468623638153076,3.007524013519287,0.6889204545454546,1.6275476650758223,3.754632147875699,0.71875,1.3331061601638794,0.38777482509613037,0.7045454545454546,1.4505636258558794,0.4823818504810333,0.9761584401130676,0.765625,0.765625
11,brightness/s5,64.0,0.609375,1.6332852840423584,1.8606735467910767,0.6888020833333334,1.388277957836787,2.062952627738317,0.734375,1.5370635986328125,3.184586524963379,0.6927083333333334,1.6200073262055714,3.707128345966339,0.609375,2.0778024196624756,0.34769207239151,0.6966145833333334,1.5028335253397624,0.4711577023069064,0.9601426720619202,0.71875,0.640625
12,brightness/s5,64.0,0.71875,1.3514691591262817,1.902213454246521,0.6911057692307693,1.3854465117821326,2.050588075931256,0.75,1.483845829963684,3.7597579956054688,0.6971153846153846,1.6095333649561956,3.7111767805539646,0.71875,1.6019941568374634,0.3510245084762573,0.6983173076923077,1.510461266224201,0.46191668739685643,0.9601426720619202,0.765625,0.734375
13,brightness/s5,64.0,0.78125,0.9983461499214172,1.7429089546203613,0.6975446428571429,1.3577964859349387,2.0286109958376204,0.796875,1.218324065208435,3.3308587074279785,0.7042410714285714,1.5815898435456412,3.6840112039021085,0.78125,1.117861032485962,0.28804469108581543,0.7042410714285714,1.4824183923857552,0.44949725908892496,0.970646858215332,0.828125,0.8125
14,brightness/s5,64.0,0.6875,1.4691005945205688,2.118420124053955,0.696875,1.3652167598406473,2.0345982710520425,0.6875,1.6743913888931274,3.8968007564544678,0.703125,1.5877766132354736,3.6981971740722654,0.6875,1.6534242630004883,0.5360291600227356,0.703125,1.4938187837600707,0.45526605248451235,0.970646858215332,0.734375,0.734375
15,brightness/s5,64.0,0.734375,1.1149896383285522,1.8582417964935303,0.69921875,1.3495775647461414,2.0235759913921356,0.75,1.457160234451294,3.5793886184692383,0.7060546875,1.5796130895614624,3.6907716393470764,0.734375,1.2579548358917236,0.32418861985206604,0.705078125,1.479077287018299,0.44707371294498444,0.9701177477836609,0.765625,0.75
16,brightness/s5,64.0,0.609375,1.802083969116211,2.4072346687316895,0.6939338235294118,1.376195588532616,2.0461441488826977,0.640625,2.033219337463379,4.22121524810791,0.7022058823529411,1.606295810026281,3.7219742045683017,0.609375,2.0668885707855225,0.627366304397583,0.6994485294117647,1.5136544213575476,0.4576791595010197,0.9701177477836609,0.65625,0.65625
17,brightness/s5,64.0,0.765625,1.1375036239624023,1.7507688999176025,0.6979166666666666,1.362934923834271,2.029734412829081,0.71875,1.3435102701187134,3.158937931060791,0.703125,1.5916966133647494,3.6906944115956626,0.765625,1.3222492933273315,0.32758164405822754,0.703125,1.5030208031336467,0.45045151975419784,0.9672073721885681,0.796875,0.78125
18,brightness/s5,64.0,0.640625,1.5215436220169067,1.95878005027771,0.6949013157894737,1.3712827500544096,2.0259999726947986,0.75,1.5358110666275024,3.828416347503662,0.7055921052631579,1.5887552687996311,3.697942934538189,0.640625,1.8383253812789917,0.4352770149707794,0.6998355263157895,1.5206684125097174,0.4496528616077022,0.9672073721885681,0.6875,0.65625
19,brightness/s5,64.0,0.59375,1.6503627300262451,2.022552251815796,0.68984375,1.3852367490530013,2.0258275866508484,0.65625,1.7491637468338013,3.4786763191223145,0.703125,1.5967756927013397,3.686979603767395,0.609375,1.980539083480835,0.5320053100585938,0.6953125,1.5436619460582732,0.4537704840302467,0.9672533273696899,0.703125,0.671875
20,brightness/s5,64.0,0.671875,1.4794750213623047,1.897491693496704,0.6889880952380952,1.3897242858296348,2.019716353643508,0.671875,1.587046504020691,4.065181255340576,0.7016369047619048,1.596312398002261,3.704989206223261,0.671875,1.8198100328445435,0.36564362049102783,0.6941964285714286,1.5568118549528576,0.44957396671885536,0.9672533273696899,0.71875,0.703125
21,brightness/s5,64.0,0.828125,0.6385592222213745,1.8902990818023682,0.6953125,1.3555804193019867,2.013833750378002,0.84375,1.0674524307250977,3.3025336265563965,0.7080965909090909,1.572273308580572,3.686695770783858,0.828125,0.40647920966148376,0.4230837821960449,0.7002840909090909,1.5045240074396133,0.44836986742236395,0.9704455733299255,0.90625,0.90625
22,brightness/s5,64.0,0.65625,1.5203468799591064,2.064183235168457,0.6936141304347826,1.362744178460992,2.0160228584123696,0.6875,1.7913554906845093,4.0248494148254395,0.7072010869565217,1.5817986208459605,3.7013981031334917,0.65625,1.7490112781524658,0.584968626499176,0.6983695652173914,1.5151538887749547,0.4543089439039645,0.9704455733299255,0.734375,0.6875
23,brightness/s5,64.0,0.625,1.5336552858352661,1.89987313747406,0.6907552083333334,1.3698654746015866,2.0111832867066064,0.671875,1.7448546886444092,3.8577067852020264,0.7057291666666666,1.5885926236708958,3.7079109648863473,0.640625,1.8706339597702026,0.44250622391700745,0.6959635416666666,1.5299655583997567,0.45381716390450794,0.978371262550354,0.71875,0.6875
24,brightness/s5,64.0,0.6875,1.6986151933670044,2.0230329036712646,0.690625,1.3830154633522034,2.011657271385193,0.640625,1.7038061618804932,3.4908149242401123,0.703125,1.5932011651992797,3.699227123260498,0.6875,2.097623348236084,0.5021713972091675,0.695625,1.5526718699932098,0.4557513332366943,0.978371262550354,0.734375,0.71875
25,brightness/s5,64.0,0.75,1.1229760646820068,1.894758939743042,0.6929086538461539,1.3730139480187342,2.007161181706649,0.703125,1.5355854034423828,3.1808507442474365,0.703125,1.590985174362476,3.6792895702215342,0.75,1.1853530406951904,0.47821614146232605,0.6977163461538461,1.5385442227125168,0.45661536432229555,0.9689690470695496,0.78125,0.796875
26,brightness/s5,64.0,0.734375,1.2672464847564697,1.897112488746643,0.6944444444444444,1.3690966345645763,2.0030853041896113,0.6875,1.5770387649536133,3.2967402935028076,0.7025462962962963,1.5904686406806663,3.665121078491211,0.75,1.4217389822006226,0.49269524216651917,0.6996527777777778,1.5342181026935577,0.4579516560943038,0.9689690470695496,0.734375,0.75
