corruption,n_refreshes,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc,n
brightness/s5,1,0.6412286758422852,0.45837876200675964,0.6412286758422852,0.45837876200675964,0.29035046820836025,-0.08343555031598432,0.5233446359634399,0.47665536403656006,0.65625,0.671875,0.703125,128
brightness/s5,2,0.6276370286941528,0.37148112058639526,0.6276370286941528,0.37148112058639526,0.4062216899599813,-0.30465178664520753,0.5443130135536194,0.4556869864463806,0.65625,0.625,0.703125,128
brightness/s5,3,0.6954902410507202,0.4810732901096344,0.6954902410507202,0.4810732901096344,0.6160677669675686,-0.19019740848324346,0.5502216815948486,0.44977831840515137,0.7421875,0.7421875,0.796875,128
brightness/s5,4,0.6732807159423828,0.4679226875305176,0.6732807159423828,0.4679226875305176,0.6695643886649623,-0.15934156338522415,0.5516220331192017,0.44837796688079834,0.71875,0.6953125,0.78125,128
brightness/s5,5,0.6838414072990417,0.43641889095306396,0.6838414072990417,0.43641889095306396,0.7205232277021776,-0.2075251416481849,0.5577442049980164,0.44225579500198364,0.6953125,0.6953125,0.75,128
brightness/s5,6,0.6847144365310669,0.5281410217285156,0.6847144365310669,0.5281410217285156,0.7480231596085365,-0.04742098654553627,0.5495520830154419,0.4504479169845581,0.6640625,0.7265625,0.7265625,128
brightness/s5,7,0.7037123441696167,0.477814644575119,0.7037123441696167,0.477814644575119,0.8065310187871236,-0.0681103569939113,0.5544483065605164,0.44555169343948364,0.75,0.7734375,0.796875,128
brightness/s5,8,0.6666195392608643,0.4569815397262573,0.6666195392608643,0.4569815397262573,0.7497330667578739,-0.1203053387823077,0.5541639924049377,0.44583600759506226,0.7109375,0.71875,0.75,128
brightness/s5,9,0.6588950157165527,0.4591682255268097,0.6588950157165527,0.4591682255268097,0.7040534891985738,-0.1419984845141858,0.5526819825172424,0.44731801748275757,0.6875,0.6796875,0.734375,128
brightness/s5,10,0.6693167090415955,0.464638888835907,0.6693167090415955,0.464638888835907,0.7045748757577772,-0.1418397285571108,0.552704393863678,0.447295606136322,0.6171875,0.703125,0.6953125,128
brightness/s5,11,0.673600435256958,0.4564031958580017,0.673600435256958,0.4564031958580017,0.7145448476348887,-0.15833545573672708,0.5543395280838013,0.44566047191619873,0.75,0.7578125,0.8125,128
brightness/s5,12,0.6702158451080322,0.4197274446487427,0.6702158451080322,0.4197274446487427,0.7118531503208395,-0.24111390630300708,0.5592803359031677,0.4407196640968323,0.640625,0.6796875,0.7265625,128
brightness/s5,13,0.6770965456962585,0.493201345205307,0.6770965456962585,0.493201345205307,0.7261568228631298,-0.13415510082167498,0.5535631775856018,0.4464368224143982,0.71875,0.671875,0.7578125,128
brightness/s5,14,0.6876604557037354,0.46586400270462036,0.6876604557037354,0.46586400270462036,0.7576805681137347,-0.13545591604895063,0.5555902719497681,0.44440972805023193,0.6953125,0.6953125,0.71875,128
brightness/s5,15,0.6848654747009277,0.4770137667655945,0.6848654747009277,0.4770137667655945,0.7669516938452325,-0.11373285273209702,0.5548214912414551,0.4451785087585449,0.6875,0.703125,0.71875,128
brightness/s5,16,0.6773837208747864,0.48717227578163147,0.6773837208747864,0.48717227578163147,0.7543629877427774,-0.08252750584955837,0.5521156787872314,0.44788432121276855,0.7265625,0.7109375,0.796875,128
brightness/s5,17,0.715029239654541,0.4542517066001892,0.715029239654541,0.4542517066001892,0.8371499222480274,-0.13301695498493754,0.5603399276733398,0.43966007232666016,0.7265625,0.7109375,0.7265625,128
brightness/s5,18,0.7153333425521851,0.5289453864097595,0.7153333425521851,0.5289453864097595,0.8792898484611589,-0.008552903736275742,0.5552634596824646,0.4447365403175354,0.6640625,0.734375,0.7734375,128
brightness/s5,19,0.7275208830833435,0.5321609973907471,0.7275208830833435,0.5321609973907471,0.9306852881827887,0.06013447064203492,0.5541956424713135,0.4458043575286865,0.78125,0.71875,0.796875,128
brightness/s5,20,0.6867221593856812,0.5358198881149292,0.6867221593856812,0.5358198881149292,0.8577623030918036,0.10182994826643511,0.5471056699752808,0.45289433002471924,0.7109375,0.7265625,0.7578125,128
brightness/s5,21,0.7124480605125427,0.5006245374679565,0.7124480605125427,0.5006245374679565,0.8825329060219371,0.05216404971872855,0.5517124533653259,0.4482875466346741,0.703125,0.7109375,0.7578125,128
brightness/s5,22,0.6977323293685913,0.5418472290039062,0.6977323293685913,0.5418472290039062,0.8595277507713805,0.10997272824927737,0.5467106103897095,0.4532893896102905,0.671875,0.703125,0.703125,128
brightness/s5,23,0.7089704275131226,0.5304654836654663,0.7089704275131226,0.5304654836654663,0.8749583403112868,0.11599290362124398,0.5472935438156128,0.4527064561843872,0.6796875,0.6484375,0.703125,128
brightness/s5,24,0.6940060257911682,0.4828774333000183,0.6940060257911682,0.4828774333000183,0.8469367869230586,0.023737922227811133,0.5512691140174866,0.4487308859825134,0.6796875,0.640625,0.6796875,128
brightness/s5,25,0.6910869479179382,0.5219802856445312,0.6910869479179382,0.5219802856445312,0.8260712897176212,0.05585788368515417,0.5479901432991028,0.4520098567008972,0.703125,0.71875,0.7421875,128
brightness/s5,26,0.7459093332290649,0.5831315517425537,0.7459093332290649,0.5831315517425537,0.9514920930963112,0.19574999528629644,0.5470938682556152,0.45290613174438477,0.7421875,0.7578125,0.78125,128
brightness/s5,27,0.697291374206543,0.5443325042724609,0.697291374206543,0.5443325042724609,0.8929623725849263,0.1867734545058276,0.5440225005149841,0.45597749948501587,0.71875,0.71875,0.75,128
brightness/s5,28,0.728396475315094,0.5903110504150391,0.728396475315094,0.5903110504150391,0.9397322542000122,0.27601242217696986,0.5413876175880432,0.4586123824119568,0.7421875,0.75,0.796875,128
