corruption,batch_in_corruption,r_l,r_s,pred_l,pred_s,anchor,tau,acc_l,acc_s,duo_acc,true_better,anchor_correct
contrast/s5,1,0.1889098733663559,0.2374948263168335,0.1889098733663559,0.2374948263168335,small,1.416974663734436,0.171875,0.1953125,0.296875,small,True
contrast/s5,2,0.18851298093795776,0.22661179304122925,0.18851298093795776,0.22661179304122925,small,1.4814448356628418,0.171875,0.203125,0.3828125,small,True
contrast/s5,3,0.1863662600517273,0.2563907504081726,0.1863662600517273,0.2563907504081726,small,1.4644801616668701,0.140625,0.2421875,0.3046875,small,True
contrast/s5,4,0.20392802357673645,0.2378203272819519,0.20392802357673645,0.2378203272819519,small,1.4414914846420288,0.1875,0.171875,0.2890625,large,False
contrast/s5,5,0.2196541279554367,0.2508203983306885,0.2196541279554367,0.2508203983306885,small,1.4645916223526,0.1953125,0.2109375,0.3203125,small,True
contrast/s5,6,0.23415379226207733,0.2385275959968567,0.23415379226207733,0.2385275959968567,small,1.4518285989761353,0.1484375,0.1875,0.296875,small,True
contrast/s5,7,0.18774333596229553,0.2539271116256714,0.18774333596229553,0.2539271116256714,small,1.4817395210266113,0.1328125,0.2578125,0.328125,small,True
contrast/s5,8,0.20402219891548157,0.23670069873332977,0.20402219891548157,0.23670069873332977,small,1.459052324295044,0.171875,0.2265625,0.296875,small,True
contrast/s5,9,0.21711385250091553,0.24854275584220886,0.21711385250091553,0.24854275584220886,small,1.441549301147461,0.2109375,0.1875,0.3515625,large,False
contrast/s5,10,0.1907694786787033,0.25355061888694763,0.1907694786787033,0.25355061888694763,small,1.4461662769317627,0.15625,0.203125,0.2890625,small,True
contrast/s5,11,0.19950303435325623,0.2628769874572754,0.19950303435325623,0.2628769874572754,small,1.4582065343856812,0.1640625,0.2109375,0.296875,small,True
contrast/s5,12,0.23652908205986023,0.2500617504119873,0.23652908205986023,0.2500617504119873,small,1.440030574798584,0.2421875,0.21875,0.3125,large,False
contrast/s5,13,0.16889896988868713,0.25110337138175964,0.16889896988868713,0.25110337138175964,small,1.4747289419174194,0.1796875,0.1953125,0.3203125,small,True
contrast/s5,14,0.22034184634685516,0.296316921710968,0.22034184634685516,0.296316921710968,small,1.4664289951324463,0.2109375,0.21875,0.34375,small,True
contrast/s5,15,0.23678097128868103,0.2705342173576355,0.23678097128868103,0.2705342173576355,small,1.4626291990280151,0.1796875,0.21875,0.3359375,small,True
