corruption,batch_in_corruption,r_l,r_s,pred_l,pred_s,anchor,tau,acc_l,acc_s,duo_acc,true_better,anchor_correct
brightness/s5,1,0.8485560417175293,0.7537569403648376,0.8485560417175293,0.7537569403648376,large,0.9896366000175476,0.65625,0.6875,0.7109375,small,False
brightness/s5,2,0.817669153213501,0.7128962278366089,0.817669153213501,0.7128962278366089,large,1.006127953529358,0.65625,0.6875,0.7109375,small,False
brightness/s5,3,0.801160454750061,0.7116994261741638,0.801160454750061,0.7116994261741638,large,0.9386839270591736,0.734375,0.7421875,0.8046875,small,False
brightness/s5,4,0.7698315382003784,0.6892619132995605,0.7698315382003784,0.6892619132995605,large,0.9672512412071228,0.7109375,0.671875,0.7578125,large,True
brightness/s5,5,0.7467417120933533,0.6658748984336853,0.7467417120933533,0.6658748984336853,large,0.9275882840156555,0.6875,0.7109375,0.75,small,False
brightness/s5,6,0.7261201739311218,0.6558546423912048,0.7261201739311218,0.6558546423912048,large,1.2321312427520752,0.6640625,0.71875,0.75,small,False
brightness/s5,7,0.7085238099098206,0.6434511542320251,0.7085238099098206,0.6434511542320251,large,0.9370805621147156,0.75,0.7578125,0.8046875,small,False
brightness/s5,8,0.6956543326377869,0.6293023228645325,0.6956543326377869,0.6293023228645325,large,0.9743197560310364,0.703125,0.71875,0.75,small,False
brightness/s5,9,0.7142235636711121,0.6482883095741272,0.7142235636711121,0.6482883095741272,large,0.9586570858955383,0.6875,0.703125,0.734375,small,False
brightness/s5,10,0.7343345880508423,0.6655976176261902,0.7343345880508423,0.6655976176261902,large,0.9781007170677185,0.6171875,0.734375,0.703125,small,False
brightness/s5,11,0.7490769624710083,0.6780362129211426,0.7490769624710083,0.6780362129211426,large,0.9790971875190735,0.75,0.765625,0.828125,small,False
brightness/s5,12,0.763388991355896,0.6891054511070251,0.763388991355896,0.6891054511070251,large,1.0963892936706543,0.640625,0.65625,0.71875,small,False
brightness/s5,13,0.7735232710838318,0.6993829607963562,0.7735232710838318,0.6993829607963562,large,1.2595099210739136,0.7265625,0.65625,0.765625,large,True
brightness/s5,14,0.7848623394966125,0.7056638598442078,0.7848623394966125,0.7056638598442078,large,1.1779890060424805,0.6640625,0.6796875,0.734375,small,False
brightness/s5,15,0.7913118004798889,0.7107441425323486,0.7913118004798889,0.7107441425323486,large,1.2565782070159912,0.671875,0.703125,0.7109375,small,False
brightness/s5,16,0.7978602051734924,0.7190077304840088,0.7978602051734924,0.7190077304840088,large,1.1616976261138916,0.7109375,0.734375,0.7890625,small,False
brightness/s5,17,0.8048537969589233,0.7226907014846802,0.8048537969589233,0.7226907014846802,large,0.9153828024864197,0.7109375,0.7265625,0.734375,small,False
brightness/s5,18,0.8091277480125427,0.7274672985076904,0.8091277480125427,0.7274672985076904,large,1.0757359266281128,0.65625,0.7265625,0.765625,small,False
brightness/s5,19,0.8162596225738525,0.7333264946937561,0.8162596225738525,0.7333264946937561,large,0.9734193086624146,0.75,0.75,0.7890625,tie,False
brightness/s5,20,0.819732129573822,0.7377511262893677,0.819732129573822,0.7377511262893677,large,1.3433048725128174,0.703125,0.7109375,0.7578125,small,False
brightness/s5,21,0.824639618396759,0.7402522563934326,0.824639618396759,0.7402522563934326,large,1.029674768447876,0.6796875,0.71875,0.75,small,False
brightness/s5,22,0.8281481266021729,0.7437248826026917,0.8281481266021729,0.7437248826026917,large,1.0341273546218872,0.6796875,0.6953125,0.703125,small,False
brightness/s5,23,0.8302263617515564,0.7454795241355896,0.8302263617515564,0.7454795241355896,large,1.2756565809249878,0.6640625,0.6640625,0.6953125,tie,False
brightness/s5,24,0.8325538635253906,0.7474898099899292,0.8325538635253906,0.7474898099899292,large,1.0756274461746216,0.640625,0.6484375,0.6875,small,False
brightness/s5,25,0.8353579640388489,0.751538872718811,0.8353579640388489,0.751538872718811,large,0.971331775188446,0.6796875,0.7265625,0.7421875,small,False
brightness/s5,26,0.8380042314529419,0.753654956817627,0.8380042314529419,0.753654956817627,large,0.9350612163543701,0.7265625,0.75,0.7890625,small,False
brightness/s5,27,0.8395721912384033,0.7566069960594177,0.8395721912384033,0.7566069960594177,large,0.8756993412971497,0.7265625,0.7265625,0.7578125,tie,False
brightness/s5,28,0.8420694470405579,0.7598244547843933,0.8420694470405579,0.7598244547843933,large,1.208816647529602,0.7734375,0.75,0.796875,large,True
brightness/s5,29,0.8446259498596191,0.762098491191864,0.8446259498596191,0.762098491191864,large,1.022209644317627,0.6796875,0.671875,0.71875,large,True
brightness/s5,30,0.8463575839996338,0.7643532752990723,0.8463575839996338,0.7643532752990723,large,0.9756819009780884,0.7265625,0.7421875,0.75,small,False
brightness/s5,31,0.8479758501052856,0.765738308429718,0.8479758501052856,0.765738308429718,large,1.1145002841949463,0.7109375,0.78125,0.8203125,small,False
brightness/s5,32,0.8511771559715271,0.7684775590896606,0.8511771559715271,0.7684775590896606,large,0.9206881523132324,0.796875,0.796875,0.8203125,tie,False
brightness/s5,33,0.852816641330719,0.769947350025177,0.852816641330719,0.769947350025177,large,1.3114264011383057,0.6640625,0.6875,0.703125,small,False
brightness/s5,34,0.8552571535110474,0.7721741199493408,0.8552571535110474,0.7721741199493408,large,0.9942531585693359,0.703125,0.734375,0.7109375,small,False
brightness/s5,35,0.8555991053581238,0.7735600471496582,0.8555991053581238,0.7735600471496582,large,0.9708068370819092,0.6796875,0.671875,0.7109375,large,True
brightness/s5,36,0.8561094403266907,0.7740577459335327,0.8561094403266907,0.7740577459335327,large,0.9978741407394409,0.6875,0.6875,0.703125,tie,False
brightness/s5,37,0.8577831387519836,0.7758011817932129,0.8577831387519836,0.7758011817932129,large,1.0249208211898804,0.6875,0.7265625,0.7734375,small,False
brightness/s5,38,0.8594426512718201,0.7774646878242493,0.8594426512718201,0.7774646878242493,large,0.9761066436767578,0.703125,0.7421875,0.75,small,False
brightness/s5,39,0.8607759475708008,0.7787327170372009,0.8607759475708008,0.7787327170372009,large,1.3489136695861816,0.6328125,0.7265625,0.7109375,small,False
brightness/s5,40,0.8615492582321167,0.7790489196777344,0.8615492582321167,0.7790489196777344,large,1.050824761390686,0.65625,0.6875,0.71875,small,False
brightness/s5,41,0.861339807510376,0.7787876725196838,0.861339807510376,0.7787876725196838,large,0.9510995149612427,0.640625,0.671875,0.6953125,small,False
brightness/s5,42,0.8616740107536316,0.779731810092926,0.8616740107536316,0.779731810092926,large,0.8920347690582275,0.6171875,0.6875,0.6875,small,False
brightness/s5,43,0.8626625537872314,0.7803434133529663,0.8626625537872314,0.7803434133529663,large,1.3144739866256714,0.6796875,0.6953125,0.71875,small,False
brightness/s5,44,0.8634305000305176,0.7809339165687561,0.8634305000305176,0.7809339165687561,large,0.9127092957496643,0.6953125,0.6953125,0.7421875,tie,False
brightness/s5,45,0.8640390038490295,0.7819455862045288,0.8640390038490295,0.7819455862045288,large,1.3426073789596558,0.7578125,0.7734375,0.8046875,small,False
brightness/s5,46,0.8641690015792847,0.7827601432800293,0.8641690015792847,0.7827601432800293,large,1.2505332231521606,0.6953125,0.7421875,0.7734375,small,False
brightness/s5,47,0.8652300834655762,0.7843766212463379,0.8652300834655762,0.7843766212463379,large,1.0430546998977661,0.6953125,0.734375,0.7890625,small,False
brightness/s5,48,0.8654122948646545,0.7839017510414124,0.8654122948646545,0.7839017510414124,large,1.0305062532424927,0.734375,0.71875,0.8046875,large,True
brightness/s5,49,0.8653711080551147,0.7842459082603455,0.8653711080551147,0.7842459082603455,large,0.9621942043304443,0.6171875,0.7265625,0.671875,small,False
brightness/s5,50,0.8662488460540771,0.7845262289047241,0.8662488460540771,0.7845262289047241,large,1.266005277633667,0.640625,0.7109375,0.734375,small,False
brightness/s5,51,0.8666830658912659,0.7847265005111694,0.8666830658912659,0.7847265005111694,large,1.0130470991134644,0.6953125,0.7578125,0.7421875,small,False
brightness/s5,52,0.8678285479545593,0.7853968739509583,0.8678285479545593,0.7853968739509583,large,1.30125892162323,0.71875,0.734375,0.7265625,small,False
brightness/s5,53,0.8690526485443115,0.7867682576179504,0.8690526485443115,0.7867682576179504,large,1.0788769721984863,0.7421875,0.75,0.765625,small,False
brightness/s5,54,0.869023859500885,0.7864112854003906,0.869023859500885,0.7864112854003906,large,0.9759616255760193,0.671875,0.671875,0.7109375,tie,False
brightness/s5,55,0.8689988255500793,0.7867839932441711,0.8689988255500793,0.7867839932441711,large,1.150112509727478,0.65625,0.6953125,0.6953125,small,False
brightness/s5,56,0.8690119981765747,0.7874041199684143,0.8690119981765747,0.7874041199684143,large,0.9554182887077332,0.625,0.7109375,0.7265625,small,False
brightness/s5,57,0.8696569800376892,0.788210391998291,0.8696569800376892,0.788210391998291,large,1.0404560565948486,0.703125,0.7109375,0.71875,small,False
brightness/s5,58,0.8699921369552612,0.7882021069526672,0.8699921369552612,0.7882021069526672,large,0.9673435688018799,0.734375,0.75,0.7734375,small,False
brightness/s5,59,0.8701248168945312,0.7882157564163208,0.8701248168945312,0.7882157564163208,large,1.207431435585022,0.7109375,0.6875,0.71875,large,True
brightness/s5,60,0.8703178763389587,0.7880086302757263,0.8703178763389587,0.7880086302757263,large,1.0184557437896729,0.65625,0.703125,0.7265625,small,False
brightness/s5,61,0.8708090782165527,0.7885822057723999,0.8708090782165527,0.7885822057723999,large,0.991710364818573,0.65625,0.7109375,0.75,small,False
brightness/s5,62,0.8708823323249817,0.7879968285560608,0.8708823323249817,0.7879968285560608,large,0.9118056893348694,0.5703125,0.65625,0.6796875,small,False
brightness/s5,63,0.8712365627288818,0.7884572148323059,0.8712365627288818,0.7884572148323059,large,0.9584865570068359,0.671875,0.7109375,0.734375,small,False
brightness/s5,64,0.8713680505752563,0.7883878350257874,0.8713680505752563,0.7883878350257874,large,0.9219562411308289,0.6796875,0.734375,0.7421875,small,False
brightness/s5,65,0.8721358180046082,0.788713812828064,0.8721358180046082,0.788713812828064,large,0.9048342704772949,0.7421875,0.78125,0.7734375,small,False
brightness/s5,66,0.8728060722351074,0.7889061570167542,0.8728060722351074,0.7889061570167542,large,1.3366146087646484,0.671875,0.7265625,0.7421875,small,False
brightness/s5,67,0.8732811212539673,0.7889559864997864,0.8732811212539673,0.7889559864997864,large,1.340715765953064,0.6796875,0.6875,0.734375,small,False
brightness/s5,68,0.8729436993598938,0.788678765296936,0.8729436993598938,0.788678765296936,large,0.9742400646209717,0.6640625,0.6875,0.7109375,small,False
brightness/s5,69,0.8728189468383789,0.7887403964996338,0.8728189468383789,0.7887403964996338,large,1.0224086046218872,0.640625,0.6484375,0.703125,small,False
brightness/s5,70,0.8733503222465515,0.7895551919937134,0.8733503222465515,0.7895551919937134,large,1.169127345085144,0.734375,0.71875,0.78125,large,True
brightness/s5,71,0.8729716539382935,0.7892068028450012,0.8729716539382935,0.7892068028450012,large,1.0427565574645996,0.6796875,0.7109375,0.7421875,small,False
