corruption,severity,n_samples,acc_l,acc_s,nuclear_norm_l,nuclear_norm_s,atc_l,atc_s,prototype_l,prototype_s
brightness,5,1000,0.7040,0.6880,0.5340,0.2756,0.5370,0.6820,0.4040,0.4621
contrast,5,1000,0.1910,0.3420,0.0447,0.1551,0.0000,0.3500,0.1997,0.3405
defocus_blur,5,1000,0.3150,0.1960,0.3014,0.1018,0.1910,0.1890,0.2652,0.2967
elastic_transform,5,1000,0.3880,0.1710,0.3742,0.1049,0.3410,0.3830,0.3203,0.3660
fog,5,1000,0.5040,0.4040,0.1809,0.1858,0.0050,0.5060,0.2461,0.3921
frost,5,1000,0.5140,0.3290,0.3308,0.1627,0.0640,0.3960,0.2802,0.3791
gaussian_noise,5,1000,0.3530,0.1090,0.2623,0.0684,0.0700,0.1070,0.2650,0.2843
glass_blur,5,1000,0.1930,0.0830,0.2527,0.0716,0.1550,0.2150,0.2517,0.3100
impulse_noise,5,1000,0.3730,0.0980,0.2464,0.0642,0.0560,0.0970,0.2632,0.2820
jpeg_compression,5,1000,0.5360,0.5170,0.4499,0.2409,0.4150,0.6180,0.3457,0.4065
